time_slice_type,time_slice,model,ranking_mode,top_k,primary_evaluation,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,5,False,3675,3653,735,424,0.12373391732822338,0.20566689197829702,0.6016229259752727,0.004646177211418987,-0.0011686170364134357,-0.00390704827880192,1.2571872301167737,0.9441703367797585,-5.860142200135652e-05,0.002357588511371727,0.004078305062270284,0.006095415515486471,0.020640351957831704,-0.016415527096627854,0.03549539124639697,-0.028240101620164715,1.2569144305433961,0.0006333482124262971,0.005267889175946735,0.0006217119645277481,17,0.0039109771222048135,-0.0018995412684567592,1.2154830473259877,0.9096733860232578,84,0.0016412583963427883,-0.0041562331281088044,1.0887620793309367,0.8060054316916982,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,7350,7308,735,552,0.12110016420361248,0.20566689197829702,0.5888170090905617,0.003999297402396733,-0.0018116009459723235,-0.003970017093877929,1.215516829571213,0.9154080470834062,-0.00021086401214255048,0.0016214969479147702,0.003000947075743394,0.005038094428620177,0.0199744621441577,-0.01707514976309172,0.0347901249572336,-0.029246778750895847,1.1895369829803206,0.0008826232864239741,0.004883075132922105,0.0008837777305253725,34,0.003280382345192202,-0.0025263201486777674,1.175953014788621,0.8825833578475086,168,0.0010536372887959404,-0.004740301579628388,1.0554738482009027,0.7837420119829419,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,20,False,14700,14612,735,700,0.1196277032575965,0.20566689197829702,0.5816575633875977,0.0038051015965116226,-0.002004590992530108,-0.004126633587573276,1.202754033052751,0.9073233511425233,-0.00017584887313712574,0.0014766472782623212,0.002668170123906021,0.004527899621033847,0.020189810068502217,-0.017475631935703038,0.034926178869231495,-0.02989031806483884,1.1684779932240512,0.0008066796143224564,0.004615948782500256,0.0008108471859886337,67,0.0031086177052470176,-0.0026969991153630176,1.1648825224941661,0.8758835306561513,335,0.0008637972621232831,-0.004928963360808937,1.0449720167635252,0.7773475733431943,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,30,False,22050,21917,735,781,0.1187662545056349,0.20566689197829702,0.5774690003005817,0.0033882134070639535,-0.0024190011859289043,-0.004345702091629754,1.1777635056825755,0.8897315347884008,-0.0003480742664130326,0.001177606332373079,0.0023203891140266713,0.004161592907362274,0.0199490410057919,-0.017810071005863147,0.034837966253845255,-0.030407880172799055,1.1456887509379583,0.0008965694144421476,0.0042910069924191425,0.0009027935853551891,100,0.002678308910923175,-0.0031247617441802493,1.1398770421307554,0.8582098436038295,499,0.00041354391668358017,-0.005376541170531369,1.0212027060810804,0.7604942022633249,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,5,False,2405,2393,481,328,0.1182615963226076,0.19030997090511814,0.6214156607777985,0.012336143808972092,0.0064770657038117725,0.004075310464235117,1.9545358574329177,1.423245105542187,0.0005393804783123528,0.003179488480835062,0.007311604877189197,0.01371456260089107,0.01975315249250697,-0.011670843139869104,0.03653065026292808,-0.020137866106133086,1.8140278652365502,0.000916818128405361,0.013271312836095124,0.0009351690271230326,14,0.011443037444020653,0.005589151926632368,1.8802497013045603,1.3630875021967033,66,0.008889343883738663,0.0030502014599375804,1.6688615266321647,1.1938187780850098,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,4810,4791,481,446,0.11939052389897725,0.19030997090511814,0.6273477071703256,0.00973208905159144,0.003888119282226796,0.0022154868738287876,1.6673030873276504,1.2274691164112776,0.00035954064717518583,0.0026854445127124965,0.006008552999321795,0.010964334598859453,0.019540571193722114,-0.012922150189694335,0.035410811544687025,-0.022151696177262235,1.5985598241020795,0.0009570251365795745,0.010708990656830565,0.000976901605239125,25,0.008910288171758741,0.003071096949381746,1.6077663865432432,1.1787327980898339,125,0.006423542146120366,0.0005986685478635857,1.4289534859246429,1.0341104828035415,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,20,False,9620,9587,481,582,0.11619901950558047,0.19030997090511814,0.6105776746900624,0.008157866801651786,0.002323015926852064,0.000719109628641432,1.5288458357081764,1.1289650675362484,8.698849493714825e-05,0.0022131577551617403,0.004972511223744427,0.009995387536899897,0.019317693889794478,-0.013893225632670439,0.035296765101562294,-0.023310616946948245,1.5141926608760665,0.0009602986639149078,0.009137426666465037,0.0009795598648132502,49,0.007344470956583363,0.0015143448776367202,1.4736827695982746,1.0836410133995724,243,0.004921732686478948,-0.0008944454555982534,1.3109715107306572,0.9516023954347983,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,30,False,14430,14382,481,665,0.11862049784452788,0.19030997090511814,0.6233015394851166,0.007359599503512111,0.0015292450149502288,-0.00033886281131304035,1.4588681382040851,1.0818252621779416,6.665006428476963e-05,0.0021312353462328666,0.004683030662621372,0.009356474019327689,0.01954920667969487,-0.014408377904627599,0.0353399163922108,-0.02410462802172515,1.4661050301360987,0.001068360541438858,0.008447653612828466,0.0010880541093163552,72,0.006564827992723899,0.0007390887669781187,1.4072653130410036,1.0393484186202653,357,0.004156513296241044,-0.0016553488344864592,1.2527239968822081,0.9136259179401157,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,5,False,1215,1209,243,218,0.08436724565756824,0.20333962689023227,0.41490803808306265,-0.00092555526153446,-0.006707898502206454,-0.007628971519061126,0.9534923933614661,0.7075998945702667,-0.0011539424718109436,-0.002143638646160612,-0.0028666879731105103,-0.001137921349102772,0.01536864383003508,-0.019642871956178417,0.027772020565194178,-0.03207794846007602,0.86576673067977,0.0008952226195755011,-2.3361855889852586e-06,0.0009232190759454747,6,-0.001631672439915439,-0.007409823040267762,0.9184180764271505,0.6786056741616651,27,-0.0038009519954632356,-0.009566764285897521,0.8132738267559149,0.592293822839208,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,True,2430,2420,243,300,0.08636363636363636,0.20333962689023227,0.42472604914465384,-0.0009782132394347337,-0.006760429502602667,-0.008105417503571943,0.9506786025233381,0.7049968572871305,-0.0006755975752447604,-0.0009710511083921618,-0.0019375352830702693,-0.0012725048955396462,0.016401119688538142,-0.019118157952313242,0.028363564406729914,-0.032016449942758415,0.8859059782530723,0.001171188546459979,0.00022938242601158452,0.0012075956654463182,11,-0.0016253421534396374,-0.007403778020740241,0.9184229361402705,0.6783917524454157,51,-0.0037063013426457906,-0.009472875201463808,0.8170669148727813,0.5953459747786554,False
