time_slice_type,time_slice,model,ranking_mode,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,2475,2463,724,552,0.12911084043848964,0.20593631848172586,0.6269454625117353,0.0030722881909236786,-0.002733540227644733,-0.005779393968604594,1.1524126018463228,0.8814461768511513,-0.0004663417082850498,0.00033829429676781876,0.0016837803768208362,0.003909296706168356,0.0201194122670549,-0.019107331946631067,0.03547205502197333,-0.032166688702415985,1.1027574317685078,0.0008843191973440897,0.00395088005224105,0.0008785918613173718,12,0.0022979308654544482,-0.0035033899575258203,1.1134422374012785,0.8487980213588995,56,9.200782788030029e-05,-0.005696698870162179,1.0044606215880756,0.7585512086247701,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,1597,1592,476,446,0.12185929648241206,0.1906201835436601,0.6392780356047718,0.008392232750921479,0.002555426955363205,7.634190515590922e-05,1.534401431948731,1.1394476792664818,0.00028998836388243745,0.0009197307539976918,0.0038003814315146355,0.00985483508026147,0.018733455844367662,-0.014637027892565805,0.035482384275248316,-0.02457267841588245,1.4439770738347522,0.001466624216504192,0.009878280175662956,0.0014860474247414771,8,0.0075928112474193885,0.0017606427600739278,1.481066162839489,1.0955941197535768,40,0.005050431251359419,-0.0007670513054253931,1.3135214147918257,0.9591942949252164,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,751,746,236,298,0.1032171581769437,0.20400071282188365,0.5059646936972435,-0.0015544429835120486,-0.007333545991497713,-0.00899591951818397,0.9298536367181711,0.7105173626471879,-4.01013866455705e-05,0.0006507710035298486,-0.0007386953997697175,-0.0031357553779589793,0.02046685439072567,-0.021524000992266524,0.03216726860084195,-0.03631611461662023,0.8857574368960841,0.0011716235744089656,-0.0003275248141467799,0.0012269181693652688,4,-0.0023081846971236774,-0.00808287308932207,0.8963985107380589,0.6826493892896306,16,-0.004427350001367307,-0.01018991931658132,0.8044948275024301,0.6063925783798041,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,814,808,242,276,0.13985148514851486,0.22415482348479263,0.6239057584143526,0.006039956312470656,0.0002161748866976347,-0.0021542499543412332,1.3136309154577481,1.0098231186728146,-0.00045473214505974753,0.0008959242339610704,0.0027860875774296527,0.004542454861065833,0.02129251492793981,-0.019210219068759384,0.03687308361315892,-0.03346016457885643,1.101999469436535,0.00024364118102058633,0.0063311183434425445,0.00029116203097188844,4,0.005197090116969646,-0.0006218028212616678,1.2685282637871094,0.9718847773622968,20,0.0026487550119253496,-0.0031554978948350972,1.1341348773763769,0.8601614531641188,True
YEAR,2021,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,861,859,242,350,0.15250291036088476,0.2279583732282723,0.6689945545811201,0.006704455342796089,0.0008780562318301707,-0.0018844696851343218,1.3564079368798574,1.040756452658628,-0.00024318623094201955,0.0007922425960029125,0.002252824096423829,0.010465424886893683,0.020496246328042513,-0.01859099157389731,0.03941302386293927,-0.02934084766340316,1.343281704573898,0.0018953977503724903,0.008596302884846066,0.0018918475420499773,5,0.005877695763297266,5.614925734058054e-05,1.3106387815156324,1.0025910916261864,21,0.003597053499912456,-0.002211471178939274,1.1865441424057737,0.8998603230396726,False
YEAR,2022,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,800,796,240,321,0.09296482412060302,0.16120792528378552,0.5766765123795903,-0.003859756313684811,-0.009625162301862793,-0.010271347037099938,0.8286372644221911,0.6263091893367643,-0.0007189435702495061,-0.0007176184900350616,-4.9225619700389166e-05,-0.003808424269208807,0.01852196577411097,-0.019560100270121793,0.029797025705305392,-0.0339032074767227,0.8788851534405252,0.00044355457440187207,-0.003478329435822413,0.00038142687786239804,4,-0.0045801880981229766,-0.010341499764755074,0.7976738917595784,0.6005154412731984,16,-0.006305181604730535,-0.012056587169584163,0.7256937929688738,0.5413194946236556,False
YEAR,2023,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,787,783,237,273,0.10472541507024266,0.18439102971724108,0.5679528729289944,0.009633680294867384,0.0037902150759303813,0.0014834677656673098,1.7465506496220056,1.2455784808845538,-0.0003319133003857225,0.0004163527867550297,0.003355058693851273,0.009355854941578916,0.016449769236544894,-0.01324264227548121,0.03151778815033381,-0.021111906832471244,1.4928915895866766,0.0012305323511001538,0.01088275830010979,0.0012490780052424062,5,0.008681042368432602,0.002843131360819214,1.6684312705056763,1.1830379801161115,21,0.006374866138541032,0.0005502101756233653,1.4807633216434533,1.034693513254828,False
YEAR,2024,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,810,809,239,344,0.138442521631644,0.1959561039734474,0.7064976228063983,0.007190683397510301,0.0013603230018352699,-0.001581477806164282,1.3905064446600406,1.0643972236128778,0.0008919030772594082,0.0014069309373734695,0.004231392189970029,0.010337778774437539,0.020943748321407503,-0.015986600127642733,0.03931956445548077,-0.027922226190679703,1.4081815750280486,0.0016951284570621181,0.008906084413682895,0.0017154010161725937,4,0.006380458183096224,0.0005547693879655934,1.3447920659284016,1.0261327401287414,20,0.003698174264056822,-0.002111872571132126,1.1958726918299942,0.9024962557476944,False
YEAR,2025,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,751,746,236,298,0.1032171581769437,0.20400071282188365,0.5059646936972435,-0.0015544429835120486,-0.007333545991497713,-0.00899591951818397,0.9298536367181711,0.7105173626471879,-4.01013866455705e-05,0.0006507710035298486,-0.0007386953997697175,-0.0031357553779589793,0.02046685439072567,-0.021524000992266524,0.03216726860084195,-0.03631611461662023,0.8857574368960841,0.0011716235744089656,-0.0003275248141467799,0.0012269181693652688,4,-0.0023081846971236774,-0.00808287308932207,0.8963985107380589,0.6826493892896306,16,-0.004427350001367307,-0.01018991931658132,0.8044948275024301,0.6063925783798041,False
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,4823,4801,1436,719,0.12268277442199542,0.19996096009253905,0.613533633591375,0.0041174475917542235,-0.0016945001410972821,-0.003981355661798688,1.2167992044403688,0.922419701392629,-0.00014931343191894038,0.0005796511939047552,0.002009225481952262,0.0047861324147284974,0.01971381951540739,-0.01800050233904351,0.034961968269432146,-0.030293288859848812,1.1541159638091087,0.0011220527228165498,0.005251594687975762,0.0011341470962215388,23,0.0033558250796361304,-0.002451693142298574,1.175850399388458,0.8882904276440603,111,0.001046233000535341,-0.004748039484268837,1.053814480906985,0.7876436284405853,False
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,1590,1581,673,201,0.0480708412397217,0.20667804126722789,0.23258804343693043,0.002176610250599122,-0.0036239687437977894,-0.003018300501442664,1.1545685378440997,0.7856746071047844,0.0001366915874168549,0.0005180897725271483,0.0010748159270282992,0.0018945968166514812,0.013958668298433239,-0.012934950607998309,0.02379995206586181,-0.0223246706365309,1.0660830098392062,5.4690374074221394e-05,0.002236744954362858,6.013470376373597e-05,8,0.0014815146300196792,-0.0043150257840393145,1.1046750617536452,0.7460960641453125,37,-0.00038752064200137256,-0.006173289378797682,0.9731248624563396,0.6434493383371694,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,1022,1022,447,196,0.03131115459882583,0.1916571732676972,0.1633706376076619,0.001083675571818761,-0.004711232478065073,-0.003193167219351321,1.0839032155761172,0.7017396807415294,-0.00015994415760868825,0.0004282731021209892,0.0006879082474920328,0.0005029925974103038,0.011821858752123967,-0.010851506536575344,0.02050208334468908,-0.019757142174389994,1.0377049050780587,0.0008772027908378662,0.0019762657836422427,0.0008925902118234817,5,0.00045587134729971313,-0.005335426902690475,1.0351230058011252,0.6638754958476427,23,-0.0012401254352868768,-0.007021642235965693,0.906144542872638,0.5654755352582532,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,528,528,221,135,0.08901515151515152,0.20724004350895942,0.4295267941849434,0.0023358534893466528,-0.0034664873965715133,-0.004675374888717778,1.1442833651536148,0.819094907991339,-0.0004674441331659622,-0.00018136114257507048,-6.952867334997374e-05,0.0033362542435542305,0.015245550176115851,-0.01643260816487243,0.026462150024535926,-0.02490293537444966,1.0626116811789994,7.349732510793996e-05,0.002435378254781353,9.952476543470014e-05,3,0.0015340556523043176,-0.004263541226525691,1.0942187112906785,0.7787633807111405,12,-0.0004435606247007849,-0.00622981669928848,0.9732243865761374,0.6822743964188056,False
