time_slice_type,time_slice,model,cohort,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,121,120,80,108,0.2833333333333333,0.21686945083853995,1.3064695476370989,0.0018931800673161866,-0.003904151153131507,-0.021643480556373218,1.0599126389693454,0.8875181595331612,0.00022816882203104775,0.004317604511720179,0.004247707331997144,0.0016761012034715666,0.03479093247459131,-0.026885485671343842,0.0626247272523644,-0.050348087458984406,1.2438352758360691,0.0011082992659931317,0.002989678715027478,0.0010964986477112915,1,0.0006185729370295289,-0.0051711863529747,1.019412575456942,0.8522553735493137,3,-0.0017740612739836838,-0.007549921094269297,0.9452606346901011,0.7879184841762301,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,7350,7308,735,552,0.12110016420361248,0.20566689197829702,0.5888170090905617,0.003999297402396733,-0.0018116009459723235,-0.003970017093877929,1.215516829571213,0.9154080470834062,-0.00021086401214255048,0.0016214969479147702,0.003000947075743394,0.005038094428620177,0.0199744621441577,-0.01707514976309172,0.0347901249572336,-0.029246778750895847,1.1895369829803206,0.0008826232864239741,0.004883075132922105,0.0008837777305253725,34,0.003280382345192202,-0.0025263201486777674,1.175953014788621,0.8825833578475086,168,0.0010536372887959404,-0.004740301579628388,1.0554738482009027,0.7837420119829419,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,7470,7427,735,594,0.12360306988016696,0.20566689197829702,0.6009867154175217,0.003953160680336551,-0.001857449212051707,-0.004116563352414638,1.2106105761708754,0.9141398591507714,-0.0002088200834487129,0.0016563503291000578,0.003005687733197154,0.004970690222703845,0.020200737569885323,-0.017240978264025195,0.03522873261651134,-0.029596677315780872,1.1902934995249441,0.000886574148303542,0.004840697552725809,0.0008875368723892585,34,0.003244228991331798,-0.002562243744985068,1.1720499268937103,0.8821031035632978,170,0.0010065635114947609,-0.004787077815555604,1.0523987095199923,0.7837834989016477,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,79,79,65,77,0.4810126582278481,0.196226521043322,2.4513131847333334,0.028133743570628655,0.022183256952184906,0.04700370232743198,2.2355634005164613,1.8751220632935466,0.0011799482606928502,0.017610176063176042,0.022428691230724013,0.01625832547526397,0.049238401758827884,-0.021205901419855417,0.0760323017143398,-0.042796587247895417,1.7765973084239048,0.0034253504571912434,0.03165211795453073,0.003518374383902078,1,0.026196416141805078,0.020257170135918406,2.1359177939905103,1.789022904678069,3,0.023135705637627672,0.01721443226889721,1.9774774823629213,1.6533148483077595,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,4810,4791,481,446,0.11939052389897725,0.19030997090511814,0.6273477071703256,0.00973208905159144,0.003888119282226796,0.0022154868738287876,1.6673030873276504,1.2274691164112776,0.00035954064717518583,0.0026854445127124965,0.006008552999321795,0.010964334598859453,0.019540571193722114,-0.012922150189694335,0.035410811544687025,-0.022151696177262235,1.5985598241020795,0.0009570251365795745,0.010708990656830565,0.000976901605239125,25,0.008910288171758741,0.003071096949381746,1.6077663865432432,1.1787327980898339,125,0.006423542146120366,0.0005986685478635857,1.4289534859246429,1.0341104828035415,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,4889,4870,481,500,0.12525667351129363,0.19030997090511814,0.658171891444102,0.010030596383625105,0.004184898722868827,0.002248012268122916,1.6815653588221222,1.2429284428038567,0.0003728491074355339,0.0029275500142497903,0.006274916637983144,0.011050212479606056,0.0200223224492957,-0.013056527263037814,0.03606976384928714,-0.02248659276752507,1.6040564358589158,0.0009970657321295379,0.011048725165355888,0.0010181287817307826,26,0.00918863622742836,0.0033478338834341532,1.6210219994874775,1.1933002821062766,127,0.006705975179556649,0.0008794676667879745,1.4437791138525873,1.0497207252611174,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,36,36,30,34,0.2777777777777778,0.2021567117148659,1.3740715082938846,0.0015544676652055056,-0.004238588533107587,-0.049645393570826535,1.0455504964719775,0.8859051579235635,-0.004039738109178376,0.0012236139652632304,-0.009157362555475008,-0.014773292289870751,0.024151739762716718,-0.031998244137298064,0.048670971911288774,-0.06215183749636036,0.7830978756523325,0.0059601968447049024,0.007274391702014212,0.005719924036808707,1,-0.003581359293358715,-0.009344744420091311,0.8979707113317134,0.755444336871651,1,-0.003581359293358715,-0.009344744420091311,0.8979707113317134,0.755444336871651,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,2430,2420,243,300,0.08636363636363636,0.20333962689023227,0.42472604914465384,-0.0009782132394347337,-0.006760429502602667,-0.008105417503571943,0.9506786025233381,0.7049968572871305,-0.0006755975752447604,-0.0009710511083921618,-0.0019375352830702693,-0.0012725048955396462,0.016401119688538142,-0.019118157952313242,0.028363564406729914,-0.032016449942758415,0.8859059782530723,0.001171188546459979,0.00022938242601158452,0.0012075956654463182,11,-0.0016253421534396374,-0.007403778020740241,0.9184229361402705,0.6783917524454157,51,-0.0037063013426457906,-0.009472875201463808,0.8170669148727813,0.5953459747786554,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,2466,2456,243,327,0.08916938110749185,0.20333962689023227,0.4385243667021563,-0.0009410892522331648,-0.006723464406958603,-0.00816759281879241,0.953046367900882,0.7092568055766727,-0.0007249090814424843,-0.0009388817506349982,-0.0020433633701250615,-0.0014703991733067124,0.016514728126107533,-0.01930695400388468,0.02866122998904429,-0.03245817386455388,0.8830204098556493,0.0012413857364993997,0.0003326480342917531,0.001273737286524918,11,-0.0016145472981954514,-0.007393006774511125,0.9198064106339744,0.6817356071896554,52,-0.003739464370905875,-0.009505803068726323,0.8173776698794006,0.5976431853554659,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,22,22,18,22,0.22727272727272727,0.21724663801469568,1.04615072228346,0.002896170120990764,-0.002908947198603262,-0.0074437127232544475,1.1082922406089564,0.9033086977932375,0.005899937792306646,-0.00262038767079094,0.0034584031156841026,0.0023554043286962475,0.0359584286137261,-0.02841461790104288,0.05963417719146855,-0.04919418972782814,1.2122199292518223,-0.0016424448466566695,0.001196384251819338,-0.001699785869171426,1,-0.0036424020431054024,-0.009409438545894188,0.8699956855035829,0.7014535612441889,1,-0.0036424020431054024,-0.009409438545894188,0.8699956855035829,0.7014535612441889,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,RANK_TOP10_ONLY,2450,2429,245,276,0.13709345409633594,0.22402529854783007,0.6119552344534253,0.005750639205673756,-7.089338624282805e-05,-0.003749693610396984,1.312219676852487,0.9966642135923425,2.9263707346891426e-06,0.002196347552417928,0.003519758996092134,0.004644274141686882,0.02108214628787709,-0.01731867534610269,0.03656925647852937,-0.031319395487864804,1.1676233180394144,0.0007089108600281952,0.006518668719737348,0.000768029514063592,12,0.004944288776293929,-0.0008725652373526185,1.2671142841349183,0.9591455323199078,57,0.0026331097965221722,-0.003170414013749014,1.139604779746544,0.8543214324035228,False
YEAR,2020,LINEAR_RIDGE_NET_RETURN,N_COMPACT_UNION_RANK_TOP10,2472,2451,245,296,0.1379028967768258,0.22402529854783007,0.6155684097766445,0.005725017696141716,-9.636755346923802e-05,-0.00380575675430858,1.3095725946270862,0.9954824156915515,5.585752180551046e-05,0.0021531128829317603,0.003519208270115398,0.004623729410603328,0.021215674729806375,-0.017418271729704764,0.036776285550616135,-0.03147983835741976,1.1682488687858212,0.0006878052600497916,0.006470896276532862,0.0007458785803911459,12,0.004925814561280946,-0.0008909335863265882,1.2650526929328527,0.95843868759557,57,0.00262456833027597,-0.003178900695894961,1.1386195206110465,0.8544429554212588,False
YEAR,2021,LINEAR_RIDGE_NET_RETURN,N_COMPACT_ONLY,47,47,31,44,0.2765957446808511,0.2307739109272329,1.1985572527219794,-0.005680025553867719,-0.01143132690674744,-0.05616836845044327,0.847443711140602,0.7174888576787785,-0.007078119437759182,-0.0034524874951210546,-0.009218722424298059,0.0004850794119838353,0.024499628818426697,-0.034617092264505364,0.06112554425708491,-0.05720996598151158,1.0684422409347127,0.0012246760770622184,-0.004481069432952205,0.0011989561209155139,1,-0.00914201368702633,-0.014872726135768222,0.7596845643913934,0.6402593696776567,1,-0.00914201368702633,-0.014872726135768222,0.7596845643913934,0.6402593696776567,False
