fold,model,alpha,alpha_selected,train_start,train_end,evaluation_start,evaluation_end,selection_metric,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent,mean_daily_ic,median_daily_ic,ic_positive_day_rate,mean_monthly_ic,median_monthly_ic,top10_minus_universe_net_spread,top10_minus_bottom10_net_spread,top_decile_minus_bottom_decile_net_spread,conviction_score_spread_vs_top10_net_spearman,score_vs_entry_gap_spearman,top10_entry_gap_vs_net_spearman
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_NET_RETURN,0.1,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2440,2427,244,552,0.2311495673671199,0.22823851953392735,1.0127544107766604,0.007696601859637075,0.0018650953835619348,-0.0057986411237422476,1.3151464881275152,1.0683145128669955,-0.0002579091870581271,0.0033855362158757506,0.005894732734953957,0.013352434270220906,0.03210170973431106,-0.0251567398464771,0.05770539431061232,-0.04026180657361703,1.4332539749576416,0.0027449170705932105,0.010427881561198657,0.002731279701561582,12,0.006868624927401158,0.0010419145372433142,1.2798534150238468,1.0379744405994205,56,0.0041899091758824236,-0.0016210464193248042,1.1676022471072138,0.9419945022877191,False,0.06017973787695654,0.06624843886396437,0.7254098360655737,0.05877071587259474,0.06419625882266446,0.005181051418670756,0.015025766896394352,0.008708838181641882,-0.12227550400852506,-0.054524805965165075,-0.029921495409556943
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_NET_RETURN,1.0,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2440,2428,244,553,0.23146622734761121,0.22823851953392735,1.0141418189194138,0.007683962273542172,0.0018525279342118445,-0.005799701017851051,1.3142504801958057,1.0677787598692847,-0.00028044868582056433,0.0033565247908966477,0.005850862129098095,0.013277941293444517,0.032061497266373466,-0.025193317500513075,0.057681798651998545,-0.04032349214763322,1.4304762702796852,0.0027320992757356834,0.010403553614664088,0.002719591341121916,12,0.006856265267588994,0.0010296253873361533,1.279014379275161,1.0374848988176535,56,0.004178449554316373,-0.001632440865032701,1.166944413886979,0.9416511483467882,False,0.0601874070335267,0.06609182049611212,0.7254098360655737,0.05878159471410096,0.0641587794419283,0.005177950394887874,0.014937971862955876,0.00867586054928026,-0.12084061311227588,-0.05453382164052097,-0.02668446909088722
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_NET_RETURN,10.0,False,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2440,2427,244,559,0.22908941079522044,0.22823851953392735,1.0037280791298098,0.00734766529752341,0.0015181487224762847,-0.005801967835008293,1.3001413548450365,1.055469323891666,-0.0002785360191251412,0.003501178338255146,0.005765090322237008,0.012516107314780159,0.03208187529807398,-0.025271105256340406,0.057239662545141845,-0.04055982908424945,1.4112402304813865,0.002780034101280198,0.010116026019860946,0.0027683607223375362,12,0.006517954519016121,0.0006932439175932628,1.26493245145715,1.025204145640499,56,0.0038510573475246898,-0.0019579742911937903,1.1536803132809497,0.9301112429694626,False,0.06030659411826388,0.06470971810028883,0.7254098360655737,0.0589262750750821,0.06402130934708106,0.004850591949912352,0.015066387128569527,0.008793953202078328,-0.12187485801849578,-0.05464410202788641,-0.028406839441418
TRAIN_2020_EVALUATE_2021,LINEAR_RIDGE_NET_RETURN,100.0,True,20200101,20201231,20210101,20211231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2440,2426,244,539,0.22506183017312448,0.22823851953392735,0.986081712380146,0.007605838903035289,0.0017746400864806586,-0.005797284177826923,1.3164855787735685,1.0659863524825748,-0.0005759379457151167,0.0026724943236653845,0.005668033412148508,0.012123097440333264,0.031216637420297046,-0.02527122984319226,0.056067728251167785,-0.04016989014573279,1.3957650381357543,0.0027259876111302064,0.010319813472922884,0.0027139745698875947,12,0.006776988611538965,0.0009505927247228005,1.2806015256251673,1.035171005995028,57,0.004072243930165474,-0.001738257988909644,1.1654683177884686,0.9368850367785989,False,0.061440127878423595,0.064442761679054,0.7377049180327869,0.06019182248390692,0.06353047525200366,0.005100004789068904,0.01524561913417025,0.008871284125629918,-0.06251481770607455,-0.05523514969027746,-0.031978013173230305
TRAIN_2020_EVALUATE_2021,IC_WEIGHTED_LINEAR_RANK,,,20200101,20201231,20210101,20211231,BENCHMARK_NOT_USED_FOR_ALPHA_SELECTION,2440,2434,244,183,0.050534100246507806,0.22823851953392735,0.2214091659449096,0.0036624971043756637,-0.002146365994976731,-0.0012780648458844026,1.273345451800729,0.8665786822906465,6.688874674955793e-05,0.001027459872583948,0.00221405003012683,0.004071508496861556,0.013862296406727327,-0.011746261017474462,0.024401750767196157,-0.020279580702472346,1.2032670263355723,0.0007453335550286513,0.004383992642840244,0.0007214955384645806,12,0.0028938934118218516,-0.002910471005296713,1.214916944767402,0.8199727330292823,58,0.0008929537525105125,-0.00489998038716632,1.0650563047149106,0.7026680011077654,False,0.10598866037342936,0.12292405310177625,0.6967213114754098,0.10462446582927094,0.11499271530737723,0.001264105051523791,0.0026506970163370763,0.006430764922196167,0.021985138925029624,-0.14710023895751603,-0.038586529183766205
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_NET_RETURN,0.1,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2460,2452,246,456,0.11745513866231648,0.16079299393706092,0.7304742314101811,-0.006718624445590601,-0.012466996323701686,-0.015968283071410565,0.7509169494554315,0.5880538156180601,-0.001564938394539356,-0.0014107321682075803,-0.002033628311427815,-0.004483858150197561,0.02042811903914365,-0.02436948401483192,0.03489570057257465,-0.04157818710579711,0.8392790307038004,0.0009105096603021673,-0.005854726571296302,0.000863897874294299,10,-0.007399727880829885,-0.013144149436172047,0.726784865452878,0.5674499815220189,47,-0.00954413217208176,-0.015276141085810926,0.6529477454520419,0.5049068372220771,False,0.07863988528137965,0.09545122202812525,0.7560975609756098,0.08247657612596337,0.09182311595898232,0.002232156702227116,0.007467915542520604,0.008125518516160864,0.261052389752188,-0.05753051418009566,-0.07058191344925577
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_NET_RETURN,1.0,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2460,2452,246,456,0.11745513866231648,0.16079299393706092,0.7304742314101811,-0.006718624445590601,-0.012466996323701686,-0.015968283071410565,0.7509169494554315,0.5880538156180601,-0.001564938394539356,-0.0014107321682075803,-0.002033628311427815,-0.004483858150197561,0.02042811903914365,-0.02436948401483192,0.03489570057257465,-0.04157818710579711,0.8392790307038004,0.0009105096603021673,-0.005854726571296302,0.000863897874294299,10,-0.007399727880829885,-0.013144149436172047,0.726784865452878,0.5674499815220189,47,-0.00954413217208176,-0.015276141085810926,0.6529477454520419,0.5049068372220771,False,0.07865598093860955,0.09555021248394459,0.7560975609756098,0.08249431791800856,0.09183964222437536,0.002232156702227116,0.007527015966214418,0.00815537189665596,0.2609451798888806,-0.0575328785821367,-0.07058191344925577
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_NET_RETURN,10.0,False,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2460,2452,246,456,0.1166394779771615,0.16079299393706092,0.7254014936920548,-0.006808789794923158,-0.012556639645605053,-0.016046614935148126,0.7479095565001472,0.5855637126889284,-0.0015680431187093298,-0.0014385362167656538,-0.0020181239156386393,-0.004569993911711307,0.020438662227529936,-0.02436883426235759,0.034821454322007596,-0.04156852783708166,0.8376879368565161,0.0009001803967561093,-0.0059561777159973265,0.0008526120789258311,10,-0.007490262457637187,-0.013234159847845695,0.7238095325598974,0.5649833163298357,47,-0.009628299993332866,-0.015359839282012577,0.6503522934440487,0.5027604899168658,False,0.07877670350552433,0.09594935697346424,0.7560975609756098,0.0826219363173808,0.09201519797703943,0.002145954823231328,0.007463591854078946,0.00813599525695256,0.2618101135981202,-0.057582188049041715,-0.076342591601275
TRAIN_2020_2021_EVALUATE_2022,LINEAR_RIDGE_NET_RETURN,100.0,True,20200101,20211231,20220101,20221231,MEAN_DAILY_SPEARMAN_IC_NET_RETURN,2460,2452,246,448,0.1133768352365416,0.16079299393706092,0.7051105428195498,-0.006527516641981183,-0.012277112025487529,-0.015822884865035573,0.7540618275860235,0.5885472509821676,-0.0014465657947550792,-0.0012870976449746946,-0.00191203116528818,-0.0044172329772930955,0.020378491499734155,-0.023936433970357555,0.03443451701792389,-0.04081235831067872,0.8437276953170814,0.0008745291609590551,-0.00569799930148536,0.0008295173404958235,10,-0.007202328910810405,-0.012948005326961007,0.7297435311546224,0.5678327896160067,47,-0.009325735139048835,-0.015059117186293736,0.6553679642586957,0.50498554918496,False,0.07990292558338963,0.10079464128435461,0.7560975609756098,0.08382193801750154,0.09334501154409325,0.0024199982867013853,0.008246991112564989,0.008081027742017308,0.2240077545780828,-0.058042667866227596,-0.07762111461824589
TRAIN_2020_2021_EVALUATE_2022,IC_WEIGHTED_LINEAR_RANK,,,20200101,20211231,20220101,20221231,BENCHMARK_NOT_USED_FOR_ALPHA_SELECTION,2460,2445,246,224,0.05603271983640082,0.16079299393706092,0.3484773712114202,-0.0019954291839699824,-0.0077711681277032995,-0.005805593205186938,0.8922185858629638,0.6390645948147493,-0.0007104813568297209,-0.0014699308416987443,-0.0015219418002722607,-0.0024192573224014018,0.014893586553440644,-0.017435504202402644,0.024370963249822363,-0.028124442981275578,0.8665402996975915,0.0005907520553856698,-0.0013919177342146714,0.000603511449755311,11,-0.002595986460663586,-0.008368262997497145,0.8604108408213483,0.6130808619948911,53,-0.004422371379603833,-0.010184220998681425,0.7663073354820561,0.5372426693539527,False,0.11433985896393149,0.12285721457275425,0.7886178861788617,0.11665447595000712,0.10814557960899276,0.00696574485175599,0.010548063313012229,0.008220428295169712,0.02661263182077413,-0.07650982455479784,-0.031619115216276666
