time_slice_type,time_slice,model,score_decile,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,1,33312,33190,735,951,0.25197348598975594,0.20566689197829702,1.2251533709000932,-0.009408342743213298,-0.015140394657148384,-0.05729866144307028,0.7672114261269175,0.6550501691884645,-0.005114758392686605,-0.006094896999147815,-0.006623884488952463,-0.0066452127314571485,0.03326966433916238,-0.04433755925074776,0.06101858709283774,-0.07038199379008639,0.866963037091917,0.0048350012597634775,-0.00462084239664251,0.004787500346570789,117,-0.010090130172264483,-0.015818246893313646,0.7512221919297543,0.6408768277514595,585,-0.012645936498971671,-0.01835920795764778,0.692619382796924,0.5890872341284691,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,2,32935,32810,735,1053,0.2519963425784822,0.20566689197829702,1.2252645049212592,-0.005143785442073111,-0.010900503263171884,-0.04671830442501917,0.8602194167762979,0.7282132621571243,-0.004094428664858651,-0.0037122961777288116,-0.0028694847431336764,-0.0014092856349128006,0.033475120422105216,-0.039910267165363854,0.060850672108253755,-0.06392029572468612,0.9519773245472194,0.004448510718656987,-0.0007130750370534461,0.004430710405019665,126,-0.005866433319263721,-0.011618978706949175,0.8411939245230808,0.7114117537407243,629,-0.008532889695517392,-0.014269902608477356,0.7725670211076894,0.6510236260552339,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,3,33013,32884,735,1088,0.24705023719742125,0.20566689197829702,1.2012153965135586,-0.003772655610908469,-0.009537281381372503,-0.03570519471068968,0.8930904467508664,0.7525951449474853,-0.003758376815179133,-0.0030279804616950966,-0.0018709213307961312,0.0008067320044239862,0.03278864775987373,-0.03780043123419299,0.06026927971006625,-0.06044742612034644,0.9970528702094691,0.004114969337338833,0.0003300036408491007,0.0041026592517575695,129,-0.004506572571541789,-0.010266962262057058,0.8727936808876738,0.7347114219452219,644,-0.007202161269567229,-0.012946861724061136,0.7999020736721946,0.6707251768020737,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,4,32938,32815,735,1097,0.23419168063385648,0.20566689197829702,1.138694120289276,-0.002654341008223426,-0.008425567482844083,-0.028128570291030885,0.9207881471574737,0.7705415697603207,-0.003425724622071516,-0.002590281228716632,-0.0015205872370614595,0.0007454521732390361,0.031214951967932118,-0.03560403968901004,0.057302677591539536,-0.0571553241157019,1.0025781233527666,0.003734547380368825,0.001073707100943603,0.003728048109167029,132,-0.0033996038189634567,-0.009166528242277957,0.8989558280995558,0.7513667292898797,657,-0.006103328521115319,-0.011854504880200222,0.8215087936924177,0.6836230034162829,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,5,32863,32728,735,1112,0.2264421901735517,0.20566689197829702,1.1010143051971972,-0.0015138646616639757,-0.007291709031586767,-0.022108136942312714,0.9524242539208372,0.7915295582034946,-0.0030181652649024743,-0.00227322435714324,-0.0014174410514380977,0.0014467629973185208,0.029379399999128232,-0.03328892514657861,0.05410773543357696,-0.05340107179194702,1.0132331359262439,0.003548102878145378,0.002042016820781402,0.0035558814824453774,135,-0.0022661311566223603,-0.008039625546627982,0.9290767761748671,0.771094700050257,673,-0.004964463999113021,-0.01072221957252338,0.8471915970940587,0.6997547344971969,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,6,33077,32935,735,1122,0.21029300136632761,0.20566689197829702,1.0224932138738148,-0.0005657409345631378,-0.006349167566117169,-0.01686857892611028,0.9809994286741416,0.806790075832578,-0.0025018461468497865,-0.0014423082655700729,-0.000228887968816801,0.0022068611308881545,0.02836812862865395,-0.030717177696869064,0.05158235032082889,-0.04976890779937307,1.0364372577506848,0.0030933963032283916,0.0025261897360569926,0.0030919306706201303,140,-0.0013309878170081595,-0.0071099918662795,0.9554884104047672,0.7845573351188803,698,-0.004011757160887854,-0.009775086160342237,0.8681194819978777,0.7088410218327063,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,7,33019,32908,735,1100,0.1956363194360034,0.20566689197829702,0.9512290362060215,0.00024268520241054327,-0.005545472721303708,-0.013816174511846628,1.0087172790190821,0.8205931721213378,-0.0022974445243212345,-0.0011103983584579678,-2.154305456198082e-05,0.002327581586829014,0.025780477035296658,-0.02782282082394995,0.0471095625602029,-0.04547499410131795,1.0359443358088873,0.0027006801202438275,0.0029485111870811735,0.00270582598467063,141,-0.0005209165734858733,-0.0063046694366254005,0.9813687918299662,0.7969056192526597,702,-0.0031637277767291505,-0.008932011173161811,0.8887827741282405,0.7171963881682701,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,8,32932,32797,735,1066,0.17083879623136264,0.20566689197829702,0.8306577426637555,0.000741098121025783,-0.005050245230487734,-0.0107635236495499,1.0291703494991093,0.822497618244187,-0.0019351239991023653,-0.0010586063043482494,0.0002503841423541779,0.0025809364287775445,0.02350694578705889,-0.02500350839868591,0.04299535752424227,-0.041058592274868216,1.0471707660215994,0.002186223059561674,0.0029239758458201484,0.0021828777247943653,141,-1.592637559908315e-05,-0.0058028942544914785,0.999375817279681,0.7969208945153251,705,-0.0025792873533641686,-0.00835121993516492,0.9006590490881279,0.712786861533574,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,9,33016,32905,735,992,0.14593526819632274,0.20566689197829702,0.70957102911694,0.001981719268044617,-0.0038169918337932762,-0.006930155330446099,1.0886603919635016,0.8491570402097006,-0.001182523191648735,-7.869906460176624e-05,0.0007420687605496433,0.0032016502587080766,0.021677097110025394,-0.021867103353005072,0.038884011701481924,-0.0360482058861753,1.0786670444643176,0.001758708901547573,0.0037479399581004987,0.0017662206900558816,147,0.0012178187996257019,-0.00457646870671769,1.0542407483061365,0.8199513808024667,731,-0.0012487204936277427,-0.007028694007415244,0.9453744381916406,0.728405097975118,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,10,32645,32462,735,867,0.12100301891442301,0.20566689197829702,0.5883446662246048,0.002848705326111375,-0.0029553558814441744,-0.005778127467117893,1.1449487132034333,0.8689622778502145,-0.0005202097725846473,0.0007878688201477037,0.0018351756889621882,0.0037101126225067404,0.019938819991827336,-0.018463358265057996,0.03502078912554657,-0.0311813321246227,1.1231331934626358,0.0010051222204180623,0.0038528206945824634,0.0010041153684710886,147,0.0021321834077275984,-0.0036677035505048865,1.107999136449473,0.8381138622500953,733,-0.00014597527249670547,-0.005932784371309986,0.99274015677028,0.7428857040915946,False
