signal_date,year,month,period,model,eligible_stocks,evaluable_stocks,daily_spearman_ic_net_return,top10_candidates,top10_evaluable,top10_winner_rate,universe_winner_rate,top10_gross_mean,top10_net_mean,top10_median_net,universe_net_mean,universe_net_median,bottom10_net_mean,top_decile_net_mean,bottom_decile_net_mean,top10_minus_universe_net_spread,top10_minus_bottom10_net_spread,top_decile_minus_bottom_decile_net_spread,top1_score,top10_mean_score,universe_mean_score,universe_median_score,top10_vs_universe_score_spread,top10_vs_median_score_spread,score_vs_entry_gap_spearman,top10_entry_gap_mean,universe_entry_gap_mean,top10_entry_gap_vs_net_spearman,top10_signal_close_to_exit_proxy_mean,top10_gap_payoff_erosion,monthly_mean_daily_ic,yearly_mean_daily_ic
20200102,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,319,318,0.4098474900168332,10,10,0.0,0.059748427672955975,-0.0004226093556881527,-0.006208017224096041,-0.004897776992490979,-0.03293509567654305,-0.056907759415169665,-0.07313883407898358,-0.007923373024778076,-0.06080143228595612,0.02672707845244701,0.06693081685488754,0.05287805926117804,0.0021910016455900993,0.000566922243314335,-0.007643726871007483,-0.007778788050797815,0.008210649114321818,0.00834571029411215,-0.23375705422529233,0.0013333161919874327,0.0064288298869238,-0.15007329587537335,0.0009108344470828977,0.0013334438027710505,0.21579303358687854,0.0960694372397522
20200103,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,319,318,0.17837798100501137,10,10,0.0,0.12264150943396226,0.018959154295185077,0.013067993867885716,0.02385100633276152,-0.0017654554192473618,-0.0043002998131428,-0.05244268213889386,-0.0003184177678520484,-0.016908689261857714,0.014833449287133078,0.06551067600677958,0.016590271494005666,0.0019837599884523173,-0.0005259043705167484,-0.007643726888490195,-0.007799585847584969,0.0071178225179734465,0.007273681477068221,0.03385262366670175,-0.006185153446982283,-0.005450646814062813,-0.16565664216775913,0.012602688966446108,-0.006356465328738969,0.21579303358687854,0.0960694372397522
20200106,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,323,322,0.17584337783531898,10,10,0.0,0.13354037267080746,0.03308291913134751,0.027108844641282714,0.030303563324132074,0.003546861579319567,0.004031870289925819,-0.012572788899745646,0.009139496995907496,-0.012556769146068578,0.023561983061963148,0.03968163354102836,0.021696266141976076,0.0008611240243859833,-0.0009178332005483507,-0.007643726946399158,-0.007741408316207629,0.0067258937458508075,0.006823575115659278,-0.2629611929101269,0.0009386133922608564,0.0038279452698388797,-0.21885688981825285,0.03400769812236957,0.0009247789910220572,0.21579303358687854,0.0960694372397522
20200107,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,326,325,0.027414051650328845,10,10,0.0,0.23692307692307693,-0.026744212871567162,-0.032377042871919406,-0.032643778281311236,-0.025981639009955017,-0.053427335567753476,0.005696782075759454,-0.03944642902389646,-0.0010268425340531754,-0.00639540386196439,-0.03807382494767886,-0.03841958648984328,0.00034666697236436766,-0.001273171766308897,-0.007643726918593049,-0.007510361357958085,0.006370555152284152,0.006237189591649189,0.21095883906943408,-0.007616441103987448,-0.008811713879394908,-0.17575757575757578,-0.034172394853181354,-0.007428181981614192,0.21579303358687854,0.0960694372397522
20200108,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,323,323,0.041921021992503596,10,10,0.0,0.19504643962848298,-0.03420069786429926,-0.03979293570981709,-0.034451806697170226,-0.0319799990028799,-0.05944542034439312,-0.0024111782556145767,-0.018364922128413723,0.00295140817503726,-0.007812936706937189,-0.03738175745420251,-0.02131633030345098,0.0011479090004374885,-0.0014475558901663162,-0.007643726917002215,-0.0075795122034822224,0.006196171026835898,0.006131956313315906,-0.3140864799638048,0.004033701864462036,0.010370002993727914,-0.1063019179117228,-0.030363599842899446,0.003837098021399813,0.21579303358687854,0.0960694372397522
20200109,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,321,321,0.13766599466553242,10,10,0.0,0.14018691588785046,-0.0330015438716838,-0.03859129088184477,-0.05092671328508919,-0.047720540399874216,-0.0673921789641211,-0.013245391309294599,-0.05030059868835468,-0.02473974175025976,0.009129249518029445,-0.025345899572550172,-0.02556085693809492,0.0017605922039687734,-0.0013842628318884193,-0.007643726898030527,-0.0077996063507065625,0.006259464066142108,0.006415343518818143,-0.10391595462054931,0.004220997191900078,0.005194075478067724,-0.15338577978496223,-0.028934165775310272,0.004067378096373531,0.21579303358687854,0.0960694372397522
20200110,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,315,315,0.17358588359958996,10,10,0.0,0.11428571428571428,-0.04179341578928303,-0.04733815560188628,-0.047122710301548396,-0.0518801978341715,-0.06962045430284197,-0.010955784335989411,-0.045953117290041284,-0.038341550894371385,0.004542042232285222,-0.036382371265896864,-0.0076115663956699,0.0007345382166844125,-0.000775672023565819,-0.007643726932365425,-0.007588983982796053,0.006868054908799606,0.006813311959230234,-0.25416903529467755,0.004389739446264462,0.008244214801062792,0.5752809675222647,-0.037502668062794745,0.004290747726488284,0.21579303358687854,0.0960694372397522
20200113,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,310,310,0.31539134851687833,10,10,0.0,0.06774193548387097,-0.049499897328875705,-0.05499693008294575,-0.06443339409035109,-0.06758490816087297,-0.08328196754983602,-0.09699223914968225,-0.0367930223237729,-0.08814041151247115,0.01258797807792722,0.0419953090667365,0.05134738918869825,-0.00019220624293670493,-0.0010424077922907165,-0.00764372693128607,-0.007910097995110135,0.006601319138995353,0.0068676902028194185,-0.24999015250989493,0.0007419735421241525,0.005533025530898987,0.2121212121212121,-0.048761843450286516,0.0007380538785891899,0.21579303358687854,0.0960694372397522
20200114,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,306,306,0.3500111875808135,10,10,0.1,0.05555555555555555,-0.02061980885805268,-0.026282223455540998,-0.059000406546002346,-0.07053871474466995,-0.08372186872570972,-0.10519815806394947,-0.033741217943930764,-0.0955677323812279,0.04425649128912895,0.07891593460840847,0.061826514437297135,-0.0001564395164825672,-0.0008542440067767904,-0.007643726897569786,-0.007809378165790926,0.006789482890792995,0.006955134159014135,-0.10774124579108305,0.0008124320594579792,0.002044128046719972,0.2133477006656279,-0.01979275203319114,0.0008270568248615398,0.21579303358687854,0.0960694372397522
20200115,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,303,303,0.3574666372179218,10,10,0.1,0.039603960396039604,-0.04569835785562817,-0.05122726725546338,-0.0680743924216594,-0.07272712517334545,-0.08098015832186628,-0.07163981881592203,-0.04360572550993001,-0.08171382978150082,0.021499857917882073,0.020412551560458653,0.03810810427157081,0.00042622274562068973,-0.001267646570539144,-0.00764372691473944,-0.007705302626469599,0.006376080344200296,0.006437656055930455,-0.03444615335387209,0.0004129701858488044,0.0010718594997194137,-0.17508551185460228,-0.04525272072233386,0.0004456371332943049,0.21579303358687854,0.0960694372397522
20200116,2020,202001,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,304,304,0.38334049318511537,10,10,0.0,0.023026315789473683,-0.049759717393910365,-0.05525801693338628,-0.06716391063355934,-0.08128064294138194,-0.09093594441703076,-0.10662133002206586,-0.05748969900317944,-0.08724151171193525,0.026022626007995667,0.051363313088679585,0.029751812708755813,-0.0008694235430174169,-0.001459160257742739,-0.007643726951467092,-0.007896711899574197,0.006184566693724353,0.006437551641831458,-0.30018627874007564,0.0018676444782318113,0.005916171635822525,0.32121212121212117,-0.047953309200308394,0.0018064081936019702,0.21579303358687854,0.0960694372397522
