time_slice,model,market_proxy,regime_dimension,regime_group,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent,top10_minus_regime_universe_net_spread
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL_MA20,3950,3930,395,402,0.10585241730279898,0.20371512212464102,0.5196100132322737,0.005822855235730155,9.953620855680754e-07,-0.0036878512737275266,1.372831743792813,1.0000538803914345,0.0004400465035734103,0.0027505586676581156,0.004415456379318153,0.006662119544097627,0.019332472765615824,-0.013615565050712583,0.033413956810395634,-0.023778261804550487,1.4052312605962285,0.001302836480015469,0.007132942897277242,0.0013100876615470868,18,0.005119785611028232,-0.0006979603050948972,1.326313438971983,0.9623914432239,90,0.0029305381178324386,-0.002874689110574739,1.1833424108239845,0.8479525272142993,True,0.0061229337563156756
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,0050,0050_CLOSE_VS_MA20,BELOW_MA20,3160,3139,316,456,0.14144632048423064,0.21068660022148394,0.6713588825085953,0.002034714991311695,-0.0037643470729257812,-0.004361675410938438,1.0919990354279259,0.8492524614247685,-0.0011867099917404007,9.137056162850918e-05,0.0011059817609857196,0.00324674635737969,0.02069766641564688,-0.021612684883249342,0.03678112812450841,-0.03623234107874282,1.0151463314107394,0.0005510482197165228,0.0025909548495369147,0.0005562398582252197,15,0.00129616158470197,-0.0044985893769876615,1.058325509923746,0.820709766031574,72,-0.0009491236610548954,-0.006730983812120147,0.9580699915820071,0.7366328661544109,False,0.004945015697275146
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,4030,4008,403,378,0.10678642714570859,0.20137255325118156,0.5302928597846639,0.005791697572396776,-3.0198615142132197e-05,-0.0036122244294358296,1.3652159358697065,0.9983855377028487,0.0003045711672359002,0.0021397309469049766,0.002826357236661694,0.006556090991036117,0.018594229066777154,-0.014643626977767334,0.03314739961413824,-0.02468987218067856,1.342550474606274,0.0010113535599586966,0.006803584510950465,0.0010118869385536888,19,0.0050632991543156,-0.0007543313145093506,1.3177706294616982,0.9598635146000605,93,0.0028673212476394315,-0.002937735239625226,1.1766136434034982,0.8465886165712355,False,0.0076011487757335384
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,0050,0050_MA20_SLOPE5,FALLING,3080,3061,308,460,0.14113034955896767,0.21416397990276004,0.658982661897893,0.0019789831963347394,-0.0038194503885750014,-0.005795896530367809,1.0900865726283793,0.8461985172536844,-0.0010507746302878482,0.0008234126500010258,0.0031023784756335974,0.0032985475112857795,0.02169909269779253,-0.02047034680526908,0.0372159535427052,-0.035356053524304945,1.0526048535683346,0.0009135519960262994,0.0029064704799433108,0.0009274872836085714,14,0.0012751025906320374,-0.004519224159649591,1.0577792912804522,0.8188523696886543,70,-0.001000919308564274,-0.006782199249806783,0.9554784671492822,0.7331401257736488,False,0.0029275339938357728
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,0050,0050_VOLATILITY20,HIGH,3560,3540,356,440,0.14519774011299436,0.23518763213530655,0.6173697944688697,0.006909144127049928,0.0010819378057382574,-0.0004526537599543506,1.3669391582551222,1.050371955971527,-0.0003544445195314511,0.0022624030608256037,0.005309246261382737,0.01038371920918893,0.02230008111432074,-0.01790538697501614,0.038953227574985615,-0.02887730202534166,1.3489219851910574,0.0007690984428154352,0.007694815570526965,0.0007856714434770371,18,0.006154030161852019,0.0003312363658190116,1.3251737789627853,1.0153430118107825,88,0.00377852667142194,-0.0020306680707668297,1.195686031196256,0.907808053644312,False,0.0015827868393987715
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,0050,0050_VOLATILITY20,LOW,3550,3529,355,396,0.09804477189005384,0.18140849058273215,0.5404640740635019,0.0013636784427288663,-0.0044325399606775775,-0.005803913227646286,1.0750210386791097,0.7912953356507879,-0.00020996494924575756,0.0008749223353713944,0.0005751455237063263,-0.00010901087458494586,0.017569936441737134,-0.016425706604211672,0.030852475441268814,-0.029741070662609136,1.0373693600767693,0.0011695322302590866,0.0025292790420318747,0.0011656005993030084,15,0.0006847079381035611,-0.005107545634874525,1.0375082290333082,0.7605351081664612,75,-0.0013881413299938695,-0.00716849956152897,0.9252561511848677,0.6696468642497841,False,0.008858044403328033
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL_MA20,3130,3120,313,382,0.11698717948717949,0.19061921953714664,0.613721846995506,0.009820121961171536,0.003975662515955451,0.0012991719445849632,1.7146357411272208,1.243887496697183,0.0003525754834896197,0.0019523253096648434,0.005268041018960169,0.01074808999981638,0.018414274591256493,-0.012611928584778598,0.034154556661527724,-0.02134398238869355,1.6001960664857118,0.0008510609433171834,0.01068037135322626,0.0008602493920547242,16,0.009014124854780587,0.003174345383890065,1.6526172351777786,1.1937319820889134,80,0.006569559050230839,0.0007438586916324602,1.465825288361874,1.044462047306793,False,0.009651196745871626
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,0050,0050_CLOSE_VS_MA20,BELOW_MA20,1680,1671,168,319,0.12387791741472172,0.18973219246582954,0.6529093234245524,0.009567718807492163,0.0037246633341517514,0.0038770561653283853,1.5921426823897775,1.2005607490008237,0.000372545620663496,0.004054284676392136,0.007391196553318367,0.011368094711973994,0.021643530738720763,-0.013501379039088171,0.03775642209852126,-0.02365981527979621,1.5958037563700906,0.0011548756949150982,0.010762427058533398,0.0011947082510412356,9,0.008716389792269866,0.0028782809690525274,1.536548736672494,1.1541511165772025,45,0.006156602545439517,0.0003332521487274596,1.370768792505073,1.0174612756687533,False,0.010961973255080774
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,3140,3140,314,356,0.12070063694267516,0.19022767303803248,0.6345061946825334,0.010080238178825337,0.004234439691851665,0.0015430058579121993,1.7266896834964787,1.2578976390563055,0.00040390376452775284,0.00232546839480977,0.005912638788339664,0.011444049769339349,0.0184929519539246,-0.012288530059705595,0.03454470553667352,-0.021253982369479927,1.625328606006499,0.0006214125542634369,0.0107063373235288,0.0006260991447034642,17,0.009238426124055657,0.0033975133999113215,1.6623972599845351,1.2058045295504993,82,0.006763267136622574,0.0009366217459983294,1.474834838455777,1.055555042512822,False,0.010617593727179787
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,0050,0050_MA20_SLOPE5,FALLING,1670,1651,167,319,0.11689884918231375,0.19046501754150746,0.6137549597885519,0.00906995200766992,0.0032294602354538777,0.0034345179417688224,1.569012944737294,1.1757567787668053,0.00027516742580204184,0.003370075045852751,0.006190970093497377,0.010051975037801385,0.021533014811507822,-0.014127218153452449,0.03705803920377994,-0.023859038004298238,1.553207601962153,0.0015953192059149305,0.010714036972134956,0.0016440849644650361,9,0.008203270978370336,0.0023678140398304087,1.5118353706746723,1.1281609782726942,44,0.005753660014256581,-6.773849825290779e-05,1.3513420707418273,0.9964117184620851,False,0.009142151740799532
