period,cohort,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,329750,328434,0.9960090978013647,0.20566689197829702,-0.0017367139793534317,-0.007513458544661102,-0.012345679012345734,-0.01807946929658401,0.4359536466991846,0.411169367361479,0.9426950955794915,0.7754083162173876,-0.0027894432650422975,-0.0020668891214910183,-0.0011809077262488852,0.0008868172948306119,0.02795323509752777,0.05093999396166771,-0.03150731536451395,-0.050922931331215615,4.7709208176726285,1.0003350677191207,1432,-0.0025298937221519637,0.9168871702432974,0.7529176054460187
HISTORICAL_DISCOVERY,RETURN20_TOP20PCT_SAME_DAY,65946,65639,0.995344675946987,0.26980910739042335,-0.004005450610404608,-0.009768826551919291,-0.04871060171919761,-0.05419268943554236,0.4033272901780953,0.38987492192141865,0.8940517761779182,0.7621533299270771,-0.004239200564441953,-0.0030717679970338864,-0.0018979835484440736,0.0005029380792659922,0.037996880043005284,0.06878720472548054,-0.04268461002091921,-0.0669861569130586,4.939938374008767,1.0268868658155672,265,-0.004763118451113043,0.8745193430192337,0.7448465224076464
HISTORICAL_DISCOVERY,NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,83735,83310,0.9949244640831194,0.1933261313167687,-0.0004883235030937841,-0.006272472394342664,-0.008689360095639531,-0.0144340838508046,0.4435361901332373,0.41362381466810705,0.9826726283104816,0.7996720172576505,-0.0031698074956700677,-0.0018968985370802825,-0.0006062586813182059,0.0027623500165645876,0.027384173409056894,0.05057993525747805,-0.0300274870189168,-0.04682064976911396,4.774680101609899,1.0802911857674382,370,-0.0012922603936270205,0.9543498725337675,0.775147605178653
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,3826,3814,0.9968635650810246,0.2933927635028841,-0.007762691881928449,-0.013504030541409837,-0.053333333333333344,-0.0588057374141604,0.37441006816990036,0.3665443104352386,0.8189653429182808,0.7081442550563187,-0.005194262429023116,-0.00457022961946853,-0.0007613403505662945,0.004911659120806359,0.044164562784747334,0.08016947006297818,-0.0497648472937526,-0.07518123046904884,4.605613856807186,1.0663495338239102,15,-0.008520795839217292,0.8020670307277423,0.6930654280310149
HISTORICAL_DISCOVERY,N_RETEST,915,912,0.9967213114754099,0.25109649122807015,0.001279009957468993,-0.004514460414313009,-0.016883240252209608,-0.022580203610412054,0.4440789473684211,0.42653508771929827,1.041054431521065,0.8681072502747403,-0.00303099599274088,-0.0003080130864603362,-0.0009919676573968018,-0.0010952641379496392,0.030528096699940825,0.054155457049706375,-0.03232258125871213,-0.054254219418566466,4.780652039831233,0.9981796370877969,5,0.00035897400416474583,1.0114593917218617,0.8422527220556306
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,121,120,0.9917355371900827,0.2833333333333333,0.0018931800673161866,-0.003904151153131507,-0.015945691932534034,-0.021643480556373218,0.43333333333333335,0.4166666666666667,1.0599126389693454,0.8875181595331612,0.00022816882203104775,0.004317604511720179,0.004247707331997144,0.0016761012034715666,0.03479093247459131,0.0626247272523644,-0.026885485671343842,-0.050348087458984406,5.503881145213215,1.2438352758360691,1,0.0006185729370295289,1.019412575456942,0.8522553735493137
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,ALL_ELIGIBLE,258695,258121,0.9977811708769013,0.19030997090511814,-0.00043561001077516305,-0.006220023808192435,-0.009493670886076,-0.01523493800249752,0.43848815090597043,0.40969545290774484,0.984276349060636,0.7984476632463829,-0.0026493386799410316,-0.0013896528061426168,-0.00014426844348264063,0.0025235639090929107,0.026020174739846046,0.04760372600485094,-0.027632752030464416,-0.04401110925836116,4.64724680632351,1.0816297704609037,1132,-0.0012282921862877983,0.9558583638233507,0.7739060602589118
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,RETURN20_TOP20PCT_SAME_DAY,51747,51570,0.9965795118557598,0.2824898196625945,-0.0010300679662280442,-0.006810544669701483,-0.037735849056603765,-0.04328391376570748,0.40903626139228233,0.3971495055264689,0.9713688930751216,0.8263362696370795,-0.0036629696970935715,-0.0017224531225684485,0.0002711337564865128,0.005175540818413129,0.03776940519266851,0.06829401030134835,-0.03908712545557622,-0.06033281907023672,4.997206048299453,1.131954570560404,211,-0.0017867014926591606,0.9505411874315185,0.8079429479689952
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,68564,68336,0.9966746397526399,0.1937485366424725,6.948072951517604e-05,-0.0057179515902278715,-0.008878367158186795,-0.014622063712951336,0.4391974947319129,0.40848162022945445,1.0025253941722594,0.8135558816300894,-0.0030830367066014396,-0.0021120808717681933,-0.0008708405384520747,0.0034574856122895287,0.02602189326990585,0.0485425582043223,-0.028704444613669906,-0.04435779043846218,4.590594462712347,1.0943412132230905,301,-0.000729509862805884,0.9736015269417437,0.7885893623916721
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL_FROZEN_CANDIDATE,2543,2536,0.9972473456547385,0.31742902208201895,-0.0015683360149258223,-0.007345798163816996,-0.05121430801790233,-0.05669102727250432,0.3939274447949527,0.38761829652996843,0.9603401903080382,0.8285185041621932,-0.004570525614323362,-0.0016977633482342408,0.0005794457446746844,0.009540186961365781,0.04389553144452696,0.07939087799745177,-0.04571059137550331,-0.06848729166943282,5.356316768216796,1.159205979127445,10,-0.0023030718674240287,0.9419899689867975,0.8122085907073965
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,598,597,0.9983277591973244,0.24120603015075376,0.00359146443416149,-0.0022157349219388443,-0.011299435028248594,-0.01704187890647525,0.4304857621440536,0.4187604690117253,1.1277400095770687,0.9291480377289715,-0.003849469844187272,-0.0011361632102720848,0.0013250019272473255,0.004909926143216733,0.029218290586497005,0.05376767797501925,-0.0291581183352526,-0.04765552474570872,4.485640236089569,1.128256970454636,3,0.0026911021454318214,1.0952352378284325,0.9010238000000648
