cohort,feature,gross_high_minus_mid_2020,mfe_high_minus_mid_2020,mae_high_minus_mid_2020,gross_high_minus_mid_2021,mfe_high_minus_mid_2021,mae_high_minus_mid_2021,gross_high_minus_mid_2022,mfe_high_minus_mid_2022,mae_high_minus_mid_2022,gross_high_minus_mid_2023,mfe_high_minus_mid_2023,mae_high_minus_mid_2023,gross_high_minus_mid_2024,mfe_high_minus_mid_2024,mae_high_minus_mid_2024,gross_high_minus_mid_2025,mfe_high_minus_mid_2025,mae_high_minus_mid_2025,gross_all_years_positive,gross_all_years_negative,mfe_all_years_positive,mfe_all_years_negative,mae_all_years_positive,mae_all_years_negative,gross_direction_consistent_2020_2025,mfe_direction_consistent_2020_2025,mae_direction_consistent_2020_2025
ALL_ELIGIBLE,bias_5,0.0036584751026813903,0.019274942727330234,-0.008921411747065212,-0.0012042719342495254,0.020143872258104226,-0.014989039703616876,0.0004209606747425012,0.009878756508131227,-0.008148819506386455,-0.0027627286794477826,0.012521890195322322,-0.013324766365989477,-0.0008434461485008148,0.01548278597049084,-0.014573210879388648,0.001739633089151386,0.015337670327985116,-0.007615366687786472,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,bias_10,0.0050053562557511744,0.02257647068112023,-0.0066044057249249125,-0.0021446756190302146,0.0200957356814982,-0.015322106648887529,0.00024260346157211482,0.01008663032295714,-0.008666347084403433,-0.0017358280132560556,0.014760819831093758,-0.013419709792713397,-0.0008813847883231227,0.018696884671738655,-0.016380120186423264,0.0004914606318531963,0.01567257609301379,-0.00840799336291357,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,bias_20,0.003715143614093751,0.023053410641786357,-0.009135186583868575,-0.002044054249401716,0.025127618766099473,-0.020189382908395545,-0.0011303943648658266,0.01185505662490463,-0.013153580540749187,-0.0030462627025379125,0.016624362502399292,-0.016321300958682075,-0.0019560394006531206,0.022700724313971174,-0.020438902894704417,-0.000950389268884765,0.018976279494803128,-0.011017255059320462,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,bias_60,0.0010013610813767186,0.027227197308635057,-0.0139198949514895,-0.006889985799015915,0.02579940379776418,-0.030246921940142828,-0.006284516307501558,0.012747713257508127,-0.02196376423436726,-0.002583335516867968,0.020727942246899174,-0.01865295406457329,-0.000431781141640246,0.025430400332136893,-0.021541403767257772,-0.0010712309871952546,0.02433199892437913,-0.016345987160899078,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,atr_adjusted_bias20,0.002779075582942255,0.011106642301391884,-0.0016860573082190522,-8.488884590671748e-05,0.013518637562595769,-0.00743841690129083,-0.0009212142102144813,0.0015293291869694012,-0.002427615463531381,-0.0011181576183474356,0.006229831078202908,-0.00570394118043905,0.0002237043926724136,0.013398806577030013,-0.010515236069369549,-0.0021181948221346237,0.00780578119069153,-0.00467071670473896,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,atr_adjusted_bias10,0.0026922830785709026,0.00981960054922245,-0.0003585448194448129,-0.002052757356078222,0.007249680179247639,-0.0043684162478397764,0.00026414743141307817,0.0008123498427140413,0.0007793061522170311,-0.00045791236188960464,0.00433620688214497,-0.0034321102398492814,0.0005948762390437286,0.009811674635998857,-0.007125134946046108,-0.0005771642292589361,0.005212534634943089,-0.0022570669111388053,False,False,True,False,False,False,False,True,False
ALL_ELIGIBLE,return_3,0.0029741600684063166,0.01842465194005618,-0.009118799071739098,-0.0023152841911254487,0.019487269077202447,-0.016214653471571312,-0.0014864389429453742,0.008730202016261741,-0.00992462625003536,-0.0029809765162953795,0.012491928479149685,-0.013186746591919478,-0.0008350859340861255,0.014937214239146027,-0.014541421312112099,0.00138326758221532,0.015042432810240376,-0.007395702662437442,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,return_5,0.003991850852090257,0.020665025573620086,-0.007634335125051933,-0.00218284770427284,0.01844731380511034,-0.01505070800328271,-0.0006188637138823533,0.009418341548818689,-0.009427676643450685,-0.0023748125989314344,0.013269325311625724,-0.013565295561831912,-0.000318947124232233,0.01642673349911715,-0.015052993602285215,-9.118977752924627e-05,0.01498262032318503,-0.009422340422218713,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,return_10,0.0034746500334314097,0.021989991791174203,-0.00765350897345686,-0.0017018333384072176,0.021465848182908864,-0.017385184834673537,-0.001039768296774152,0.010471303312773204,-0.010876790596163775,-0.0014229853647157813,0.016391449651150157,-0.014423906869289453,-0.0021617361022444937,0.019781910424204505,-0.018703232302821067,0.00219864796028429,0.018293564014249336,-0.0076450221009488895,False,False,True,False,False,True,False,True,True
ALL_ELIGIBLE,return_20,0.004378947066266022,0.026753092950693468,-0.009398281529924842,-0.0009056245341609141,0.02829617211207728,-0.023049938614752942,-0.0016306109403873247,0.013618782568210953,-0.015092694138327811,-0.004190556713734818,0.017290984163764317,-0.01805261991418241,-0.0005288638970531779,0.024611119688818184,-0.01985325792590127,-0.000665052162119028,0.020495949339560997,-0.011862877006810373,False,False,True,False,False,True,False,True,True
