period,cohort,feature,resolution,bucket,lower_bound_exclusive,upper_bound_inclusive,equality_rule,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,1,,-0.036576214001297305,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32829,0.9955724033358605,0.27341679612537695,-0.004195223967730109,-0.009957589265298489,-0.040123456790123524,-0.04566027729527077,0.41935483870967744,0.40747509823631545,0.8892103844250545,0.7573358141837689,-0.001182906132248684,-0.0007472361852685224,0.0017573788021725085,0.005897386035592858,0.0387262917403103,0.06685009147455052,-0.04078158731304074,-0.0667096053071213,4.8847085258895175,1.0021059361209295,138,-0.004980111987235708,0.8690355073864247,0.7394189529527659
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,2,-0.036576214001297305,-0.02108433734939994,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32865,0.996664139499621,0.21262741518332573,-0.003583648293102316,-0.009349548357004814,-0.018867924528301994,-0.024564768167226216,0.4226380648105888,0.40313403316598206,0.8904251930548029,0.7395877742649858,-0.0032507536882549113,-0.0013165246196386014,-0.0009062880271133435,-0.00259134859646099,0.028659599958515358,0.05110023828686105,-0.032181371077901734,-0.054722354144544384,4.609212559197426,0.9338092098867707,139,-0.0043651130336387735,0.8670953680036642,0.7191404294113632
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,3,-0.02108433734939994,-0.01210336931632906,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32843,0.9959969673995451,0.1837834546174223,-0.004411578057042872,-0.010172770939380515,-0.01656626506024106,-0.022258536402660605,0.41902384069664766,0.3949091130530098,0.8572966623086822,0.7021407226837554,-0.00330002537291437,-0.0024839790784977,-0.00260998681139185,-0.004234354079386108,0.02509821610755406,0.04556483542283348,-0.030355700107820315,-0.051051617042691705,4.531257995158909,0.8925248221761531,138,-0.005184733330072549,0.8329917519738199,0.6809795584879834
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,4,-0.01210336931632906,-0.005612065941772304,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32891,0.9974526156178923,0.1722355659602931,-0.002104550501099795,-0.007879175298851125,-0.008968609865470767,-0.01471212773840483,0.4390562767930437,0.40740628135356177,0.9242383538388251,0.7453239261879258,-0.0027867437765588857,-0.0022410012261969846,-0.00216368094134265,-0.002257422069942868,0.023263247047815985,0.04288038433529811,-0.027427999868820448,-0.04597808042533306,4.667730586742986,0.93262667642105,145,-0.0028941842838345966,0.896271663883496,0.7211831360880622
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,5,-0.005612065941772304,0.0,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,34607,34488,0.9965613893143006,0.1544305265599629,-0.001806088662951159,-0.007582675216827597,-0.0063979552740764944,-0.012147375144008807,0.4492577128276502,0.4122013453954999,0.9304862573456417,0.7394841476999814,-0.002391606920054806,-0.0023707403690046273,-0.0027245838814964184,-0.0017755469389377947,0.02148239843221648,0.04020413695007031,-0.025938817684129253,-0.0427989462344752,4.708765104442471,0.9393721221501773,155,-0.002601320351060531,0.9003289146348445,0.7136137291864898
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,6,0.0,0.005237125400066711,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,31344,31221,0.9960758039816233,0.15624099164024213,-0.0004784919966906456,-0.006262729724521026,-0.004601226993865004,-0.01035744443875187,0.4611959898786073,0.4237212132859293,0.9809905847701276,0.7781814141064896,-0.0019692243806128744,-0.0018101598704127547,-0.0015329496467807024,-0.00016801626374914579,0.022300287732468435,0.04101013349072021,-0.02517630863656359,-0.04142381383039508,4.710277659253974,0.9900134656512161,144,-0.0012951738174099307,0.9487829672611503,0.750578619430048
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,7,0.005237125400066711,0.011463250168582073,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32976,32829,0.9955422125181951,0.17603338511681746,-0.00021259132210829705,-0.005998452132988952,-0.006586169045005419,-0.012341999206320804,0.45176520759084954,0.4205732736300222,0.9919778663362624,0.7973147861536051,-0.0019497032459079478,-0.002030748034394747,-0.0014625261489652455,0.0009154854295006805,0.02400525918151728,0.04419977105566799,-0.02687087857293277,-0.043252164534121174,4.846936841733948,1.021908880902348,149,-0.0010193295413405167,0.9617101763882113,0.7712558314197487
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,8,0.011463250168582073,0.02031904965605982,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32973,32829,0.9956327904649258,0.2007066922538,0.0007228648382828922,-0.005068243730468822,-0.008375209380234505,-0.014120710027284194,0.4515824423527978,0.4260257698985653,1.0258885085814242,0.8364902067052117,-0.0026444159988569162,-0.0020050447105341464,-0.0006065388395467523,0.002639308101928168,0.02635611603694368,0.04882123151563131,-0.028911624792288808,-0.04615179930330297,4.758171657640627,1.0578402630585475,149,-8.268581417072904e-05,0.9970521503282833,0.8115114821974826
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,9,0.02031904965605982,0.037046370967701005,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32819,0.9952691432903715,0.2351686523050672,0.0005901152609423402,-0.0051998784216863575,-0.01430030643513791,-0.020015092347299923,0.43819129162984854,0.41951308693135075,1.0192748794516788,0.8458532084546415,-0.0032752659125070043,-0.0022491056628808504,-0.0006355783078212822,0.0043714322741208265,0.030018890985939645,0.056059663804149625,-0.03313137064469607,-0.051461305757975466,4.886803984599126,1.089355642622059,144,-0.000204254470351302,0.9933577281327146,0.823219848036786
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,DECILE,10,0.037046370967701005,,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,32975,32820,0.9952994692949204,0.2922912858013407,-0.0018182650585386259,-0.007594241686995403,-0.050000000000000044,-0.05547806437777851,0.4080438756855576,0.3973187081048141,0.9516165605625683,0.8139279089885497,-0.005123785939624299,-0.0033871551870045015,-0.0008611397117790448,0.006168569261283602,0.03968530319414932,0.07279049752824139,-0.044280249522536855,-0.06563420638703954,5.10354389960395,1.1090329499682192,134,-0.002576386245305878,0.9317231122736481,0.7962948132652082
