time_slice_type,time_slice,bias20_quintile,entry_gap_bucket_number,entry_gap_bucket,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
PERIOD,HISTORICAL_DISCOVERY,1,1,< -1%,11341,11303,0.996649325456309,0.3493762717862514,0.007821964136571637,0.0019900931250573664,0.0,-0.005800887920424374,0.4971246571706627,0.48880828098734846,1.230638944716334,1.0543038508767475,0.004382701498623662,0.0027224353881233525,0.009521623819182047,0.03023472024304508,0.047501883680037674,0.07989611475049167,-0.03959760241820899,-0.059139372147487025,5.829434950712948,1.350980097509991,57,0.006930874657774411,1.2033336320556534,1.0299774543594609
PERIOD,HISTORICAL_DISCOVERY,1,2,-1% to 0%,9200,9169,0.9966304347826087,0.20503871741738466,-0.005870250703181218,-0.011622806018718977,-0.019920318725099584,-0.025614200643919775,0.4220743810666376,0.40353364598102304,0.8271802145680477,0.6872012963590781,-0.0059556431578289765,-0.005715231933701912,-0.004125462125817288,0.00023834969632414882,0.025756045876575054,0.047498358295756354,-0.038504063953022714,-0.05725961490034933,4.305090939998104,0.8295263315762638,39,-0.0066353589304801374,0.805486370515192,0.6681469892996528
PERIOD,HISTORICAL_DISCOVERY,1,3,0% to 1%,25558,25491,0.9973785116206276,0.19395080616688243,-0.005941275188125327,-0.01169374737391804,-0.01757812500000011,-0.023267274015774872,0.42462045427798045,0.403122670746538,0.8197579233441414,0.6765217583903516,-0.004321118476582559,-0.003823164725812431,-0.0041262255812838915,-0.0033859317178860163,0.025880759063522003,0.046329106289092904,-0.03464870788458819,-0.05532429210241706,4.522842905868624,0.8374098344236895,109,-0.006713540998279526,0.7972003850078994,0.6567567459001131
PERIOD,HISTORICAL_DISCOVERY,1,4,1% to 2%,11747,11709,0.996765131522942,0.2436587240584166,-0.0023394084393862573,-0.008112673570669466,-0.017353579175705125,-0.023043163568459448,0.444786062003587,0.42881544111367326,0.9310880516554952,0.7807725686400948,-0.0028022225821152276,-0.0013610977744674228,-0.001428426712203762,0.0027629029692168103,0.0311220120483413,0.05499812021778697,-0.035620338868783775,-0.05720020350213532,4.913243847952946,0.9615021774482647,53,-0.0031590481140668153,0.9073651399236252,0.7598434830755864
PERIOD,HISTORICAL_DISCOVERY,1,5,2% to 3%,4597,4585,0.9973896019142919,0.31842966194111233,0.005697793711153174,-0.00012184115359597996,-0.007874015748031482,-0.013633255701630417,0.4820065430752454,0.4728462377317339,1.167000777848561,0.9967014273005461,-0.001896834973735846,0.0024236512072753915,0.004456882017422596,0.019164552946006448,0.0385596385434445,0.07106532155018017,-0.03691012733106174,-0.05766039573000874,5.713242497297135,1.2324806420500334,23,0.004805348453140487,1.1401369298967152,0.9728169789250725
PERIOD,HISTORICAL_DISCOVERY,1,6,>= 3%,3480,3467,0.996264367816092,0.44014998557830975,0.020020819812073425,0.014118597460480187,0.0331125827814569,0.027128148532770555,0.5491779636573406,0.5419671185462936,1.630700471336817,1.4130107187660375,7.908220578218085e-05,0.01344895310594811,0.02122572813394991,0.05342683536325549,0.05403372132300049,0.10233449537096616,-0.034373445736248384,-0.05395806202942381,7.360152874838785,1.8965561682916308,20,0.01909832386662853,1.5981691267698326,1.3839531357104267
PERIOD,HISTORICAL_DISCOVERY,2,1,< -1%,6745,6728,0.9974796145292809,0.20199167657550535,-0.005968522791818959,-0.011720328636183844,-0.02224696857213565,-0.02791291385597206,0.4289536266349584,0.40918549346016647,0.8242248453008555,0.6841290829761051,-0.00011961412462568196,-0.005285589816224451,-0.005936952767510928,-0.008310524813571555,0.026480182404874934,0.04642293206277461,-0.03546250626510878,-0.058527660457899935,4.397092807250625,0.7931793565568457,29,-0.006735881331136868,0.8024809197607969,0.6650176873338071
PERIOD,HISTORICAL_DISCOVERY,2,2,-1% to 0%,11905,11879,0.9978160436791265,0.1362909335802677,-0.005294116913409663,-0.011050678971359864,-0.009756097560975618,-0.015497526619240361,0.43118107584813536,0.3976765721020288,0.8098762636769795,0.6441916617796828,-0.0029884965570635977,-0.0048168782854310045,-0.005267787748804055,-0.006387557679695635,0.018994396024955833,0.03641511439773493,-0.028392454668025285,-0.0463427806610277,4.202866379532753,0.7857775014428188,52,-0.006071474243843845,0.7829140661605412,0.6209742170009862
PERIOD,HISTORICAL_DISCOVERY,2,3,0% to 1%,34859,34768,0.9973894833471987,0.14317763460653474,-0.0036929077488672447,-0.009458583877667168,-0.008645533141210526,-0.014390118680555706,0.43528531983433044,0.4009146341463415,0.8624652125898932,0.6852079532177304,-0.0027004384392437315,-0.002610232179042521,-0.002949457450328002,-0.005924118921916186,0.02029663994523201,0.03744648681833381,-0.02540896805647546,-0.044217308085801786,4.503930025984837,0.8468739604335594,152,-0.004477337268431524,0.8339797417930133,0.6607423310489663
PERIOD,HISTORICAL_DISCOVERY,2,4,1% to 2%,9253,9220,0.9964335891062358,0.20032537960954447,-0.0029092337580874147,-0.00867927728916822,-0.014590936739659444,-0.020289189522286352,0.4303687635574837,0.4058568329718004,0.9051286422944239,0.7435313860122376,-0.0033033118917372823,-0.0015288638906564465,-0.0018351264944776744,-0.00528711834507495,0.026748748336314784,0.047009932305805385,-0.03011462773278505,-0.05218172410397522,4.402409567371945,0.900888828666053,40,-0.0036985627939609463,0.8799115459203529,0.7215553815572635
