period,cohort,feature,cluster_unit,clusters,bootstrap_reps,comparison,metric,point_estimate,ci_low,ci_high
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_MID,net_average_return,0.0009935596921405183,-0.0011137569084497538,0.0030041638748961237
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_MID,primary_success_rate,0.07800594022967991,0.06843622548717553,0.08777296322022926
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_MID,average_mfe_10d,0.017159478500465772,0.015150408968300218,0.019092211003811498
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_MID,average_mae_10d,-0.01103395497175088,-0.013351406634967145,-0.008958822862678822
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_LOW,gross_average_return,0.003895003031916324,-0.0005424531993556537,0.00813014113451447
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_LOW,net_average_return,0.0038724630938582714,-0.0005393610883291025,0.00808303911102451
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_LOW,primary_success_rate,0.01945205935654154,-0.0009129927479273336,0.03875033878169937
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_LOW,average_mfe_10d,0.004720338037811411,0.0004985312594981099,0.008680857337379281
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_5,signal_date,735,5000,HIGH_MINUS_LOW,average_mae_10d,0.0030775521416664606,-0.0020603249718465014,0.0081928703477667
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,LOW_D1_D3,gross_average_return,-0.004140634087745967,-0.008459755780758863,0.00024299110437965503
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,LOW_D1_D3,net_average_return,-0.009903380331416795,-0.014197420615790197,-0.005545158535644135
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,LOW_D1_D3,primary_success_rate,0.22131604840591176,0.2013042100342701,0.2415153793410217
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,LOW_D1_D3,average_mfe_10d,0.05334140017738731,0.04924090847175014,0.05756347310043934
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,LOW_D1_D3,average_mae_10d,-0.057933351840047914,-0.0630944547157674,-0.053106153975993574
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,LOW_D1_D3,gross_profit_factor,0.8774620623499655,0.7640944585162387,1.007749878999857
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_D4_D7,gross_average_return,-0.0012369562322328293,-0.0036489406729474276,0.0011343498223867136
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_D4_D7,net_average_return,-0.007016812172838198,-0.009414844609140717,-0.004659309300376795
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_D4_D7,primary_success_rate,0.16530202261555085,0.15684274335407455,0.17400228356469705
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_D4_D7,average_mfe_10d,0.0419375947318649,0.04013216632648056,0.04375728016109283
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_D4_D7,average_mae_10d,-0.04341995269351455,-0.04612625828350211,-0.040889894279759705
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_D4_D7,gross_profit_factor,0.9532251680755843,0.868310725693485,1.0451679432469354
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,HIGH_D8_D10,gross_average_return,3.591916453578385e-06,-0.002681157151903316,0.0025639979886874988
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,HIGH_D8_D10,net_average_return,-0.005783018027406394,-0.00845225737404592,-0.0032374080035773066
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,HIGH_D8_D10,primary_success_rate,0.2438818736857076,0.2324134365677435,0.2549052325725002
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,HIGH_D8_D10,average_mfe_10d,0.060553284324245,0.05790495121518704,0.06312327724092004
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,HIGH_D8_D10,average_mae_10d,-0.05391863568702319,-0.05689317119624744,-0.05115802539057355
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,HIGH_D8_D10,gross_profit_factor,1.0001123435232124,0.9196993799967659,1.0834031525162822
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_MINUS_LOW,gross_average_return,0.002903677855513138,-0.0007655824716087297,0.006486242776358926
HISTORICAL_DISCOVERY,ALL_ELIGIBLE,bias_10,signal_date,735,5000,MID_MINUS_LOW,net_average_return,0.0028865681585785972,-0.0007613434732721295,0.0064483578202873875
