year,cohort,feature,resolution,bucket,lower_bound_exclusive,upper_bound_inclusive,equality_rule,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
2020,ALL_ELIGIBLE,bias_5,DECILE,1,,-0.036576214001297305,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,8345,8306,0.995326542840024,0.2919576209968697,9.54330085011651e-05,-0.005692102394018215,-0.013403057995767464,-0.01913554105859981,0.4633999518420419,0.44955453888755115,1.0026084680228313,0.8559394860228082,-0.0014366673824870529,-0.0034623195089362427,0.002770598286305187,0.022506042611853544,0.042608232594641665,0.0765917708862692,-0.04684710662147917,-0.06782822190196976,5.46940786515644,1.1292021040587672,39,-0.0007553726367504431,0.9794503626812896,0.8353078803609635
2020,ALL_ELIGIBLE,bias_5,DECILE,2,-0.036576214001297305,-0.02108433734939994,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,8376,8343,0.9960601719197708,0.2373247033441208,0.0028803365863375916,-0.002923118505255453,-0.004975124378109541,-0.010728203365622068,0.47237204842382835,0.4500779096248352,1.0977408971299392,0.9097910274198494,-0.00213491269703672,0.0017893699348038394,0.004934682174461608,0.004552582029155614,0.03179136950997104,0.05710640934756825,-0.028640001607759518,-0.05145588550724074,5.190637620498515,1.1098129744464775,40,0.0020285660315029486,1.0685070116131044,0.8842147511054018
2020,ALL_ELIGIBLE,bias_5,DECILE,3,-0.02108433734939994,-0.01210336931632906,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,9033,8990,0.9952396767408391,0.2028921023359288,0.0010252846289058664,-0.004767796189472394,-0.0074029758044628635,-0.013148740162894395,0.4560622914349277,0.42769744160177975,1.0365750212065041,0.8466024385372969,-0.0023692597459921408,0.0003447658236838958,0.0032443655352761332,0.0021802051858670016,0.027643000974382003,0.050452214197081194,-0.026656284058500755,-0.047018991645104084,5.208746748620691,1.0730177834924837,41,0.00020825896832022583,1.0073953489175675,0.8212862677956927
2020,ALL_ELIGIBLE,bias_5,DECILE,4,-0.01210336931632906,-0.005612065941772304,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,9660,9635,0.9974120082815735,0.18463933575505967,0.00208991690282102,-0.0037092469130364093,-0.003929273084479323,-0.009687349384219883,0.46870783601453037,0.43528801245459264,1.0819370264225832,0.8699106285859624,-0.002304838443100273,-0.0003365690188634959,0.0022119661894512235,0.00373803307847685,0.025215957405165943,0.046266168768024515,-0.024759661814377082,-0.04265322397752255,5.111514916374668,1.0847050809665857,46,0.001260793580181653,1.0491945246916223,0.8417591321894372
2020,ALL_ELIGIBLE,bias_5,DECILE,5,-0.005612065941772304,0.0,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,10565,10519,0.9956460009465216,0.16931267230725355,0.0016450591853977158,-0.004151890644524227,-0.003841229193341844,-0.009596731171441856,0.4644928225116456,0.4277022530658808,1.0682885037453496,0.8470032968702054,-0.0015495512856946345,2.2831428021299714e-05,0.0013074410350096231,0.0028601591763635437,0.023551220915822995,0.04293242721476564,-0.02309387055708382,-0.03964288865532979,5.288058777323402,1.0829792850878335,49,0.0008359785002336053,1.0345408805273044,0.8182121060649814
2020,ALL_ELIGIBLE,bias_5,DECILE,6,0.0,0.005237125400066711,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,9957,9909,0.9951792708647182,0.16934100312846906,0.002100108966703009,-0.0036993543187802307,-0.002587322121604174,-0.00835374737351944,0.47249974770410735,0.43112322131395703,1.0871969201187266,0.8634986861739639,-0.0013825077497400754,-0.0004083461305115516,0.0004433623718517395,0.004854746544457326,0.023445994158345893,0.04364098200780937,-0.02365896719079371,-0.039062954656185665,5.036353557712706,1.1171961361324922,47,0.0012774766149621399,1.0527894873992805,0.834111185662425
2020,ALL_ELIGIBLE,bias_5,DECILE,7,0.005237125400066711,0.011463250168582073,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,10302,10250,0.9949524364201126,0.19248780487804878,0.003053612489899371,-0.00275123850048537,-0.0033314835368108975,-0.009090634648776016,0.47004878048780485,0.44009756097560976,1.1211398797869985,0.9024374978629365,-0.0018694211328468434,0.00016675512753209072,0.0014979888144414824,0.0068508745997542175,0.025342801716872688,0.04770446153989298,-0.024753509688448964,-0.04068757809231419,5.385247456751518,1.1724576339161428,49,0.0022292370286416774,1.0880133082330572,0.8739786124969368
2020,ALL_ELIGIBLE,bias_5,DECILE,8,0.011463250168582073,0.02031904965605982,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,10207,10141,0.9935338493190947,0.2248298984321073,0.0054330242410713285,-0.0003854357116716479,-0.0025316455696202667,-0.008310612878764298,0.4811162607237945,0.45675968839364955,1.2083925043848882,0.9867013066139544,-0.0019934851296134334,0.0007413714419626141,0.0025177241739922094,0.009144644786669022,0.027977960517459897,0.05296097073970135,-0.026092154901321187,-0.043407503461577346,5.46309873507387,1.2200879229689026,49,0.004600509587485676,1.1756074151483804,0.9583452284569877
2020,ALL_ELIGIBLE,bias_5,DECILE,9,0.02031904965605982,0.037046370967701005,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,9883,9833,0.9949408074471314,0.2552628902674667,0.0055714234010575065,-0.000247419155307005,-0.005747126436781658,-0.011500995264319538,0.47208379945082884,0.45367639581002744,1.1965967262572632,0.9920882204320158,-0.0033554020128734718,0.0008189547932335589,0.0032272807450548376,0.013690315628269816,0.031338997454277054,0.06112487695609951,-0.02983396405050523,-0.04730549572829383,5.481225556458019,1.2921305656995827,47,0.004727462907846559,1.1660188571626813,0.9654226997624122
2020,ALL_ELIGIBLE,bias_5,DECILE,10,0.037046370967701005,,BOUNDARY_EQUALITY_STAYS_IN_LOWER_BUCKET,10271,10206,0.9936715022879953,0.3239271017048795,0.006620980725924709,0.0007960718092356227,-0.014084541536050155,-0.019800591160467552,0.4603174603174603,0.44767783656672544,1.1998240491843417,1.0220549354058504,-0.004598482307353883,0.0004104329114252779,0.005869467543988765,0.01967206902768024,0.04176364595785882,0.07889692159577637,-0.03896349983978896,-0.057392571537206484,5.7574232366043425,1.3746887355383446,47,0.0058103993702380225,1.1745527968743468,0.9997292885164553
