cohort,feature,discovery_shape,later_period_same_direction,stable_inverted_u_descriptive,multiplicity_status,discovery_peak_decile,discovery_spearman_bucket_vs_gross,discovery_adjacent_increases,discovery_adjacent_decreases,discovery_mid_minus_low_gross,discovery_mid_minus_high_gross,discovery_high_minus_mid_gross,discovery_high_minus_low_gross,profile_correlation_discovery_confirmation,profile_correlation_discovery_stress,profile_stability_score,eta_squared_discovery,eta_squared_confirmation,eta_squared_stress,stable_information_score,high_minus_mid_mfe_discovery,high_minus_mid_mfe_confirmation,high_minus_mid_mfe_stress,high_minus_mid_mae_discovery,high_minus_mid_mae_confirmation,high_minus_mid_mae_stress,high_extension_mechanism
ALL_ELIGIBLE,bias_5,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,8,0.7696969696969697,6,3,0.00289597964915787,-0.0009990233827584544,0.0009990233827584544,0.0038950030319163244,-0.07878787878787878,-0.0303030303030303,-0.07878787878787878,0.0006679481285947958,0.00036373728835710023,0.0006439212381843559,0.0,0.017159478500465772,0.014137225441292665,0.015337670327985116,-0.011033954971750894,-0.01422543682445819,-0.007615366687786472,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,bias_10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,8,0.8181818181818182,5,4,0.0029036778555131372,-0.0012405481486864106,0.0012405481486864106,0.004144226004199548,-0.04242424242424241,0.34545454545454546,-0.04242424242424241,0.0008055130688373832,0.00036348054166227293,0.00019707904396326008,0.0,0.018615689592380094,0.016852989407700657,0.01567257609301379,-0.010498682993508646,-0.015211379302181437,-0.00840799336291357,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,bias_20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,0.28484848484848485,5,4,1.6398576197961456e-05,-0.0006506849993465544,0.0006506849993465544,0.0006670835755445159,0.24848484848484845,0.5393939393939393,0.24848484848484845,0.0010181778025115003,0.0007525732575083053,0.0011535535616467264,0.0001870030518657001,0.021581568771467247,0.019780890515980448,0.018976279494803128,-0.014477190805008401,-0.01849158625718858,-0.011017255059320462,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,bias_60,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.5878787878787878,3,6,-0.00322169406230626,0.002825115662460199,-0.002825115662460199,-0.00604680972476646,0.5151515151515151,0.49090909090909085,0.49090909090909085,0.003017436023706102,0.00047842984212390327,0.005247474807493527,0.00023486555886082522,0.024433570942795434,0.02310585531400637,0.02433199892437913,-0.022094927442251687,-0.020031179157983525,-0.016345987160899078,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,atr_adjusted_bias20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,0.43030303030303024,6,3,0.0002929952450460168,-0.001064793178820424,0.001064793178820424,0.0013577884238664408,-0.17575757575757575,0.12727272727272726,-0.17575757575757575,0.00022711275989138765,0.00030878169108364555,0.000799248502555864,0.0,0.009966599632486507,0.009751939154504112,0.00780578119069153,-0.003926024682084167,-0.0075271627334682,-0.00467071670473896,NOT_STABLY_MAE_DRIVEN
ALL_ELIGIBLE,atr_adjusted_bias10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,7,0.7696969696969697,6,3,0.0035835227985606486,-0.0004207674477563976,0.0004207674477563976,0.004004290246317046,-0.4424242424242424,0.23636363636363633,-0.4424242424242424,0.0008862462956395041,0.00019318403134904608,0.00012026323025454011,0.0,0.006589011861327591,0.007133304156678448,0.005212534634943089,-0.001435216645797488,-0.005042991785406618,-0.0022570669111388053,NOT_STABLY_MAE_DRIVEN
ALL_ELIGIBLE,return_3,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,7,0.6484848484848483,7,2,0.0030287417266241555,0.0001584140276523941,-0.0001584140276523941,0.0028703276989717613,0.09090909090909088,-0.3696969696969697,-0.3696969696969697,0.0004558089139573472,0.0003781365468892985,0.0006763198571626249,0.0,0.016373685009816466,0.013836829720576801,0.015042432810240376,-0.012080379446232213,-0.014169958633195201,-0.007395702662437442,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,return_5,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,7,0.7333333333333332,5,4,0.0031587767019520194,-0.0005911237742617353,0.0005911237742617353,0.0037499004762137546,-0.12727272727272726,-0.24848484848484845,-0.24848484848484845,0.0006878898517727797,0.00036916335191895805,0.00035484905813627955,0.0,0.01703726230747337,0.014975329829273729,0.01498262032318503,-0.010952158596266297,-0.014622519057956036,-0.009422340422218713,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,return_10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,0.35757575757575755,7,2,0.0012550642669162994,-0.0006647509833722038,0.0006647509833722038,0.001919815250288503,0.2727272727272727,0.8060606060606059,0.2727272727272727,0.0008261022750067255,0.00045270188858429275,0.001156657909954145,0.00012346415143207984,0.01926518496256239,0.01818808542039054,0.018293564014249336,-0.012290279186120474,-0.016830977851631707,-0.0076450221009488895,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,return_20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,0.309090909090909,5,4,-0.003576443557306417,-0.0013743936804065493,0.0013743936804065493,-0.0022020498768998676,0.18787878787878787,0.10303030303030303,0.10303030303030303,0.0034882396365982916,0.0007945674509787995,0.003068142275449272,8.186452525236115e-05,0.024794913620097288,0.02105991757971544,0.020495949339560997,-0.016211226353736542,-0.01892377122847025,-0.011862877006810373,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,bias20_change_3d,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,10,0.9636363636363635,8,1,0.0019215755420534976,-0.002074746310320669,0.002074746310320669,0.003996321852374167,-0.7575757575757575,0.2727272727272727,-0.7575757575757575,0.0006325611875557584,0.0002165994795284239,0.0003448821619446741,0.0,0.014333532605417067,0.010308381066948445,0.012069224844033707,-0.007996984514949797,-0.010768573379024593,-0.005048951826883301,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,bias10_change_3d,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,10,0.8060606060606059,7,2,0.0018814928988082243,-0.0006939302445777175,0.0006939302445777175,0.002575423143385942,-0.6363636363636362,-0.6363636363636362,-0.6363636363636362,0.0003946498222013174,0.0002356443338715502,0.0002820180193886333,0.0,0.013857311115958774,0.009578233624524653,0.01107260381483173,-0.010239002564707361,-0.01016777991362533,-0.0065210003475046005,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
ALL_ELIGIBLE,distance_to_20d_high,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,0.33333333333333337,5,3,-0.0023224913027067723,-0.002561388511396421,0.002561388511396421,0.00023889720868964842,0.9166666666666666,0.45,0.45,0.0026211558491988497,0.0005866798654690116,0.0027034300881859726,0.0002640059394610552,0.0034934309514444567,0.002653798552643298,0.0013945781900502885,0.003228507508776922,-0.0011161686892436143,0.0013661443393502629,NOT_STABLY_MAE_DRIVEN
ALL_ELIGIBLE,distance_to_60d_high,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.28484848484848485,5,4,-0.006111418810043775,-0.0022047032999248655,0.0022047032999248655,-0.003906715510118909,0.3939393939393939,0.10303030303030303,0.10303030303030303,0.0029099775833386523,0.0009448376732648225,0.004183115491102811,9.73469117909211e-05,0.0052849333236391835,0.005473500277750759,0.004846743473384978,0.0014423624575053903,-0.0008877255276759921,-0.0010477511519806082,NOT_STABLY_MAE_DRIVEN
ALL_ELIGIBLE,entry_gap,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,10,0.21666666666666667,3,4,0.0003785714121824781,-0.0003511007540865606,0.0003511007540865606,0.0007296721662690387,-0.5,0.43333333333333335,-0.5,0.00042069789301065174,0.00043835494832485274,0.0016608268298038706,0.0,0.016142202214731886,0.01234910801547865,0.015674791281331188,-0.011916598491027622,-0.011723895435632986,-0.007055080727406064,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
RETURN20_TOP20PCT_SAME_DAY,bias_5,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,4,-0.4787878787878787,3,6,0.0006495080789544016,0.0012490665240184858,-0.0012490665240184858,-0.0005995584450640841,0.2121212121212121,-0.01818181818181818,-0.01818181818181818,0.0002672462427637367,0.000809923573256497,0.00039777960401993776,0.0,0.014961159554410422,0.00880107417382503,0.012924494266121474,-0.010941546463217128,-0.010933439413462344,-0.005916292123415337,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
RETURN20_TOP20PCT_SAME_DAY,bias_10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.34545454545454546,3,6,-0.0016266031932221053,-0.0009648420344048636,0.0009648420344048636,-0.0006617611588172418,0.2727272727272727,0.34545454545454546,0.2727272727272727,0.0001648516766625942,0.0006393954684835377,0.001483261139844299,4.4959548180707507e-05,0.017328882536537117,0.00933945685939145,0.014317294532972306,-0.007633219892520651,-0.008558040925788199,-0.0024370070386999093,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
RETURN20_TOP20PCT_SAME_DAY,bias_20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.7212121212121211,4,5,-0.010212955047972695,-0.0006255100838082842,0.0006255100838082842,-0.009587444964164409,0.4545454545454545,0.8060606060606059,0.4545454545454545,0.001815304936793417,0.0012741243095525554,0.0026039741283892517,0.0005791474134329796,0.018247077281383646,0.011576553487816138,0.017188073210620845,-0.009293984677974862,-0.012006500667270915,-0.002102932069838484,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
RETURN20_TOP20PCT_SAME_DAY,bias_60,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.9393939393939393,3,6,-0.018043394007995005,0.0059989847795545925,-0.0059989847795545925,-0.024042378787549598,0.23636363636363633,0.8181818181818182,0.23636363636363633,0.0036536419795348734,0.0005754422432729107,0.003679280561367784,0.00013601362113723343,0.02116815057630779,0.019190085787455513,0.021560914625199178,-0.023390984299640802,-0.01566805319880738,-0.013485472494986904,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
RETURN20_TOP20PCT_SAME_DAY,atr_adjusted_bias20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.6969696969696969,4,5,-0.012257001386788965,-0.001591220593485679,0.001591220593485679,-0.010665780793303286,0.7818181818181817,0.8303030303030302,0.7818181818181817,0.002035877362322368,0.001084996799192875,0.001944998030399821,0.0008482702248235204,0.010428543462680621,0.004792083716142481,0.007358172893898292,-0.0006600758639665888,-0.006044622278617816,-0.0016267525084218831,NOT_STABLY_MAE_DRIVEN
RETURN20_TOP20PCT_SAME_DAY,atr_adjusted_bias10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,1,-0.29696969696969694,4,5,-0.001767486209551525,-0.0010945858876078435,0.0010945858876078435,-0.0006729003219436815,0.32121212121212117,0.5151515151515151,0.32121212121212117,0.0003493977076932906,0.0007507528653459645,0.0010845099103387352,0.00011223077883481455,0.00896487351942804,0.005353946288766578,0.008340090928794432,-5.971502283752539e-05,-0.003269899647952823,4.824040536011848e-05,NOT_STABLY_MAE_DRIVEN
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_5,HIGH_TAIL_THRESHOLD_LIKE,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,4,-0.6666666666666669,3,4,0.001795066031387924,0.00480562659539473,-0.00480562659539473,-0.0030105605640068063,0.9047619047619048,-0.7619047619047621,-0.7619047619047621,0.002086899837229503,0.0017863333157381819,0.0005063939637607503,0.0,0.023202666502035105,0.020463510202435323,0.025518935637311863,-0.02366881416708226,-0.022477600475521917,-0.015869529812828374,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_10,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,6,-0.6071428571428572,2,4,,0.003676233847264199,-0.003676233847264199,,0.5357142857142858,-0.6071428571428572,-0.6071428571428572,0.0012303942153777988,0.0014480790393614092,0.0005708585443010974,0.0,0.026013336319860463,0.024159318264301947,0.02691762530528447,-0.024518294597637335,-0.024843288338373657,-0.017335740816973387,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
NEAR_OR_ABOVE_PRIOR20_CLOSE_HIGH_WITHIN_2PCT,bias_20,NO_STABLE_RELATION,False,False,UNADJUSTED_EXPLORATORY_NO_FEATURE_SELECTION,5,-0.21428571428571433,2,4,,0.001815079129291534,-0.001815079129291534,,0.03571428571428572,-0.8928571428571429,-0.8928571428571429,0.0003869379831940389,0.0015592052786113466,0.00041762012850076683,0.0,0.029372725646100103,0.02677056574815252,0.02924841078269404,-0.02527499378963752,-0.026754230186237165,-0.01731028551653073,MAE_WORSE_WITHOUT_STABLE_MFE_REDUCTION
