strategy,starting_capital,ending_equity,total_return,cagr,max_drawdown,closed_trades,win_rate,average_net_trade_return,median_net_trade_return,net_profit_factor,average_holding_sessions,actual_orders,actual_fills,broker_connections,evaluable_stage_a_signal_rows,plus8_before_minus5_rate,common_outcome_gross_mean,common_outcome_net_mean,entry_filter_retained_pct
STAGE_A_BASELINE,30000.0,93509.68135000151,2.116989378333384,0.20866601033050824,-0.48630838262817566,8898,0.35221398066981346,0.004696163333924911,-0.018767083309245973,1.1124099775925966,4.880310182063385,0,0,0,43596,0.3487017157537389,-0.0008395327274548399,-0.006621355568564048,1.0
FOREIGN_POSITIVE_LAG1,30000.0,114472.09725000078,2.815736575000026,0.2501146941097552,-0.38868801994550206,6890,0.3597968069666183,0.0076478101437495085,-0.018571037785342887,1.187130738310706,5.511175616835994,0,0,0,22737,0.349606368474293,-0.0008685440957478857,-0.006650250295282284,0.5216358236234864
MACD_12_26_9_BULLISH_ABOVE_ZERO,30000.0,90680.33990000129,2.0226779966667094,0.20249129484880113,-0.43374422164278226,6738,0.3373404571089344,0.005860449831147958,-0.021032261988649152,1.1332629212282288,5.499109528049867,0,0,0,29825,0.3421961441743504,-0.0017904534260535783,-0.007566752984064662,0.6844413982179575
KD_9_3_3_K_ABOVE_D_BELOW_80,30000.0,70666.10265000076,1.3555367550000255,0.1535272525954121,-0.438602811466997,5096,0.33830455259026687,0.005978017160803443,-0.021722574215919443,1.114054398112638,5.675627943485086,0,0,0,13399,0.32569594745876557,-0.0035453465843734468,-0.009311360446410793,0.3071738633767421
MACD_AND_KD,30000.0,56922.683550000474,0.8974227850000158,0.11268007947614822,-0.39940962987706674,3747,0.32345876701361087,0.00651166427052032,-0.024085528892107657,1.1068650452536195,6.366960234854551,0,0,0,8664,0.31013388734995384,-0.006012392634129519,-0.011764097497599534,0.19860635138222527
FOREIGN_AND_MACD_AND_KD,30000.0,62262.510100000334,1.0754170033333446,0.1294366346635314,-0.2950827339374059,2744,0.33309037900874633,0.009147971599555741,-0.023280447259557305,1.161894870117856,6.916545189504373,0,0,0,4640,0.3114224137931034,-0.005927865523689962,-0.0116800813614666,0.10639707562257254
