fold,regularization_c,selected,training_observations,evaluation_observations,evaluation_auc,purged_signal_date_count,last_included_signal_date
TRAIN_2020_EVAL_2021,0.01,False,2795,6113,0.5130057793618369,10,20201217
TRAIN_2020_EVAL_2021,0.1,False,2795,6113,0.5134775663199777,10,20201217
TRAIN_2020_EVAL_2021,1.0,False,2795,6113,0.516614103260567,10,20201217
TRAIN_2020_EVAL_2021,10.0,True,2795,6113,0.525143984199397,10,20201217
TRAIN_2020_2021_EVAL_2022,0.01,False,8909,5892,0.560281843813253,10,20211216
TRAIN_2020_2021_EVAL_2022,0.1,False,8909,5892,0.5605002285817227,10,20211216
TRAIN_2020_2021_EVAL_2022,1.0,False,8909,5892,0.5621759280502914,10,20211216
TRAIN_2020_2021_EVAL_2022,10.0,True,8909,5892,0.5632260727054162,10,20211216
