time_slice,entry_gap_bucket,lower_inclusive,upper_exclusive,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,LT_MINUS_1PCT,,-0.01,565,558,300,34,216,0.4014336917562724,0.543010752688172,0.05555555555555555,0.34229390681003585,0.22759856630824374,0.005464385064146651,0.0015077806212208536,0.00907731758322453,0.017620042850297224,0.06476884582883043,0.11233004180866787,-0.05187042685105359,-0.08536640785666257,1.3158576614501518,0.005060243971643065,-0.0007544829017694968,-0.05873614938700979,1.121570272920921,0.9830969667877211,3,-0.0017153679362059975,0.9617764240167279,0.004093818411218359,1.0978235219072578,13,-0.004822838013038274,0.8944689592247445,0.0009681606772994579,1.022717768949936,20210908,-0.001078701089319774,0.9758766645408621,202004,-0.0012601478451769804,0.9719201018664171
HISTORICAL_DISCOVERY,MINUS_1_TO_0PCT,-0.01,0.0,296,293,219,33,160,0.41638225255972694,0.5392491467576792,0.04436860068259386,0.3651877133105802,0.23208191126279865,0.0003086755060216298,0.008720490637504264,0.013850604423932707,0.0246547889130556,0.06474993626060534,0.11685154439467992,-0.04573816984533057,-0.07572546590729437,1.543094426619091,0.007576109151473941,0.0017454812928756757,-0.05717920087259691,1.1868945168690428,1.0400886211217966,2,0.0005544405551526114,1.0126469638832383,0.0063780489019332675,1.1562656599804997,7,-0.0022960354920408903,0.9485265912340725,0.0035109870294877986,1.084543062353536,20210524,0.001134945989314646,1.0259774397097998,202004,0.00046723541343796543,1.0106211624061914
HISTORICAL_DISCOVERY,0_TO_1PCT,0.0,0.01,629,623,370,35,231,0.38362760834670945,0.5666131621187801,0.04975922953451043,0.3097913322632424,0.2086677367576244,-0.0025283846921738554,0.0007420615751188933,0.006086318316322964,0.016318907935817684,0.05766229731473712,0.10848177692193137,-0.0537936420427734,-0.08520079752994768,1.273248374040167,-0.0009281892498200504,-0.006709805222868482,-0.05923319989971957,0.978773367358215,0.8568033336200785,3,-0.007598723297499266,0.8386134760892269,-0.0018222216645124288,0.9585285310918853,13,-0.010464846486506531,0.7813257505468248,-0.004704961419563592,0.8946480873343545,20210524,-0.007006367961535388,0.8507142774988121,202007,-0.007292719235417783,0.8451125852090654
HISTORICAL_DISCOVERY,1_TO_2PCT,0.01,0.02,386,383,267,35,193,0.3968668407310705,0.5456919060052219,0.057441253263707574,0.34986945169712796,0.2506527415143603,-0.007177144337107023,0.0033184275821345507,0.015357545257244582,0.021653754608985762,0.0598739581890019,0.11641136287567203,-0.0510119822176149,-0.08087992211579935,1.4393110160145894,0.0032676962301682226,-0.00253744297542221,-0.05752891580807072,1.0768740257950307,0.9443599365063805,2,-0.003481588755285965,0.9240557323215438,0.002318099950394133,1.0542495709037583,9,-0.006752803011462373,0.8554066781991108,-0.0009721292199629202,0.9776676321133212,20210111,-0.003003850909673008,0.9343047017945635,202102,-0.004605864381511471,0.9004566494955512
HISTORICAL_DISCOVERY,2_TO_3PCT,0.02,0.03,254,253,183,35,134,0.42292490118577075,0.549407114624506,0.02766798418972332,0.36363636363636365,0.30039525691699603,-0.004709314218092354,0.005387495205829065,0.013655093267004878,0.017439602644362052,0.06758745010282469,0.12292599737976859,-0.05257494293981952,-0.08847601750662702,1.3893708243656107,0.00703647034856219,0.0012092767818031955,-0.06017956942576064,1.1607783830618228,1.0258742891948374,2,-0.00019852821505688482,0.9957857708028912,0.005620547839549875,1.1274103309385652,6,-0.0029768826391906177,0.9378156843984702,0.0028260747189159862,1.0630424186763756,20220816,0.000506062195089166,1.0107851608858207,202007,9.606685585501855e-05,1.0020392453974494
HISTORICAL_DISCOVERY,GE_3PCT,0.03,,396,395,237,35,138,0.4481012658227848,0.5341772151898734,0.017721518987341773,0.40759493670886077,0.33164556962025316,-0.006504816284094265,0.01746947774362135,0.020553186953926404,0.02862603793159649,0.0840286941127213,0.1391919501225964,-0.06025751922897037,-0.0956376562233917,1.4554094654669285,0.00785880829556938,0.002026269960171839,-0.05713858670390506,1.1702476489359523,1.0413528953544309,2,0.0011506370732907185,1.0233637437314922,0.00697807312419083,1.1504026191270909,10,-0.002286944049701625,0.9545087584281199,0.003520505145368445,1.0743349486114526,20201126,0.0015893675614964673,1.0323543059213638,202006,0.001234526791546204,1.0250033446437898
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LT_MINUS_1PCT,,-0.01,390,389,235,24,165,0.4473007712082262,0.48586118251928023,0.06683804627249357,0.39588688946015427,0.2750642673521851,0.011161712109780057,0.007986894276468709,0.01384028526223449,0.03696011698084198,0.06750778808353118,0.12107255574126055,-0.03946556600403108,-0.0695355944265568,1.7411594269052648,0.014886942422428556,0.009013982395761018,-0.029224334834876096,1.3952618337548872,1.2230862135790093,2,0.008083968993497549,1.1990407637778666,0.013951518841445628,1.3685209873964868,10,0.004633719227720151,1.1117314282436175,0.010481232310653916,1.2711323436584205,20240216,0.008527114345206853,1.2104942504352223,202402,0.0068591638554215155,1.1667215758440117
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MINUS_1_TO_0PCT,-0.01,0.0,256,255,183,24,144,0.3764705882352941,0.5411764705882353,0.08235294117647059,0.3254901960784314,0.22745098039215686,0.00020832747953653433,0.006977409387370175,0.01688120785296575,0.022385964834245473,0.06323742443641404,0.10666385368515786,-0.04363693758872469,-0.07439731580465754,1.4337056724629886,0.0025083525908689663,-0.0032923614433613894,-0.05703568317699799,1.0613800063246304,0.9251275380426596,2,-0.004706873246614994,0.893799282545576,0.001085606804135703,1.0263567126899815,6,-0.007408857377782784,0.835477610678051,-0.0016320216152579078,0.9610036986179079,20240116,-0.004000669186045044,0.9093765098113827,202407,-0.003906329858019362,0.9115134920936364
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0_TO_1PCT,0.0,0.01,674,674,349,24,235,0.3620178041543027,0.5103857566765578,0.12759643916913946,0.29673590504451036,0.19287833827893175,-0.0013757503330330768,0.00025644063876365545,0.008355628755423417,0.007696154648236023,0.05205900428159763,0.08819985710200258,-0.04367427158776547,-0.07053929253127209,1.2503649233921799,0.0034148727440713677,-0.002392293862952357,-0.05600358520367954,1.0875193467215567,0.9431900880191816,3,-0.0031879485539523895,0.9246326026427361,0.002614613802067055,1.06671134796345,15,-0.006223624769850478,0.8554964525196525,-0.00043871778812490066,0.9890063905474963,20240105,-0.0026538006463681847,0.9370735758241228,202407,-0.0029604531362387373,0.9300384482963698
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1_TO_2PCT,0.01,0.02,368,368,248,24,175,0.38858695652173914,0.532608695652174,0.07880434782608696,0.32608695652173914,0.19293478260869565,-0.004766449528290796,0.006039291245747501,0.006863340468002419,0.008271267986840292,0.04785660510797723,0.08869781182218003,-0.0411758193626064,-0.07280614848200884,1.2182736440741428,0.004325296171476256,-0.0014868396745057997,-0.0567675589251216,1.1092026383966958,0.9651666809542424,2,-0.0024125539725270533,0.943786448921186,0.003394177830204102,1.0852285578156817,8,-0.005082059100241116,0.8835270407727452,0.0007090218501383435,1.017511831982833,20240215,-0.0019527400574157793,0.9543759959424742,202304,-0.004170400869167231,0.9041942181157703
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,2_TO_3PCT,0.02,0.03,178,178,138,24,118,0.3651685393258427,0.5617977528089888,0.07303370786516854,0.3089887640449438,0.2303370786516854,-0.01126788918721908,-0.008676604743496671,0.00032636604958498897,-0.0034684531336486085,0.047818693570118614,0.0899323912761035,-0.05683397734080123,-0.08911330930987388,1.0091914661521706,0.0006727945771181974,-0.005118229065450766,-0.058966053277253086,1.0150534830494955,0.8931290678113941,1,-0.006140561678574032,0.872502625729905,-0.00035547870410899154,0.9920910037808042,4,-0.009227789659549682,0.8116494852970851,-0.0034607384636691084,0.9243075536968882,20240918,-0.006125168076691429,0.8728222453222689,202408,-0.009076787276242997,0.8136588709969151
