time_slice,market_proxy,regime_dimension,regime_group,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,1340,1330,268,28,240,0.44661654135338347,0.5112781954887218,0.042105263157894736,0.3819548872180451,0.2721804511278195,0.00015648257780792965,0.011150655583015581,0.01929003271698089,0.026830874715953818,0.07309064412373634,0.12817515397118034,-0.04902480808869294,-0.08157211230779433,1.5713109584258371,0.012023133130394865,0.006166622808135257,-0.056296323034019664,1.3002156973168968,1.1439284322683136,7,0.0052621489439936275,1.1221716810689206,0.011113444172046962,1.276040379471216,32,0.002083395750558617,1.0474563175619238,0.007916216966280917,1.1929107727107995,20221115,0.005695721118192249,1.1324378628519263,202103,0.004562614662911131,1.1048896549013334
HISTORICAL_DISCOVERY,0050,0050_CLOSE_VS_MA20,BELOW,1150,1135,230,29,249,0.36123348017621143,0.5929515418502203,0.04581497797356828,0.31277533039647576,0.22555066079295155,-0.004962969697739942,-0.0017174439298157768,0.0032968389255983626,0.013394548464261333,0.05672425047771386,0.10655089636360522,-0.057805562375274566,-0.09033842902054041,1.1794636847113928,-0.004804227410326284,-0.010562274911548129,-0.060154327112345723,0.8968491824195279,0.7881783699609164,5,-0.011393994644845369,0.7725052222169843,-0.005640759848488421,0.8794216573738337,22,-0.014110937882566175,0.7224967832961614,-0.008373555567491585,0.8236975582181512,20210520,-0.011270078108181068,0.7749793645920501,202102,-0.01129076655139298,0.7749117913795726
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,1425,1415,285,24,251,0.41978798586572436,0.5413427561837456,0.038869257950530034,0.3575971731448763,0.26148409893992935,-0.0007780509535948808,0.007439738994606133,0.011576424968897282,0.01796845374352821,0.07102064682292072,0.12244641572945168,-0.055295626104857346,-0.08931644590655334,1.3709279907707066,0.00610302448751255,0.0002812836478563617,-0.05859366294559188,1.141799205742994,1.0061158666035448,7,-0.0006004890072260298,0.9870083355514768,0.005216172744571782,1.1205943236770757,32,-0.0036870788677728613,0.9216459072696198,0.002111618760437805,1.0479523546693326,20210311,-0.00020169076822539804,0.9956301934475238,202004,-0.0016762428171195002,0.964286924559835
HISTORICAL_DISCOVERY,0050,0050_MA20_SLOPE5,FALLING,1065,1050,213,22,215,0.3904761904761905,0.559047619047619,0.05047619047619047,0.34,0.2361904761904762,-0.004118006361060506,0.002241754654954419,0.012397156536332447,0.024250013173393127,0.058188919735563546,0.11252051799732156,-0.05006571153859533,-0.08061167176181606,1.3958340713958497,0.0018116088598805545,-0.003985323858575218,-0.05816569987631022,1.0420604057710077,0.9137202789016194,5,-0.0048502778066715,0.8954946031115938,0.0009416412203245926,1.0217581253804782,22,-0.0076629616796050366,0.837577727414008,-0.0018874775800272756,0.9570963106471657,20210520,-0.004719230898699968,0.898318175219098,202103,-0.009387314878090608,0.8054352898527654
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,HIGH,1160,1146,232,24,217,0.43717277486910994,0.5174520069808028,0.04537521815008726,0.38394415357766143,0.27399650959860383,-0.0008175802991424968,0.011357536750650056,0.023683160959240647,0.055382454227768114,0.06883016529354939,0.13449059354294896,-0.04453762401696844,-0.06971761155668993,1.9290763200284013,0.010819126875213804,0.004969824675096977,-0.05603579189637527,1.2724564010154509,1.1167137850627407,6,0.004063581053227471,1.0949314787634288,0.009907647723036308,1.2481964651250568,27,0.0010073095473510177,1.0230988045826714,0.006833512185917179,1.1680328694977198,20210520,0.004336908711677167,1.101405706013367,202108,0.004590425398979553,1.1073334394223844
HISTORICAL_DISCOVERY,0050,0050_VOLATILITY20,LOW,1330,1319,266,25,240,0.3813495072024261,0.576194086429113,0.04245640636846096,0.3206974981046247,0.2304776345716452,-0.0034025032264086313,-0.00010209556571277433,0.0017109577216443842,-0.009537844325903757,0.06270903074326531,0.10408036539358774,-0.06047929562581684,-0.09941519595429354,1.046926120242614,-0.001410728162464124,-0.0071887738949570614,-0.0602637200874284,0.9693044119718053,0.8536309624472872,6,-0.008032355965781038,0.8371989242973115,-0.0022591776739564213,0.9510668764177472,27,-0.010925559778976995,0.782100713240161,-0.005169197182751742,0.8898274406773985,20210329,-0.007688011626583575,0.8440594742519704,202103,-0.009011990680411603,0.8192911249095585
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,ABOVE_OR_EQUAL,1400,1398,280,24,271,0.3698140200286123,0.5464949928469242,0.08369098712446352,0.315450643776824,0.2117310443490701,-0.003091244448943337,-0.0007979137734331814,0.003580060793919997,0.01261355704478183,0.05179555159868869,0.09419911908195,-0.04863763551641942,-0.07667965435484571,1.2284760524092941,0.0005493546943042998,-0.005240854801850474,-0.05789408721104163,1.0128490257483924,0.8857472577009271,6,-0.006038817915707444,0.8689163566208331,-0.00025324818116388465,0.9941021223601426,30,-0.00901668582915146,0.8076508069078902,-0.0032485284163292654,0.925649660576501,20230407,-0.005695819835339929,0.8762729398778286,202304,-0.006192592388794855,0.8659385650915841
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_CLOSE_VS_MA20,BELOW,750,748,150,20,201,0.40641711229946526,0.49732620320855614,0.0962566844919786,0.3449197860962567,0.23128342245989306,-0.0018260889166327996,0.007859063299288425,0.01500254449625245,0.015049087345294223,0.060319672636950754,0.10183167466194237,-0.0421394445727879,-0.07332572853536974,1.388757762056498,0.009798879059115681,0.0039550099512474434,-0.05261583787410719,1.2588362548399947,1.0968618567959763,4,0.0030287534914658063,1.0737803098739709,0.00886727395182316,1.2329754576624539,17,6.662337475735476e-05,1.001594584786569,0.005887900559308419,1.1519934789090867,20230711,0.003104334725034768,1.0755198238451058,202408,0.001687736200468939,1.0406106328011786
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_MA20_SLOPE5,RISING_OR_FLAT,1385,1381,277,23,255,0.3946415640839971,0.5191889934829833,0.08616944243301955,0.33671252715423605,0.22013034033309195,-0.0027627391587071674,0.002007769342004632,0.007915628066400681,0.017968393824202514,0.0546180760780718,0.10002970738684601,-0.04626838850518871,-0.07322048284479443,1.366143782456053,0.005155193661804617,-0.0006615020046550863,-0.05641416466419237,1.1267625349130972,0.9848508940274822,7,-0.001575658500934797,0.9640986326121621,0.0042357200137564215,1.1036254023208096,31,-0.004527332537012134,0.8986465995776025,0.0012668046287608262,1.0304505865115934,20230711,-0.0011376170139977687,0.9740416745552102,202309,-0.0013462140094948462,0.9694767416185787
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0050,0050_MA20_SLOPE5,FALLING,765,765,153,17,180,0.3607843137254902,0.5477124183006536,0.0915032679738562,0.3058823529411765,0.21568627450980393,-0.0024472306811627715,0.0026017861847055655,0.006922020801826988,0.005328259100210989,0.05503494536416836,0.09113651663067275,-0.04656088165586156,-0.07964485610963364,1.1442862864265897,0.0012787411135996903,-0.004516121962124443,-0.05728930401374661,1.030641145144485,0.8994704057854733,4,-0.005466224560543534,0.8789572008293066,0.0003231440029458394,1.0077026769774196,16,-0.008265625042612834,0.819854113227019,-0.0024925574852545343,0.9415226169508536,20230720,-0.005366769276840927,0.8813156789684705,202401,-0.00671513135507773,0.853409340796023
