feature,outcome,discovery_observations,same_day_spearman,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,raw_p_value,top_quintile_mean,bottom_quintile_mean,top_minus_bottom_effect,bh_fdr_q_value
foreign_net_volume_ratio_1d,path_success,15100,0.004868385986038021,-0.012407060614416082,0.021472287422734677,0.58,0.3583029499502817,0.34942148760330577,0.008881462346975955,0.7755813953488371
foreign_net_volume_ratio_1d,downside_first,15100,0.0050860061588328094,-0.010640278449606579,0.020652141956294966,0.524,0.5495525356314219,0.5464462809917355,0.00310625463968639,0.7089411764705883
foreign_net_volume_ratio_1d,mae10,15100,-0.019998617234231946,-0.03579329774463562,-0.0032713152147837137,0.02,-0.07822506217483019,-0.07416900406837429,-0.004056058106455901,0.0851851851851852
foreign_net_volume_ratio_1d,mfe10,15100,-0.0009599075554402969,-0.020195671094715168,0.016899418448145406,0.872,0.09694938374501087,0.09793703349476073,-0.0009876497497498526,0.937196261682243
foreign_net_volume_ratio_1d,net_return,15100,-0.0038016227888065857,-0.02049171341997844,0.012281087943799158,0.676,-0.006434019979996505,-0.006169484317781813,-0.0002645356622146917,0.8097916666666668
foreign_net_volume_ratio_3d,path_success,15100,0.000987067809256217,-0.01624437388770586,0.017113544947385092,0.906,0.3538205980066445,0.35307743216412973,0.0007431658425147702,0.9534545454545456
foreign_net_volume_ratio_3d,downside_first,15100,0.012980936397621436,-0.0033791316886950125,0.02951835083597876,0.108,0.5588039867109634,0.5383851753805426,0.020418811330420783,0.2875
foreign_net_volume_ratio_3d,mae10,15100,-0.03095486201823048,-0.04761576778339529,-0.01626297477500469,0.0,-0.08187018650763327,-0.07531823791034324,-0.006551948597290025,0.0
foreign_net_volume_ratio_3d,mfe10,15100,-0.0013947724029380977,-0.01719934945389486,0.015604525590477463,0.922,0.09920136525033532,0.10034134592537539,-0.0011399806750400643,0.9552252252252252
foreign_net_volume_ratio_3d,net_return,15100,-0.020007310789125876,-0.03549974031751045,-0.004623617954033154,0.012,-0.007964324836376217,-0.004646431761865507,-0.00331789307451071,0.0575
foreign_net_volume_ratio_5d,path_success,15100,0.002932547794859425,-0.01379374472523056,0.020600323595606967,0.71,0.35756972111553786,0.3581103402708953,-0.0005406191553574136,0.8247474747474747
foreign_net_volume_ratio_5d,downside_first,15100,0.0037960910192838216,-0.012249913790788623,0.02021691185412441,0.664,0.5537848605577689,0.5450941526263627,0.008690707931406139,0.8037894736842105
foreign_net_volume_ratio_5d,mae10,15100,-0.03534306039985386,-0.05198626742433609,-0.019569099065213924,0.0,-0.08185189686964267,-0.0745352899058865,-0.007316606963756175,0.0
foreign_net_volume_ratio_5d,mfe10,15100,-0.010110086973881438,-0.027911580107835912,0.007124870671291323,0.242,0.09861929609464615,0.10152355137039422,-0.0029042552757480716,0.44887096774193547
foreign_net_volume_ratio_5d,net_return,15100,-0.015713592878056203,-0.03204308518497016,0.0002646575104474865,0.058,-0.00691328788770439,-0.00513690672286733,-0.0017763811648370594,0.19617647058823529
foreign_consecutive_buy_days_5d,path_success,15100,0.0027458930069122704,-0.013299667116713052,0.017621932264003378,0.706,0.3538567969560706,0.35523114355231145,-0.0013743465962408608,0.8247474747474747
foreign_consecutive_buy_days_5d,downside_first,15100,0.008196663845019377,-0.008118963719315257,0.023507097210605704,0.354,0.5717744725008648,0.5468369829683698,0.024937489532494972,0.5686111111111111
