model_scope,regularization_c,feature,coefficient,intercept,training_observations
TRAIN_2020_EVAL_2021,10.0,dealer_net_volume_ratio_1d,0.04469809843563888,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,dealer_net_volume_ratio_3d,0.04881447588521307,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,dealer_net_volume_ratio_5d,0.026639127003355797,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,dealer_consecutive_buy_days_5d,0.0049143527494621055,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,dealer_sign_persistence_5d,0.02432788113682798,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,margin_balance_change_volume_ratio_1d,-0.01699655295120152,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,margin_balance_change_volume_ratio_3d,-0.009018752246513578,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,margin_balance_change_volume_ratio_5d,0.019438489451266253,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,short_balance_change_volume_ratio_1d,-0.008116825999190048,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,short_balance_change_volume_ratio_3d,-0.013981214347919315,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,short_balance_change_volume_ratio_5d,0.009056632739319243,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,short_margin_ratio,-0.08589760292921596,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,margin_data_available,-0.012771263256032249,-0.3905074607978852,2795
TRAIN_2020_2021_EVAL_2022,10.0,return_3,-0.007384450721125537,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,return_5,-0.012169161058724811,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,return_10,-0.01083871809488874,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,return_20,-0.019847847058478106,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,return_60,0.009494505490033325,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,close_vs_ma5,-0.0024947235966456286,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,close_vs_ma10,-0.006435035368240441,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,close_vs_ma20,-0.019142716400171084,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,close_vs_ma60,0.005417461127858522,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,distance_to_prior20_close_high,-0.016206328638650444,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,distance_to_prior60_close_high,-0.0007080208418357875,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,drawdown_from_20d_high,-0.016757008735512773,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,drawdown_from_60d_high,-0.0025368342660686267,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,days_since_20d_high,-0.005813242431081883,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,days_since_60d_high,-0.011925029215718776,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,ma5_slope,-0.0212509714672604,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,ma10_slope,-0.018660112050435957,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,ma20_slope,-0.013751062625272438,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,ma60_slope,0.010299831201650669,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,volume_ratio5,-0.038117610701214305,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,volume_ratio20,-0.0668226858137717,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,prior_volume_contraction_5_20,-0.020012899489000483,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,atr5,0.0005271661943584742,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,atr20,0.0017831607303608482,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,atr60,0.02035719355857832,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,atr5_atr20,-0.012576663626215628,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,range_compression10,0.01443813292135218,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,range_compression20,-0.015140886293164244,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,volatility20,0.007871141311112712,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,rs5_vs_0050,-0.012169161058724811,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,rs20_vs_0050,-0.019847847058478106,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,rs60_vs_0050,0.009494505490033325,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,recent_breakout_flag,-0.014822410998713908,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,recent_retest_flag,-0.01290956003317361,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,recent_local_low_distance,-0.013458223173374296,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,recent_local_high_distance,-0.016757008735512773,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,bias5,-0.0024947235966456286,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,bias10,-0.006435035368240441,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,bias20,-0.019142716400171084,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,frozen_stage_a_upside_score_z,0.047791422433939856,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,frozen_stage_a_rank_percentile,0.003287571247468506,-0.3842868885358747,8909
TRAIN_2020_2021_EVAL_2022,10.0,foreign_net_volume_ratio_1d,-0.0031901031916648794,-0.3842868885358747,8909
