row_type,signal_date,stock_code,stage_a_rank,in_stage_a_top30,conditional_path_rank,in_conditional_top5,time_slice_type,time_slice,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
SIGNAL_DETAIL,20210726,3060,257,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210726,3511,60,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210729,3003,224,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210729,8183,181,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210804,2337,376,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210806,8415,239,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210818,6271,96,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,3169,98,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,3552,172,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,6129,133,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,6269,312,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210901,6278,253,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210910,2376,346,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210910,6233,66,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210917,3169,112,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210917,3324,241,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210917,8016,133,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20210927,1708,284,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211015,2484,247,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211015,8086,216,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211019,3014,300,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211019,3162,155,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211019,4952,217,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211028,2308,329,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211117,2374,271,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211118,3323,289,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211130,2406,203,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211208,6279,196,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211215,2610,93,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20211229,3338,139,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220215,3680,161,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220216,2375,313,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220216,6235,46,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220216,6491,212,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220216,8121,122,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220218,2316,265,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220223,3701,35,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220223,6667,79,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220301,8091,117,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220310,2314,125,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220310,3443,283,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220317,3036,241,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220317,5607,193,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220318,1732,70,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220318,2614,238,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220419,6241,13,True,14,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220510,1560,40,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220510,2338,187,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGNAL_DETAIL,20220510,8071,43,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
