period,raw_candidates_per_month,cooldown_opportunities_per_month,active_dates,unique_stocks_per_month
2020_2022,70.27777777777777,22.944444444444443,431,19.555555555555557
2023_2024,89.58333333333333,29.208333333333332,368,25.458333333333332
2025,94.58333333333333,27.75,194,23.416666666666668
