scenario,breakout_type,sample_size,win_rate,average_return,median_return,profit_factor,average_mfe,average_mae
Gross,Breakout,1347,0.3578322197475872,0.003332424849294323,-0.014230271668822736,1.1410712363120041,0.06350071925310041,-0.03881012329898918
Gross,Extended Breakout,486,0.39300411522633744,0.008812122609000403,-0.017056149732620318,1.3169016889503564,0.07811949839793451,-0.045113605794237434
Gross,Pre-breakout,552,0.3351449275362319,0.001737146556228987,-0.019232407374197458,1.0649983210921536,0.06788767929889652,-0.0424893490542778
Net 0% slippage,Breakout,1347,0.3422420193021529,-0.00047822779812806143,-0.0179906946981108,0.9816020936347446,0.06350071925310041,-0.03881012329898918
Net 0% slippage,Extended Breakout,486,0.39094650205761317,0.004979028657526939,-0.020786148545615384,1.1659052541142818,0.07811949839793451,-0.045113605794237434
Net 0% slippage,Pre-breakout,552,0.32608695652173914,-0.0020679751762909585,-0.02296059060508744,0.9290969167665766,0.06788767929889652,-0.0424893490542778
Net 0.1% one-way slippage,Breakout,1347,0.3303637713437268,-0.0024756146857792824,-0.019940387512385076,0.9092112670535537,0.06350071925310041,-0.03881012329898918
Net 0.1% one-way slippage,Extended Breakout,486,0.37448559670781895,0.0029717333044679607,-0.02275178116430074,1.0953000940279585,0.07811949839793451,-0.045113605794237434
Net 0.1% one-way slippage,Pre-breakout,552,0.31521739130434784,-0.004061457020080367,-0.02491919561196561,0.866699529743389,0.06788767929889652,-0.0424893490542778
