stock_id,name,signal_date,entry_date,entry_price,exit_date,exit_price,holding_days,exit_reason,exit_trigger_date,exit_execution_delay_sessions,gross_return,net_return,net_return_slippage_0_1,volume_ratio,daily_return,breakout_ratio,breakout_type,foreign_ratio,investment_trust_ratio,combined_ratio,signal_low,initial_stop_price,t1_gap_pct,mfe,mae,day1_close_return,day3_close_return,day5_close_return,day8_close_return,post_exit_5d_max_return
1101,台泥,20230223,20230224,39.65,20230302,37.8,2,Close Confirmed Stop,20230301,0,-0.046658259773013855,-0.05027444860174602,-0.05217963664856932,2.552421207840067,0.03810775295663604,1.025974025974026,Breakout,0.3179880539097289,0.025560873871088963,0.34354892778081786,38.4,38.4,0.0037974683544304,0.0012610340479193294,-0.05170239596469095,-0.01261034047919296,,,,0.0092592592592593
1101,台泥,20240522,20240523,34.2,20240530,33.05,5,Close Confirmed Stop,20240529,0,-0.033625730994152225,-0.037311617242229825,-0.039242183682022695,2.32523134185837,0.02998500749625177,1.0073313782991202,Breakout,0.24049057317582542,0.00977790730230345,0.2502684804781289,33.6,33.6,-0.004366812227074246,0.0029239766081869956,-0.029239766081871288,-0.005847953216374324,-0.011695906432748648,-0.029239766081871288,,0.004538577912254427
1101,台泥,20240927,20240930,33.5,20241009,32.9,5,Day 5 Weakness,20241008,0,-0.017910447761194104,-0.021637300171698143,-0.023599173203888883,2.4320688843400577,0.021472392638036686,1.003012048192771,Breakout,0.4156014563195718,0.0024852255222439514,0.41808668184181574,32.7,32.7,0.006006006006006093,0.020895522388059806,-0.017910447761194104,0.008955223880596996,0.008955223880596996,-0.013432835820895606,,0.003039513677811634
1101,台泥,20250220,20250221,34.05,20250305,35.15,8,Day 8 Time Stop,20250305,0,0.032305433186490484,0.028393821403163225,0.026331565284821484,3.3449595341912954,0.027231467473525228,1.0,Breakout,0.023744931590364362,0.07529842748206848,0.09904335907243283,33.15,33.15,0.002945508100147043,0.038179148311306976,-0.010279001468428639,0.004405286343612591,0.026431718061674214,0.03083700440528636,0.032305433186490484,0.008534850640113945
1101,台泥,20260112,20260113,25.4,20260122,25.7,8,Day 8 Time Stop,20260122,0,0.011811023622047223,0.007974168093997312,0.005950708528168755,3.836416399725162,0.05496828752642702,1.0439330543933054,Extended Breakout,0.1163737243541952,-0.0008015483760062406,0.11557217597818896,23.8,24.13,0.018036072144288484,0.051181102362204856,-0.027559055118110187,-0.017716535433070835,-0.015748031496062964,0.03149606299212593,0.011811023622047223,0.048638132295719894
1102,亞泥,20221114,20221115,40.3,20221124,41.1,8,Day 8 Time Stop,20221124,0,0.01985111662531036,0.015975889475649586,0.013937701838017869,1.8929561971936455,0.03969270166453276,1.031766200762389,Extended Breakout,0.21524282327640124,-0.04012214941933657,0.17512067385706465,39.15,39.15,-0.007389162561576512,0.032258064516129226,-0.012406947890818865,0.011166253101737134,0.02853598014888359,0.018610421836228186,0.01985111662531036,0.012165450121654597
1102,亞泥,20231115,20231116,41.05,20231127,41.8,8,Day 8 Time Stop,20231127,0,0.018270401948842885,0.014393648781626835,0.01239715131727915,2.5227288384982796,0.023690773067331472,1.0098400984009839,Breakout,0.3111069413332969,-0.022019359206220217,0.2890875821270767,40.35,40.35,0.0,0.02436053593179044,-0.0012180267965894442,0.010962241169305775,0.0073081607795373316,0.013398294762484886,0.018270401948842885,0.013157894736842257
1102,亞泥,20240703,20240704,45.5,20240711,44.45,5,Day 5 Weakness,20240710,0,-0.023076923076922995,-0.02680146017035311,-0.028754506321499583,2.5282712853152023,0.036322360953461974,1.0178372352285394,Breakout,-0.06943665025649734,0.3696109466382603,0.30017429638176296,44.15,44.15,-0.003285870755750264,0.01098901098901095,-0.02637362637362639,0.009890109890109855,-0.01758241758241752,-0.0241758241758242,,0.030371203599550034
1102,亞泥,20250520,20250521,44.85,20250523,43.3,2,Close Confirmed Stop,20250522,0,-0.03455964325529548,-0.038249287663737294,-0.04017378340586548,3.0452308561898875,0.020361990950226172,0.9804347826086957,Pre-breakout,-0.3789962760176972,0.4755547498592458,0.09655847384154856,44.4,44.4,-0.005543237250554278,0.00557413600891854,-0.035674470457079166,-0.0011148272017837968,,,,0.008083140877598094
1104,環泥,20230612,20230613,31.7,20230620,31.0,5,Day 5 Weakness,20230619,0,-0.02208201892744477,-0.025806494623369203,-0.02775981157563873,2.6203816410097223,0.034710743801652955,1.029605263157895,Breakout,0.13802532304740198,0.0,0.13802532304740198,30.45,30.45,0.012779552715654896,0.006309148264984188,-0.041009463722397554,0.003154574132492094,-0.014195583596214534,-0.023659305993690816,,0.003225806451612856
