record_type,total_round_trip_friction,sample_size,average_return_after_friction,median_return_after_friction,win_rate_after_friction,profit_factor_after_friction,share_of_trades_exceeding_friction,definition,percentile,break_even_total_friction,stock_id,name,signal_date,entry_date,exit_date,gross_return,max_nonnegative_friction,already_negative_before_friction,observed_effective_friction_net_0_1
friction_scenario,0.0,2385,0.004079820863317421,-0.015837104072398245,0.35974842767295595,1.1619401165088445,0.35974842767295595,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.002,2385,0.0020798208633174197,-0.017837104072398247,0.3559748427672956,1.0785576488303805,0.3559748427672956,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.003,2385,0.0010798208633174197,-0.018837104072398244,0.35052410901467507,1.039813188502793,0.35052410901467507,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.004,2385,7.982086331741875e-05,-0.019837104072398245,0.34591194968553457,1.002874026496984,0.34591194968553457,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.005,2385,-0.0009201791366825798,-0.020837104072398246,0.34129979035639413,0.9676333945020432,0.34129979035639413,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.006,2385,-0.0019201791366825797,-0.021837104072398243,0.33542976939203356,0.9339957709547625,0.33542976939203356,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.008,2385,-0.003920179136682581,-0.023837104072398245,0.3287211740041929,0.8711698579714149,0.3287211740041929,descriptive additive friction subtracted from gross return,,,,,,,,,,,
friction_scenario,0.01,2385,-0.0059201791366825796,-0.025837104072398247,0.31949685534591193,0.8137157757498257,0.31949685534591193,descriptive additive friction subtracted from gross return,,,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.0,-0.2098214285714286,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.01,-0.1087265700483092,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.05,-0.0786404118597572,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.1,-0.06501488152757917,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.25,-0.04498269896193774,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.5,-0.015837104072398245,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.75,0.028795811518324665,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.9,0.09942934974050663,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.95,0.16493164051156362,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,0.99,0.305374346527259,,,,,,,,,
break_even_distribution,,,,,,,,per-trade break-even additive friction equals that trade's gross return; negative means already losing before costs,1.0,0.5238095238095237,,,,,,,,,
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.06617647058823517,1301,台塑,20251023,20251027,20251103,-0.06617647058823517,0,True,0.005406511938190112
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.09259259259259256,1301,台塑,20260127,20260128,20260202,-0.09259259259259256,0,True,0.005241773754158505
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.125,1301,台塑,20260603,20260604,20260608,-0.125,0,True,0.005064887748036567
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.09810126582278489,1301,台塑,20260703,20260706,20260708,-0.09810126582278489,0,True,0.005228842843584894
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.030104712041884918,1303,南亞,20230130,20230131,20230206,-0.030104712041884918,0,True,0.0056261730769288365
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.008784773060029227,1303,南亞,20231115,20231116,20231127,-0.008784773060029227,0,True,0.0057481713706321064
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.1854714064914993,1303,南亞,20250724,20250725,20250805,0.1854714064914993,0.1854714064914993,False,0.006842105241542468
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.07883211678832114,1303,南亞,20260108,20260109,20260112,-0.07883211678832114,0,True,0.005344311865993739
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.045951859956236296,1304,台聚,20230110,20230111,20230201,0.045951859956236296,0.045951859956236296,False,0.006040915117178816
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.04099821746880572,1305,華夏,20230110,20230111,20230201,0.04099821746880572,0.04099821746880572,False,0.005995567712047782
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.0381526104417671,1307,三芳,20250221,20250224,20250303,0.0381526104417671,0.0381526104417671,False,0.005992354546226271
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.034482758620689724,1316,上曜,20220118,20220119,20220121,0.034482758620689724,0.034482758620689724,False,0.005980947882203585
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,0.0362047440699127,1319,東陽,20220530,20220531,20220610,0.0362047440699127,0.0362047440699127,False,0.005984076743218259
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.003759398496240629,1319,東陽,20220818,20220819,20220826,-0.003759398496240629,0,True,0.005755666735313971
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.04665314401622711,1319,東陽,20221201,20221202,20221208,-0.04665314401622711,0,True,0.005522675731726254
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.013752455795677743,1319,東陽,20230517,20230518,20230525,-0.013752455795677743,0,True,0.005701158918311508
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.027027027027026973,1319,東陽,20230605,20230606,20230607,-0.027027027027026973,0,True,0.005634586007024121
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.00766283524904221,1319,東陽,20230613,20230614,20230628,-0.00766283524904221,0,True,0.005744902805130925
trade_break_even,,,,,,,,equal-notional descriptive price-return basis,,-0.005102040816326481,1319,東陽,20230727,20230728,20230807,-0.005102040816326481,0,True,0.005755264486671317
