stock_id,name,signal_date,entry_date,entry_price,baseline_status,baseline_trade_completed,forward_1d_date,forward_1d_close,forward_1d_close_return,forward_1d_mfe,forward_1d_mae,forward_1d_observed_stock_bars,forward_1d_complete_stock_window,forward_3d_date,forward_3d_close,forward_3d_close_return,forward_3d_mfe,forward_3d_mae,forward_3d_observed_stock_bars,forward_3d_complete_stock_window,forward_5d_date,forward_5d_close,forward_5d_close_return,forward_5d_mfe,forward_5d_mae,forward_5d_observed_stock_bars,forward_5d_complete_stock_window,forward_8d_date,forward_8d_close,forward_8d_close_return,forward_8d_mfe,forward_8d_mae,forward_8d_observed_stock_bars,forward_8d_complete_stock_window
1101,台泥,20230223,20230224,39.65,entered,True,20230224,39.15,-0.01261034047919296,0.0012610340479193294,-0.015132408575031508,1,True,20230302,37.9,-0.04413619167717531,0.0012610340479193294,-0.05548549810844883,3,True,20230306,37.95,-0.04287515762925587,0.0012610340479193294,-0.05548549810844883,5,True,20230309,37.2,-0.06179066834804525,0.0012610340479193294,-0.06305170239596469,8,True
1101,台泥,20240522,20240523,34.2,entered,True,20240523,34.0,-0.005847953216374324,0.0029239766081869956,-0.008771929824561542,1,True,20240527,33.8,-0.011695906432748648,0.0029239766081869956,-0.016081871345029364,3,True,20240529,33.2,-0.029239766081871288,0.0029239766081869956,-0.029239766081871288,5,True,20240603,33.0,-0.03508771929824572,0.0029239766081869956,-0.03947368421052633,8,True
1101,台泥,20240927,20240930,33.5,entered,True,20240930,33.8,0.008955223880596996,0.020895522388059806,-0.0014925373134327957,1,True,20241004,33.8,0.008955223880596996,0.020895522388059806,-0.0014925373134327957,3,True,20241008,33.05,-0.013432835820895606,0.020895522388059806,-0.017910447761194104,5,True,20241014,32.55,-0.028358208955224007,0.020895522388059806,-0.032835820895522394,8,True
1101,台泥,20250220,20250221,34.05,entered,True,20250221,34.2,0.004405286343612591,0.007342143906020615,-0.008810572687224627,1,True,20250225,34.95,0.026431718061674214,0.03083700440528636,-0.010279001468428639,3,True,20250227,35.1,0.03083700440528636,0.038179148311306976,-0.010279001468428639,5,True,20250305,35.15,0.032305433186490484,0.038179148311306976,-0.010279001468428639,8,True
1101,台泥,20260112,20260113,25.4,entered,True,20260113,24.95,-0.017716535433070835,0.0,-0.027559055118110187,1,True,20260115,25.0,-0.015748031496062964,0.015748031496063186,-0.027559055118110187,3,True,20260119,26.2,0.03149606299212593,0.04133858267716528,-0.027559055118110187,5,True,20260122,25.7,0.011811023622047223,0.051181102362204856,-0.027559055118110187,8,True
1102,亞泥,20221114,20221115,40.3,entered,True,20221115,40.75,0.011166253101737134,0.01488833746898277,-0.012406947890818865,1,True,20221117,41.45,0.02853598014888359,0.032258064516129226,-0.012406947890818865,3,True,20221121,41.05,0.018610421836228186,0.032258064516129226,-0.012406947890818865,5,True,20221124,41.1,0.01985111662531036,0.032258064516129226,-0.012406947890818865,8,True
1102,亞泥,20231115,20231116,41.05,entered,True,20231116,41.5,0.010962241169305775,0.015834348355663996,-0.0012180267965894442,1,True,20231120,41.35,0.0073081607795373316,0.01705237515225333,-0.0012180267965894442,3,True,20231122,41.6,0.013398294762484886,0.01705237515225333,-0.0012180267965894442,5,True,20231127,41.8,0.018270401948842885,0.02436053593179044,-0.0012180267965894442,8,True
1102,亞泥,20240703,20240704,45.5,entered,True,20240704,45.95,0.009890109890109855,0.01098901098901095,-0.01098901098901095,1,True,20240708,44.7,-0.01758241758241752,0.01098901098901095,-0.01978021978021971,3,True,20240710,44.4,-0.0241758241758242,0.01098901098901095,-0.02637362637362639,5,True,20240715,45.45,-0.001098901098900984,0.01098901098901095,-0.02637362637362639,8,True
1102,亞泥,20250520,20250521,44.85,entered,True,20250521,44.8,-0.0011148272017837968,0.00557413600891854,-0.004459308807134965,1,True,20250523,42.95,-0.0423634336677815,0.00557413600891854,-0.04905239687848395,3,True,20250527,42.0,-0.06354515050167231,0.00557413600891854,-0.06465997770345588,5,True,20250602,41.7,-0.07023411371237454,0.00557413600891854,-0.07692307692307698,8,True
1102,亞泥,20260820,20260821,34.7,censored,False,20260821,34.95,0.007204610951008661,0.010086455331411948,-0.0028818443804035088,1,True,20260825,34.9,0.0057636887608067955,0.012968299711815456,-0.0028818443804035088,3,True,20260827,35.1,0.011527377521613813,0.01729106628242061,-0.0028818443804035088,5,True,,,,,,0,False
1104,環泥,20230612,20230613,31.7,entered,True,20230613,31.8,0.003154574132492094,0.004731861198738141,-0.02208201892744477,1,True,20230615,31.25,-0.014195583596214534,0.006309148264984188,-0.041009463722397554,3,True,20230619,30.95,-0.023659305993690816,0.006309148264984188,-0.041009463722397554,5,True,20230626,30.7,-0.03154574132492116,0.006309148264984188,-0.041009463722397554,8,True
1210,大成,20250627,20250630,66.3,entered,True,20250630,65.9,-0.006033182503770607,0.009049773755656298,-0.012066365007541435,1,True,20250702,66.2,-0.0015082956259425684,0.009049773755656298,-0.019607843137254832,3,True,20250704,66.0,-0.004524886877828038,0.009049773755656298,-0.019607843137254832,5,True,20250709,63.6,-0.040723981900452455,0.009049773755656298,-0.04675716440422317,8,True
1216,統一,20230619,20230620,78.0,entered,True,20230620,78.2,0.002564102564102555,0.008974358974358942,-0.011538461538461608,1,True,20230626,76.2,-0.023076923076922995,0.008974358974358942,-0.028205128205128216,3,True,20230628,76.3,-0.02179487179487183,0.008974358974358942,-0.030769230769230882,5,True,20230703,76.5,-0.019230769230769273,0.008974358974358942,-0.030769230769230882,8,True
1216,統一,20240220,20240221,76.1,entered,True,20240221,76.8,0.009198423127463995,0.009198423127463995,-0.006570302233902758,1,True,20240223,75.8,-0.003942181340341633,0.009198423127463995,-0.006570302233902758,3,True,20240227,75.3,-0.010512483574244391,0.009198423127463995,-0.014454664914586024,5,True,20240304,76.2,0.0013140604467807293,0.009198423127463995,-0.014454664914586024,8,True
1216,統一,20250519,20250520,83.0,entered,True,20250520,81.5,-0.01807228915662651,0.008433734939758963,-0.01807228915662651,1,True,20250522,80.4,-0.031325301204819245,0.008433734939758963,-0.03734939759036138,3,True,20250526,79.7,-0.03975903614457832,0.008433734939758963,-0.051807228915662584,5,True,20250529,79.6,-0.04096385542168679,0.008433734939758963,-0.051807228915662584,8,True
1216,統一,20251226,20251229,79.8,entered,True,20251229,79.6,-0.0025062656641604564,0.00877192982456143,-0.016290726817042578,1,True,20251231,77.1,-0.03383458646616544,0.00877192982456143,-0.03508771929824561,3,True,20260105,77.0,-0.03508771929824561,0.00877192982456143,-0.045112781954887105,5,True,20260108,75.6,-0.052631578947368474,0.00877192982456143,-0.057644110275689164,8,True
