feature,quintile,feature_min,feature_max,global_q20,global_q40,global_q60,global_q80,trades,gross_sample_size,gross_average_return,gross_median_return,gross_win_rate,gross_profit_factor,net_sample_size,net_average_return_slippage_0_1,net_median_return_slippage_0_1,net_win_rate_slippage_0_1,net_profit_factor_slippage_0_1,average_actual_mfe,average_actual_mae,day8_forward_sample_size,average_day8_forward_return,median_day8_forward_return,day8_forward_win_rate,day8_forward_profit_factor
volume_ratio,Q1,1.8002756197483274,2.104568779668526,2.104738243918047,2.5037325435994378,3.1320455114772625,4.150332330924399,477,477,0.002500621980399729,-0.015936254980079667,0.32914046121593293,1.0984593769359565,477,-0.0033027717013863005,-0.02163969224698884,0.3081761006289308,0.8867929626878154,0.06326421531745086,-0.03999537978174795,476,0.008901498249833308,-0.010037704363158428,0.4222689075630252,1.3000943502218043
volume_ratio,Q2,2.1047806099804274,2.5034757734985855,2.104738243918047,2.5037325435994378,3.1320455114772625,4.150332330924399,477,477,0.0031996326034590666,-0.01666666666666672,0.3689727463312369,1.1279091278163396,477,-0.002607498227666057,-0.022374490235357272,0.33962264150943394,0.9088153344304539,0.06534158047526478,-0.03923186778466688,473,0.008339052311918685,-0.0027173913043476716,0.47780126849894294,1.2757371748164392
volume_ratio,Q3,2.503903723666673,3.1319321153809443,2.104738243918047,2.5037325435994378,3.1320455114772625,4.150332330924399,477,477,2.379331692709556e-05,-0.017201834862385357,0.35429769392033544,1.0009104240004416,477,-0.005764386281703275,-0.02289716642529432,0.33752620545073375,0.8063507623989307,0.06291758703651618,-0.04193192383852103,475,0.0013558915750540332,-0.009408602150537626,0.4336842105263158,1.0392141328498006
volume_ratio,Q4,3.13221560562174,4.149300183745549,2.104738243918047,2.5037325435994378,3.1320455114772625,4.150332330924399,477,477,0.005134843796878483,-0.017142857142857126,0.35639412997903563,1.194381708684659,477,-0.0006847958580748257,-0.022830967685503852,0.3270440251572327,0.9772219869449345,0.07083879864994858,-0.043094592428771644,474,0.0043686140004579955,-0.014270651377060184,0.4240506329113924,1.1234919019795793
volume_ratio,Q5,4.1544609196397975,22.946991015226285,2.104738243918047,2.5037325435994378,3.1320455114772625,4.150332330924399,477,477,0.009540212618922732,-0.012461059190031154,0.389937106918239,1.414720516679529,477,0.0036963181676614295,-0.01817483431010667,0.3668763102725367,1.1398501306116737,0.07511275359065887,-0.04047698915937251,477,0.010907858598318585,-0.003278688524590123,0.469601677148847,1.3734660306852327
daily_return,Q1,0.020000000000000018,0.02764976958525356,0.02767528263677388,0.03558847231282867,0.044117647058823595,0.05494505494505497,477,477,0.005220764350950851,-0.01239669421487588,0.36268343815513626,1.2519265527368721,477,-0.0005996108853559627,-0.018136733655901363,0.3312368972746331,0.9753988884950857,0.06331223144942448,-0.034112992663164456,476,0.005349383637481087,-0.007906250000000004,0.42857142857142855,1.1809831291726303
daily_return,Q2,0.02768166089965396,0.035573122529644285,0.02767528263677388,0.03558847231282867,0.044117647058823595,0.05494505494505497,477,477,0.0008114543090030804,-0.017410228509249226,0.3480083857442348,1.0332501516058121,477,-0.0049819030564780264,-0.02309885998032481,0.31236897274633124,0.8228122537109627,0.060502692051853366,-0.03924060359701005,473,0.001855596721498728,-0.010558069381598867,0.4397463002114165,1.060610234613425
daily_return,Q3,0.035598705501618255,0.044117647058823595,0.02767528263677388,0.03558847231282867,0.044117647058823595,0.05494505494505497,477,477,0.0003872623272607572,-0.01807228915662651,0.3522012578616352,1.014738173930951,477,-0.005404734936528932,-0.023769228404097523,0.33962264150943394,0.8192147065141794,0.06363746219010878,-0.04239984744359381,473,0.005019306256019567,-0.011312217194570096,0.44608879492600423,1.155223308095577
daily_return,Q4,0.044117647058823595,0.05494505494505497,0.02767528263677388,0.03558847231282867,0.044117647058823595,0.05494505494505497,477,477,0.005321943468379189,-0.015094339622641506,0.36268343815513626,1.2034783334412957,477,-0.0004959680328975008,-0.02079692142939518,0.3438155136268344,0.9833240911636826,0.07163400494529638,-0.044099795245480716,477,0.013881679745886537,-0.004126547455295726,0.469601677148847,1.4436123365396507
daily_return,Q5,0.05494505494505497,0.06995884773662553,0.02767528263677388,0.03558847231282867,0.044117647058823595,0.05494505494505497,477,477,0.008657679860993228,-0.019138755980861122,0.3731656184486373,1.3047610578624291,477,0.0028190830100913934,-0.024824449720083023,0.3522012578616352,1.088359446644781,0.07838854443315624,-0.044877514043830974,476,0.007730268986615302,-0.007579672695951778,0.4432773109243697,1.2193357954267678
breakout_ratio,Q1,0.98,0.9963054187192119,0.9963090542235473,1.0086407075542012,1.019062159214831,1.0302419379936636,477,477,0.0014036913636492371,-0.019345238095238027,0.3333333333333333,1.0528886184612576,477,-0.00439258241280748,-0.025036128480208766,0.3165618448637317,0.8549525945511953,0.0677568504959493,-0.04226253295685002,474,0.006971198644552878,-0.011012414939483683,0.4219409282700422,1.202899408130333
