period,regime_feature,regime_bucket,feature_min,feature_max,trades,gross_sample_size,gross_average_return,gross_median_return,gross_win_rate,gross_profit_factor,net_sample_size,net_average_return_slippage_0_1,net_median_return_slippage_0_1,net_win_rate_slippage_0_1,net_profit_factor_slippage_0_1,average_actual_mfe,average_actual_mae,day8_forward_sample_size,average_day8_forward_return,median_day8_forward_return,day8_forward_win_rate,day8_forward_profit_factor
All,taiex_close_ma20,Q1,0.00031226714303089764,0.013785715316718017,477,477,-0.0013827683301266484,-0.018867924528301883,0.3438155136268344,0.9497777138342527,477,-0.007162799510491205,-0.024561456959890187,0.3249475890985325,0.7705856037615328,0.06208524881687096,-0.04232292257973356,477,-0.005732094458873353,-0.016129032258064502,0.4088050314465409,0.8432300315327791
All,taiex_close_ma20,Q2,0.013785715316718017,0.02291181480065352,477,477,-0.00024621861322673494,-0.01717557251908397,0.32914046121593293,0.9905921207982153,477,-0.006033888818423916,-0.022876162475875674,0.29559748427672955,0.7987848078808388,0.06284119374342093,-0.040556744629624206,470,-0.0014942436367894262,-0.015033326541898262,0.4,0.9573530536869792
All,taiex_close_ma20,Q3,0.02291181480065352,0.03547889109097846,477,477,0.00444787046865025,-0.01717791411042957,0.33542976939203356,1.1796953491247397,477,-0.0013663701526476953,-0.02287319079043746,0.31865828092243187,0.9520530804490351,0.06716720566054482,-0.04001989283039335,475,0.008877494516783846,-0.008298755186721962,0.45052631578947366,1.286665750867513
All,taiex_close_ma20,Q4,0.03547889109097846,0.04784734762897225,477,477,0.012838112834636388,-0.011647254575707255,0.4088050314465409,1.5816354112578992,477,0.006974401119275327,-0.017382976314010472,0.389937106918239,1.2744934939767008,0.07382473106210434,-0.03811017970591068,476,0.017853339517360293,-0.0016754079254079346,0.4789915966386555,1.6855995813084346
All,taiex_close_ma20,Q5,0.04784734762897225,0.1120634693619329,477,477,0.004742107956653849,-0.013513513513513487,0.38155136268343814,1.1864201685915465,477,-0.0010744765388815407,-0.019243488514749156,0.350104821802935,0.9628425701360187,0.07155655578689821,-0.04372101324741821,477,0.01429939005589456,0.0,0.48846960167714887,1.4692936861966803
All,taiex_ma20_slope,Q1,2.4297930346417473e-05,0.0012127299443038808,477,477,0.0009588443510103806,-0.01573426573426573,0.33752620545073375,1.038076035231702,477,-0.004835025985954378,-0.021453887470462153,0.31027253668763105,0.8328607695531325,0.06426822405925282,-0.039595226570455715,474,-0.003626623107868961,-0.012061519478230143,0.4092827004219409,0.8967239959096296
All,taiex_ma20_slope,Q2,0.0012127299443038808,0.0023054086472709123,477,477,-0.0011683546786345222,-0.01807228915662651,0.3228511530398323,0.9556420763467989,477,-0.006950772096194044,-0.023769228404097523,0.3081761006289308,0.7695329850085311,0.05987322600597666,-0.04149948415144707,472,0.0001912180347697307,-0.010974948813681829,0.423728813559322,1.0056104325138802
All,taiex_ma20_slope,Q3,0.0023054086472709123,0.00320802112625862,477,477,0.006726149639571809,-0.016975308641975273,0.3710691823899371,1.266584890121257,477,0.0008994552971530274,-0.022663665530786237,0.35639412997903563,1.0312680767352693,0.06804728525844214,-0.04014131155749865,477,0.01346946942576446,-0.0013947001394701841,0.48427672955974843,1.4577310905468752
All,taiex_ma20_slope,Q4,0.00320802112625862,0.004543277073841834,477,477,0.006895680343660617,-0.013043478260869601,0.3857442348008386,1.2967183004478051,477,0.0010651941107857755,-0.01877470534190329,0.3417190775681342,1.039823455378575,0.06847463942571921,-0.03966634467751177,475,0.011039648415903673,-0.008403361344537785,0.43157894736842106,1.4037630931514222
All,taiex_ma20_slope,Q5,0.004543277073841834,0.01107059805980426,477,477,0.0069867846609788205,-0.014705882352941235,0.38155136268343814,1.2689839447905045,477,0.0011580147730405903,-0.020409295798752943,0.36268343815513626,1.0393473736994747,0.0768115603204484,-0.043828386036166816,477,0.012702934011108164,-0.003669724770642202,0.4779874213836478,1.383692285877815
All,taiex_close_ma60,Q1,-0.04815797093261043,0.030162042569572556,477,477,-0.0025593395949618926,-0.014975041597337757,0.3417190775681342,0.9014104182152123,477,-0.008333792750989246,-0.020673194511449066,0.3081761006289308,0.7192084149906287,0.06080090857592481,-0.03874570050550949,469,-0.004106878371375481,-0.013661202185792365,0.4093816631130064,0.8795010534582
All,taiex_close_ma60,Q2,0.030162042569572556,0.04937096704538502,477,477,0.006133678181797595,-0.014326647564469885,0.38155136268343814,1.2813554258979851,477,0.00030935763209919044,-0.02002456187748182,0.36477987421383645,1.0122218525545228,0.06431760636777803,-0.0372412246765996,477,0.007697471573188933,-0.006858710562414272,0.4549266247379455,1.275836310293951
All,taiex_close_ma60,Q3,0.04937096704538502,0.06596215021787266,477,477,0.007789168320810853,-0.014376996805111841,0.3689727463312369,1.3386878575284227,477,0.0019545842503051756,-0.020073558608497025,0.3480083857442348,1.0735534505832716,0.06604755348962063,-0.03810203708066401,476,0.017757818267645914,-0.001493802826905366,0.4852941176470588,1.7515113412736965
All,taiex_close_ma60,Q4,0.06596215021787266,0.0926450458002841,477,477,0.005843884479502745,-0.015873015873015928,0.3438155136268344,1.2299397753344359,477,2.080955478894372e-05,-0.02157748052743142,0.3249475890985325,1.0007149875390202,0.06889147572085695,-0.042296342901241256,476,0.008437468054983958,-0.011693360600967928,0.4327731092436975,1.26592431632547
All,taiex_close_ma60,Q5,0.0926450458002841,0.22631824732250783,477,477,0.003191712929437804,-0.021818181818181848,0.36268343815513626,1.1071258739866605,477,-0.0026140925873730913,-0.027501148124018625,0.3333333333333333,0.9216448606204929,0.07741739091565882,-0.04834544782906565,477,0.003951322269216085,-0.010909090909090868,0.4444444444444444,1.094705084341167
All,taiex_ma20_ma60,Q1,-0.09282946419703286,0.003702573686650945,477,477,0.002273786836759741,-0.01216216216216226,0.3710691823899371,1.0987393683166715,477,-0.003528952584080403,-0.017895376411478457,0.3417190775681342,0.8673381122468208,0.06118520938610813,-0.036366098914477896,469,0.005890330603010581,-0.005281690140845119,0.4605543710021322,1.2130794868197057
All,taiex_ma20_ma60,Q2,0.003702573686650945,0.023210715537540283,477,477,0.009683232564518933,-0.014376996805111841,0.3836477987421384,1.428482407688799,477,0.003837598199806496,-0.020073558608497025,0.3584905660377358,1.1471719842412433,0.07074489813020643,-0.03764467011500494,477,0.013288235157775963,-0.006038647342995196,0.45073375262054505,1.4763969837109476
All,taiex_ma20_ma60,Q3,0.023210715537540283,0.036139865475672384,477,477,0.005262237128373672,-0.012539184952978122,0.3668763102725367,1.2370023095425629,477,-0.000557806952483951,-0.018273490178829795,0.3522012578616352,0.9783616473713039,0.06595527520189062,-0.03967215168237572,477,0.0070664544204101735,-0.0055248618784530246,0.4549266247379455,1.249350163560979
All,taiex_ma20_ma60,Q4,0.036139865475672384,0.05422027516350725,477,477,0.0036249098770192115,-0.018495684340320562,0.35429769392033544,1.1350288332806138,477,-0.0021846694363395714,-0.02418083777293071,0.3270440251572327,0.9283551043571989,0.06635622408467474,-0.04333512448731315,475,0.015264517617756275,-0.0029761904761904656,0.47578947368421054,1.5581719277087445
All,taiex_ma20_ma60,Q5,0.05422027516350725,0.12630026134829464,477,477,-0.00044506209008445273,-0.026184538653366674,0.3228511530398323,0.9857767296623575,477,-0.006229303128071599,-0.03181938317941849,0.29979035639413,0.8224443991299973,0.07323332826695934,-0.04771270779390831,477,-0.007595582502761149,-0.026119402985074647,0.3857442348008386,0.8408825569273941
