year,breakout_type,trades,gross_sample_size,gross_average_return,gross_median_return,gross_win_rate,gross_profit_factor,net_sample_size,net_average_return_slippage_0_1,net_median_return_slippage_0_1,net_win_rate_slippage_0_1,net_profit_factor_slippage_0_1,average_actual_mfe,average_actual_mae,day8_forward_sample_size,average_day8_forward_return,median_day8_forward_return,day8_forward_win_rate,day8_forward_profit_factor
2022,Pre-breakout,34,34,-0.0028681995515053736,-0.02406047780733922,0.38235294117647056,0.894357870949907,34,-0.008634716414794609,-0.029715404161573693,0.35294117647058826,0.7182127461255636,0.0584883031988125,-0.042556652672316765,34,0.001349196004274839,-0.00902762182798117,0.47058823529411764,1.0387832525020393
2022,Breakout,140,140,0.00041743598766031634,-0.008133223466622208,0.35,1.0210457669862991,140,-0.005373733307146338,-0.013876524998181233,0.32857142857142857,0.771613224547285,0.054809745766524816,-0.03424734709648703,140,0.001174584509034685,-0.002334011280864412,0.44285714285714284,1.043246727503061
2022,Extended Breakout,55,55,0.013822902650965776,0.0,0.4727272727272727,1.6135270494785756,55,0.007955193476014828,-0.005805593205186938,0.43636363636363634,1.3124779845585757,0.0737600375310501,-0.037677390659519375,55,0.013180903392649743,0.005599104143336975,0.5272727272727272,1.5277487815933906
2023,Pre-breakout,133,133,-0.00787490697470619,-0.017060367454068248,0.2781954887218045,0.6728077502284808,133,-0.013621268139115782,-0.02275142937403948,0.2631578947368421,0.5157424641692707,0.049847091247201006,-0.03742706262569328,133,-0.0027032126306757534,-0.010012515644555853,0.38345864661654133,0.9066473507584344
2023,Breakout,398,398,0.00582574820056652,-0.009083558841000594,0.4020100502512563,1.292749030936672,398,3.044155668418445e-06,-0.014824631208595285,0.36683417085427134,1.0001304523034606,0.06101266345284199,-0.03338738011767012,398,0.008893581501936722,-0.0016909617665845644,0.4899497487437186,1.398018074684717
2023,Extended Breakout,117,117,-0.004740069494112094,-0.020710059171597517,0.3418803418803419,0.82265057461698,117,-0.010503373511669935,-0.026392346611829588,0.3333333333333333,0.6544696489991159,0.059225360763356695,-0.043117844306288185,117,-0.00479404174656653,-0.012658227848101222,0.4017094017094017,0.8459849288273952
2024,Pre-breakout,148,148,0.008556997105123127,-0.017579845176841413,0.3581081081081081,1.3406121502886046,148,0.0027182642309534623,-0.023280031829884806,0.33783783783783783,1.0946037840916127,0.0758117734321679,-0.03988648580101003,148,0.009409230930353372,-0.010606603646790003,0.42567567567567566,1.2697339660838411
2024,Breakout,344,344,0.0012085109424920268,-0.01805555555555549,0.32558139534883723,1.0474106372946796,344,-0.004587351146629525,-0.023743560035036127,0.30523255813953487,0.8434526155727975,0.061760022834351384,-0.041586675284111904,344,0.002482259976181785,-0.011944248286291037,0.41569767441860467,1.076003691452716
2024,Extended Breakout,105,105,0.012137895205425159,-0.01773049645390068,0.3619047619047619,1.4308522324605648,105,0.006277250825590146,-0.02342675653403163,0.3523809523809524,1.1977902051618212,0.08043581935992612,-0.044767498503672044,105,0.011342581797965014,-0.009009009009009028,0.44761904761904764,1.2952268803931963
2025,Pre-breakout,129,129,0.006388432259757044,-0.021113243761996192,0.3488372093023256,1.243858573070914,129,0.0005636364417212971,-0.026793234510990662,0.32558139534883723,1.018869067645595,0.07040207082950019,-0.042421683233440775,128,0.0076701503172469385,-0.013931468042997441,0.4609375,1.2186152615443646
2025,Breakout,247,247,0.005749177183097683,-0.01388888888888895,0.3481781376518219,1.2378398752209605,247,-7.40778826953715e-05,-0.01961931857619696,0.31983805668016196,0.9973401054544914,0.06559855419283239,-0.03875044926800871,246,-0.0004182083241432988,-0.017094017094017144,0.3983739837398374,0.9879197411850421
2025,Extended Breakout,114,114,0.01468116610689112,-0.022760358024270122,0.37719298245614036,1.495475638877165,114,0.008808334233285992,-0.028425749211852116,0.3684210526315789,1.266387645292617,0.0852442785400618,-0.04570915529366058,114,0.02444741479994804,-0.004567067067067054,0.4473684210526316,1.7416066363657448
2026,Pre-breakout,108,108,0.0001226201699872714,-0.026054413262116216,0.3425925925925926,1.0037504562031154,108,-0.005664143163352837,-0.03168981596821509,0.32407407407407407,0.8443373503075261,0.07920114743876992,-0.0523499826131669,106,0.01877674476811088,-0.008125896152128498,0.4339622641509434,1.4869356534543352
2026,Breakout,218,218,0.0012656556030236168,-0.022390604539502368,0.3440366972477064,1.0432272681724146,218,-0.004528421381806985,-0.028068441707277673,0.3165137614678899,0.8626795127285554,0.0739943744575009,-0.04732684833240775,214,0.007769362325468819,-0.005732168410549965,0.4672897196261682,1.2176125300755452
2026,Extended Breakout,95,95,0.011883033055020671,-0.01735647530040052,0.4631578947368421,1.4014408733250585,95,0.006024842172362396,-0.02304516104947791,0.42105263157894735,1.1848560351958963,0.0928031385422779,-0.05154460104765514,93,0.01923125891674889,0.011811023622047223,0.5483870967741935,1.461222902756189
