stock_id,name,signal_date,entry_date,entry_price,exit_reason,actual_exit_date,actual_exit_price,counterfactual_day8_date,counterfactual_day8_close,actual_return,counterfactual_day8_return,difference,actual_net_return_slippage_0_1,counterfactual_day8_net_return_slippage_0_1,net_difference,actual_nonpositive_to_day8_positive,day8_available
1101,台泥,20230223,20230224,39.65,Close Confirmed Stop,20230302,37.8,20230309,37.2,-0.046658259773013855,-0.06179066834804525,-0.015132408575031397,-0.05217963664856932,-0.06720904898404272,-0.015029412335473398,False,True
1101,台泥,20240522,20240523,34.2,Close Confirmed Stop,20240530,33.05,20240603,33.0,-0.033625730994152225,-0.03508771929824572,-0.0014619883040934978,-0.039242183682022695,-0.04070066732621456,-0.001458483644191863,False,True
1101,台泥,20240927,20240930,33.5,Day 5 Weakness,20241009,32.9,20241014,32.55,-0.017910447761194104,-0.028358208955224007,-0.010447761194029903,-0.023599173203888883,-0.03398854434382849,-0.010389371139939606,False,True
1101,台泥,20250220,20250221,34.05,Day 8 Time Stop,20250305,35.15,20250305,35.15,0.032305433186490484,0.032305433186490484,0.0,0.026331565284821484,0.026331565284821484,0.0,False,True
1101,台泥,20260112,20260113,25.4,Day 8 Time Stop,20260122,25.7,20260122,25.7,0.011811023622047223,0.011811023622047223,0.0,0.005950708528168755,0.005950708528168755,0.0,False,True
1102,亞泥,20221114,20221115,40.3,Day 8 Time Stop,20221124,41.1,20221124,41.1,0.01985111662531036,0.01985111662531036,0.0,0.013937701838017869,0.013937701838017869,0.0,False,True
1102,亞泥,20231115,20231116,41.05,Day 8 Time Stop,20231127,41.8,20231127,41.8,0.018270401948842885,0.018270401948842885,0.0,0.01239715131727915,0.01239715131727915,0.0,False,True
1102,亞泥,20240703,20240704,45.5,Day 5 Weakness,20240711,44.45,20240715,45.45,-0.023076923076922995,-0.001098901098900984,0.02197802197802201,-0.028754506321499583,-0.006895884748639676,0.021858621572859907,False,True
1102,亞泥,20250520,20250521,44.85,Close Confirmed Stop,20250523,43.3,20250602,41.7,-0.03455964325529548,-0.07023411371237454,-0.035674470457079055,-0.04017378340586548,-0.07559607886734686,-0.03542229546148138,False,True
1104,環泥,20230612,20230613,31.7,Day 5 Weakness,20230620,31.0,20230626,30.7,-0.02208201892744477,-0.03154574132492116,-0.009463722397476393,-0.02775981157563873,-0.03716751226850612,-0.00940770069286739,False,True
1210,大成,20250627,20250630,66.3,Day 5 Weakness,20250707,66.0,20250709,63.6,-0.004524886877828038,-0.040723981900452455,-0.03619909502262442,-0.010276709218562705,-0.04625574145226936,-0.03597903223370665,False,True
1216,統一,20230619,20230620,78.0,Close Confirmed Stop,20230627,75.6,20230703,76.5,-0.030769230769230882,-0.019230769230769273,0.011538461538461608,-0.03639341691284961,-0.02491595639014139,0.011477460522708222,False,True
1216,統一,20240220,20240221,76.1,Day 5 Weakness,20240229,75.0,20240304,76.2,-0.014454664914586024,0.0013140604467807293,0.015768725361366753,-0.02015687072959692,-0.004492736607422506,0.015664134122174416,True,True
1216,統一,20250519,20250520,83.0,Day 5 Weakness,20250527,80.0,20250529,79.6,-0.03614457831325302,-0.04096385542168679,-0.004819277108433773,-0.041754525742957835,-0.046495594745442535,-0.0047410690024847005,False,True
1216,統一,20251226,20251229,79.8,Close Confirmed Stop,20260102,77.1,20260108,75.6,-0.03383458646616544,-0.052631578947368474,-0.018796992481203034,-0.03945474886061877,-0.05810656248513968,-0.01865181362452091,False,True
1218,泰山,20221130,20221201,47.05,Close Confirmed Stop,20221206,40.05,20221212,39.0,-0.14877789585547296,-0.17109458023379376,-0.022316684378320795,-0.15368878224793614,-0.175885215894568,-0.022196433646631847,False,True
1301,台塑,20240927,20240930,53.2,Day 5 Weakness,20241009,51.1,20241014,50.0,-0.03947368421052633,-0.06015037593984962,-0.020676691729323293,-0.045010371495985024,-0.0655708142279488,-0.02056044273196378,False,True
1301,台塑,20250717,20250718,38.0,Day 8 Time Stop,20250729,38.8,20250729,38.8,0.021052631578947212,0.021052631578947212,0.0,0.015136478611445438,0.015136478611445438,0.0,False,True
1301,台塑,20251023,20251027,40.8,Close Confirmed Stop,20251103,38.1,20251105,36.85,-0.06617647058823517,-0.09681372549019596,-0.030637254901960786,-0.07158298252642528,-0.10204675310006801,-0.03046377057364273,False,True
1301,台塑,20260127,20260128,51.3,Close Confirmed Stop,20260202,46.55,20260206,45.75,-0.09259259259259256,-0.10818713450292394,-0.015594541910331383,-0.09783436634675106,-0.11335819317274912,-0.015523826825998052,False,True
1301,台塑,20260603,20260604,52.0,Close Confirmed Stop,20260608,45.5,20260615,47.25,-0.125,-0.09134615384615385,0.033653846153846145,-0.13006488774803657,-0.09662507961605053,0.033439808131986035,False,True
1301,台塑,20260703,20260706,63.2,Close Confirmed Stop,20260708,57.0,20260716,65.6,-0.09810126582278489,0.037974683544303556,0.13607594936708844,-0.10333010866636978,0.0319862855116715,0.13531639417804128,True,True
1303,南亞,20230130,20230131,76.4,Close Confirmed Stop,20230206,74.1,20230209,74.8,-0.030104712041884918,-0.020942408376963484,0.009162303664921434,-0.035730885118813754,-0.026623890097735685,0.00910699502107807,False,True
1303,南亞,20231115,20231116,68.3,Day 8 Time Stop,20231127,67.7,20231127,67.7,-0.008784773060029227,-0.008784773060029227,0.0,-0.014532944430661334,-0.014532944430661334,0.0,False,True
1303,南亞,20250724,20250725,32.35,Trailing Stop,20250805,38.35,20250805,36.8,0.1854714064914993,0.13755795981452845,-0.04791344667697084,0.17862930124995682,0.1309640560342844,-0.04766524521567242,False,True
1303,南亞,20260108,20260109,68.5,Close Confirmed Stop,20260112,63.1,20260120,76.4,-0.07883211678832114,0.11532846715328482,0.19416058394160596,-0.08417642865431488,0.1088848208415184,0.19306124949583328,True,True
1304,台聚,20230110,20230111,22.85,Day 8 Time Stop,20230201,23.9,20230201,23.9,0.045951859956236296,0.045951859956236296,0.0,0.03991094483905748,0.03991094483905748,0.0,False,True
1305,華夏,20230110,20230111,28.05,Day 8 Time Stop,20230201,29.2,20230201,29.2,0.04099821746880572,0.04099821746880572,0.0,0.03500264975675794,0.03500264975675794,0.0,False,True
1307,三芳,20250221,20250224,49.8,Trailing Stop,20250303,51.7,20250306,52.4,0.0381526104417671,0.052208835341365445,0.014056224899598346,0.03216025589554083,0.04611605033220343,0.013955794436662602,False,True
1316,上曜,20220118,20220119,24.65,Trailing Stop,20220121,25.5,20220208,24.2,0.034482758620689724,-0.018255578093306246,-0.05273833671399597,0.02850181073848614,-0.0239433828687885,-0.052445193607274634,False,True
1319,東陽,20220530,20220531,40.05,Day 8 Time Stop,20220610,41.5,20220610,41.5,0.0362047440699127,0.0362047440699127,0.0,0.03022066732669444,0.03022066732669444,0.0,False,True
1319,東陽,20220818,20220819,53.2,Day 5 Weakness,20220826,53.0,20220830,52.5,-0.003759398496240629,-0.013157894736842146,-0.009398496240601517,-0.0095150652315546,-0.018891030564049692,-0.009375965332495092,False,True
1319,東陽,20221201,20221202,49.3,Close Confirmed Stop,20221208,47.0,20221213,47.35,-0.04665314401622711,-0.03955375253549687,0.007099391480730244,-0.052175819747953364,-0.04509345006688689,0.007082369681066472,False,True
1319,東陽,20230517,20230518,50.9,Day 5 Weakness,20230525,50.2,20230529,49.9,-0.013752455795677743,-0.01964636542239684,-0.005893909626719096,-0.01945361471398925,-0.025333393177591645,-0.005879778463602395,False,True
