exit_reason,sample_size,day8_available,actual_average_return,counterfactual_day8_average_return,average_difference,counterfactual_day8_win_rate,actual_average_net_return_slippage_0_1,counterfactual_day8_average_net_return_slippage_0_1,average_net_difference,actual_nonpositive_to_day8_positive_count,actual_nonpositive_to_day8_positive_rate
Close Confirmed Stop,993,990,-0.050058270532537655,-0.04697817716064762,0.0029215727953514365,0.1808080808080808,-0.055555160048833936,-0.05249534858899241,0.002902238814387619,175,0.17676767676767677
Day 5 Weakness,433,430,-0.017054895045645457,-0.016378403217559626,0.0006536691893103207,0.27674418604651163,-0.02274959286306692,-0.022072573146205136,0.0006542775887284252,90,0.20930232558139536
Trailing Stop,402,398,0.06118716574254616,0.06890615438375083,0.0073862070042716,0.7412060301507538,0.055045229853468804,0.06271773819833303,0.007341722006347005,23,0.05778894472361809
Day 8 Time Stop,557,557,0.075809271676989,0.075809271676989,0.0,0.8348294434470377,0.06958052130385635,0.06958052130385635,0.0,0,0.0
