year,cohort,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf
2020,CZSC_ONLY_ALL,12942,12867,243,637,0.22305121628973343,0.4015699075153493,0.3753788761949172,0.4468796145177586,0.4593145255304267,0.029119809200697167,0.05400809049007043,-0.03233804210355658,-0.05217100072976275,-0.0015308759816057165,-0.007308813906183154,0.9510847194737028,0.7881277835724525
2020,STAGE_A_TOP30,7350,7301,245,351,0.3837830434187098,0.5110258868648131,0.1051910697164772,0.49253526914121354,0.513080399945213,0.059607056112702624,0.10961998056316072,-0.04730937001141374,-0.07401475415700129,0.005530782073589826,-0.00028799147081743194,1.1385927974481462,0.9932860627361337
2020,STAGE_A_AND_CZSC,1398,1388,234,203,0.33645533141210376,0.5432276657060519,0.12031700288184438,0.44596541786743515,0.4596541786743516,0.05291117434863967,0.09304871439661795,-0.047304426319341515,-0.07224356144219674,-0.0013322952428082208,-0.007111016741130436,0.9680326920223835,0.8417913510515695
2020,STAGE_A_WITHOUT_CZSC,5952,5913,245,333,0.39489260950448163,0.5034669372568916,0.10164045323862675,0.5034669372568916,0.5256215119228818,0.06117882744510909,0.11350987020279565,-0.04731053047895919,-0.07443051865694186,0.0071418003917296,0.001313625149374425,1.180845368152605,1.0309723944372202
2021,CZSC_ONLY_ALL,22436,22366,244,824,0.2598587141196459,0.4255119377626755,0.3146293481176786,0.46011803630510595,0.46230886166502727,0.03373401922785689,0.0617552744724993,-0.03540915367790995,-0.05616546837668702,0.0011901867667606933,-0.004603249260082487,1.0368570316103163,0.8699380853027838
2021,STAGE_A_TOP30,7320,7274,244,387,0.3740720373934561,0.5640637888369535,0.061864173769590323,0.4619191641462744,0.45765740995325815,0.06285607391225048,0.11466483349801337,-0.05550654785375967,-0.08612050738125447,0.00032296700136193375,-0.005465881183043823,1.0073098341076328,0.8846182310800393
2021,STAGE_A_AND_CZSC,2021,2004,243,260,0.3852295409181637,0.5538922155688623,0.06087824351297405,0.48003992015968067,0.467564870259481,0.0656168611153052,0.11448705309708296,-0.05174935186328803,-0.07857761690908947,0.0010757972625342273,-0.004717548870031571,1.0244694585408296,0.8999436405821235
2021,STAGE_A_WITHOUT_CZSC,5299,5270,244,349,0.3698292220113852,0.567931688804554,0.06223908918406072,0.45502846299810246,0.4538899430740038,0.06180624135913442,0.11473243727855696,-0.056935280446720804,-0.08898880956459768,3.6691509257705455e-05,-0.005750446259946394,1.000828900146885,0.878828339784521
2022,CZSC_ONLY_ALL,10339,10299,246,655,0.174385862705117,0.5010195164579085,0.3245946208369745,0.3757646373434314,0.38751335081075833,0.023932975199668995,0.04279564188324984,-0.040062969520433346,-0.0620364180552113,-0.014619661319382101,-0.020321412267253244,0.612670135029565,0.5086785787439565
2022,STAGE_A_TOP30,7380,7362,246,344,0.29638685139907633,0.5942678619940234,0.1093452866069003,0.4185004074979625,0.4129312686769899,0.04167731310445646,0.07219882959614643,-0.0506137993090524,-0.07969913359248541,-0.009733604540201928,-0.015463722641281472,0.7819530930684473,0.6784957984772451
