period,cluster,comparison,metric,point_difference,ci_low,ci_high,reps,ci_crosses_zero
STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,downside_first,0.004497185737021958,-0.018597319947877222,0.02708055221928653,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,mae10,0.0004478784469794661,-0.0036302359691571112,0.0046559721695095604,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,mfe10,0.003066005537245828,-0.0027998869764856754,0.009048230641821347,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,net,-0.00023709445915144275,-0.0043433768529692425,0.003913367496465169,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,pf,-0.006890563294454255,-0.09015822917725863,0.08268575393374814,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,success,-0.005448959610897308,-0.027906206004648902,0.017705055662318336,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,downside_first,0.004497185737021958,-0.02110877740378457,0.03272575082564848,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,mae10,0.0004478784469794661,-0.003507296956539581,0.004504805310391838,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,mfe10,0.0030660055372458417,-0.003825658134612676,0.009896187134812504,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,net,-0.00023709445915144275,-0.005118254929658969,0.004270928074809624,5000,True
STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,pf,-0.006890563294454588,-0.10937425184777368,0.08565686206330136,5000,True
