slice,cohort,removal,removed,success_rate,mfe10_mean,net_mean,net_pf
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_AND_CZSC,REMOVE_TOP1_PERCENT_POSITIVE_NET,7,0.32981220657276994,0.09047698476270348,-0.00920092423521297,0.7950899953704565
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_AND_CZSC,REMOVE_TOP5_PERCENT_POSITIVE_NET,33,0.31942789034564956,0.08730742568033306,-0.011921272494532275,0.7385571977701085
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_WITHOUT_CZSC,ORIGINAL,0,0.33967684021543987,0.08738649245012203,-0.008130021188659733,0.8202485847850373
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_WITHOUT_CZSC,REMOVE_TOP1_PERCENT_POSITIVE_NET,22,0.3370583994232156,0.08643182168816621,-0.008876108319298899,0.8045280292256075
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_WITHOUT_CZSC,REMOVE_TOP5_PERCENT_POSITIVE_NET,108,0.32662028560966677,0.08319192853575322,-0.011682048692318033,0.7467227666228116
2020,CZSC_ONLY_ALL,ORIGINAL,0,0.22305121628973343,0.05400809049007043,-0.007308813906183154,0.7881277835724525
2020,CZSC_ONLY_ALL,REMOVE_TOP1_PERCENT_POSITIVE_NET,52,0.21989855637924308,0.05308664217574522,-0.008045646790659292,0.7677106075900776
2020,CZSC_ONLY_ALL,REMOVE_TOP5_PERCENT_POSITIVE_NET,259,0.20709073604060912,0.049668876999615356,-0.010709562562156171,0.6957940270272673
2020,STAGE_A_TOP30,ORIGINAL,0,0.3837830434187098,0.10961998056316072,-0.00028799147081743194,0.9932860627361337
2020,STAGE_A_TOP30,REMOVE_TOP1_PERCENT_POSITIVE_NET,33,0.3809851403412218,0.10829551573507,-0.0010970252906662087,0.9745406762929547
2020,STAGE_A_TOP30,REMOVE_TOP5_PERCENT_POSITIVE_NET,161,0.36988795518207285,0.10461998609885848,-0.004098924246219462,0.9065491172085318
2020,STAGE_A_AND_CZSC,ORIGINAL,0,0.33645533141210376,0.09304871439661795,-0.007111016741130436,0.8417913510515695
2020,STAGE_A_AND_CZSC,REMOVE_TOP1_PERCENT_POSITIVE_NET,6,0.33357452966714907,0.09171718653140311,-0.00791430878642807,0.8246805544810509
