stock_id,stock_name,discovery_cluster,z_beta_0050,z_correlation_0050,z_upside_capture,z_downside_capture,z_median_atr14_pct,z_median_realized_vol20_annualized_pct,z_median_efficiency20,z_lag1_daily_return_autocorrelation,z_idiosyncratic_volatility_annualized_pct,z_p95_abs_overnight_gap_pct,cluster_descriptive_label,discovery_rank_within_cluster,discovery_quality_score
1101,台泥,0,-1.3144730413903885,0.2270645881171803,-1.4211872921817383,-0.9410903631563995,-1.7097674988012466,-1.72520589398645,1.3119134253477787,-0.18701901766457965,-1.3794086719010843,-1.5988406542634197,LOW_ATR__LOW_REALIZED_VOL,1,0.6834848484848486
1102,亞泥,0,-1.5648440329242137,0.005593772158349821,-1.577712827878194,-1.3241070204317356,-1.5609949007069694,-1.6383193909550022,1.410716268683092,-0.8685253330131418,-1.5180163822813102,-1.65325444698542,LOW_ATR__LOW_REALIZED_VOL,16,0.5383333333333333
1216,統一,6,-1.8130154057579473,-0.3035792445874959,-1.633554216261591,-1.3263989750564888,-1.6213879342369368,-1.6519870079274483,-2.062004211664417,-2.126755452281358,-1.646931990293749,-1.70879482431663,LOW_BETA__LOW_UPSIDE_CAPTURE,2,0.5453535353535354
1301,台塑,0,-1.0724902488094292,0.3424465653480387,-1.279012909237818,-0.8766928881729492,-1.3098729333778696,-1.2870630348962298,-0.8109672804203886,1.7974039068806509,-1.2191747462344584,-1.5674440827198053,LOW_ATR__LOW_REALIZED_VOL,7,0.5785858585858585
1303,南亞,0,-0.582056320534429,1.777006948241887,-0.7120997690198729,-0.46820687355081586,-1.308303936775238,-1.3661316573361255,-0.5281355121296173,0.9989587478644325,-1.4796079530229316,-1.3944752452733011,LOW_ATR__LOW_REALIZED_VOL,12,0.5636363636363637
1326,台化,0,-0.8334807591673008,1.7044063393819269,-1.0050726083530999,-0.4639410765891985,-1.4867190953610017,-1.4740910270285865,-2.0057988300438137,0.3587508459635438,-1.5805119848080424,-1.3335683415583706,LOW_ATR__LOW_REALIZED_VOL,18,0.5137373737373738
1402,遠東新,6,-1.4803487310125405,-0.4748456599093617,-1.2702230052213475,-1.1255547813798168,-1.3758531260613436,-1.4299765416291612,-1.0555666578915976,-0.6193190795018632,-1.2266184364363737,-1.4938893803542528,LOW_BETA__LOW_UPSIDE_CAPTURE,5,0.4971717171717172
1476,儒鴻,7,-0.22642019506949962,0.01968014002540181,-0.3737767793192344,-0.21577344481129718,-0.08251811966093973,-0.3415241614487109,0.18768616865609966,0.5656595829604972,-0.27644586404305566,-0.05897652546294426,LOW_TREND_EFFICIENCY__LOW_AUTOCORRELATION,9,0.6165151515151516
1477,聚陽,5,-0.6901409479862636,-0.5293627484234692,-0.4234475038711408,-0.5363673962145964,-0.09910320998561603,-0.3959586268989482,1.3335983793332444,0.06630851137052098,-0.3388440133667885,-0.4354171975896907,LOW_MARKET_CORRELATION__HIGH_AUTOCORRELATION,2,0.65
1513,中興電,5,-1.1637682257190016,-1.5615022810492,-0.7228991038835275,-1.2477802891430851,-0.07830217572183308,-0.21417977102796137,1.6337508692302352,0.6951468070416335,-0.04160057835679731,-0.7461227989270427,LOW_MARKET_CORRELATION__HIGH_AUTOCORRELATION,13,0.4863636363636364
1590,亞德客-KY,4,0.5424123379218837,0.05249362280487013,0.4047770583254681,-0.01726997965276365,0.5678774608391642,0.6657614382138589,-0.15792783754264578,-1.1402172632905452,0.41040069041248417,0.7501132521076903,HIGH_REALIZED_VOL__HIGH_ATR,3,0.6728282828282829
