stock_id,stock_name,eligible,failure_reasons,discovery_sessions,discovery_coverage,discovery_longest_missing_run_sessions,discovery_median_close,discovery_median_turnover_proxy,discovery_median_atr14_pct,discovery_p95_gap_pct,coverage_2020,sessions_2020,coverage_2021,sessions_2021,coverage_2022,sessions_2022
5201,凱衛,False,TURNOVER,722,0.9823129251700681,2,30.725,878925.0,2.0280427467277167,2.877011155701189,1.0,245,0.9959016393442623,243,0.9512195121951219,234
5202,力新,False,TURNOVER,700,0.9523809523809523,3,17.8,417850.0,4.020937768161937,5.178047758692927,0.9102040816326531,223,0.9836065573770492,240,0.9634146341463414,237
5203,訊連,False,TURNOVER,735,1.0,0,91.9,16878797.0,2.4838174000614064,2.5404445816609997,1.0,245,1.0,244,1.0,246
5205,中茂,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|TURNOVER|P95_GAP|LONG_MISSING_RUN,352,0.47891156462585033,45,14.525,91700.0,7.66516546852112,9.949354005167944,0.3877551020408163,95,0.30327868852459017,74,0.7439024390243902,183
5206,坤悅,False,TURNOVER,735,1.0,0,16.35,1334800.0,1.6023372298358134,1.958537213494716,1.0,245,1.0,244,1.0,246
5209,新鼎,False,TURNOVER,731,0.9945578231292517,1,68.0,1557600.0000000002,1.342879262509777,1.8897287117626116,0.9959183673469387,244,0.9959016393442623,243,0.991869918699187,244
5210,寶碩,False,TURNOVER,734,0.998639455782313,1,10.8,2157540.0,4.099250499621893,3.2498270959809483,0.9959183673469387,244,1.0,244,1.0,246
5211,蒙恬,False,TURNOVER,733,0.9972789115646259,1,16.4,867200.0,2.6034577578562774,3.0544247358728183,0.9959183673469387,244,1.0,244,0.9959349593495935,245
5212,凌網,False,2021_COVERAGE|2022_COVERAGE|TURNOVER,636,0.8653061224489796,4,48.475,1394550.0,3.24076585874495,3.4119919167114294,0.9918367346938776,243,0.7991803278688525,195,0.8048780487804879,198
5213,亞昕,False,TURNOVER,735,1.0,0,21.55,4320800.0,1.701622137867618,1.7759368836291787,1.0,245,1.0,244,1.0,246
5215,科嘉-KY,False,TURNOVER,735,1.0,0,74.2,30604220.0,3.4488592358384174,3.5804697132402676,1.0,245,1.0,244,1.0,246
5220,萬達光電,False,TURNOVER,735,1.0,0,36.2,2648300.0,2.118525888109037,2.5856723921240095,1.0,245,1.0,244,1.0,246
5222,全訊,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|TURNOVER|LONG_MISSING_RUN,295,0.4013605442176871,440,142.0,59992040.5,4.314547382234248,3.019526001315075,0.0,0,0.20081967213114754,49,1.0,246
5223,安力-KY,False,TURNOVER,735,1.0,0,51.4,4405500.0,2.868544406200512,3.7636138613861414,1.0,245,1.0,244,1.0,246
5225,東科-KY,False,TURNOVER,734,0.998639455782313,1,24.174999999999997,3511999.0999999996,3.2728640527418515,3.300546448087428,1.0,245,0.9959016393442623,243,1.0,246
5227,立凱-KY,False,TURNOVER,714,0.9714285714285714,7,24.15,26443300.0,5.2112057340870175,6.09751773049646,0.9714285714285714,238,0.9426229508196722,230,1.0,246
5228,鈺鎧,False,2020_COVERAGE|2020_SESSIONS|2021_COVERAGE|2021_SESSIONS|2022_COVERAGE|2022_SESSIONS|TURNOVER|LONG_MISSING_RUN,158,0.21496598639455783,577,21.7,1719550.0,3.1944621302270324,2.727511533599294,0.0,0,0.0,0,0.6422764227642277,158
