stock_id,stock_name,discovery_cluster,cluster_descriptive_label,discovery_quality_score,discovery_rank_within_cluster,discovery_beta_0050,discovery_corr_0050,discovery_downside_capture,discovery_ATR14,discovery_ER20,discovery_idiosyncratic_vol,discovery_P95_gap,discovery_turnover,discovery_selected,2023_24_stability,2025_stability,final_status,current_industry_descriptive,industry_label_status
1101,台泥,0,LOW_ATR__LOW_REALIZED_VOL,0.6834848484848486,1,0.5089411311306985,0.48125733484578687,0.5329618866199739,1.3532183295360838,0.23854893535382662,19.896629406412377,1.527793461395292,693768814.5,True,CORE_STABLE,CORE_STABLE,CORE_SPECIALIST,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1102,亞泥,0,LOW_ATR__LOW_REALIZED_VOL,0.5383333333333333,16,0.43539394756418714,0.4591976169896806,0.4180794993821486,1.5311355692398059,0.2408031626541618,18.09030803026726,1.4803874780663817,290531750.40000004,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1216,統一,6,LOW_BETA__LOW_UPSIDE_CAPTURE,0.5453535353535354,2,0.36249290818283436,0.42840227500023126,0.4173920482916256,1.4589115040515575,0.14626435174237742,16.41029313186927,1.4319999999999948,516945541.2,True,CORE_STABLE,CORE_STABLE,CORE_SPECIALIST,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1301,台塑,0,LOW_ATR__LOW_REALIZED_VOL,0.5785858585858585,7,0.5800242576417203,0.49275001776372745,0.5522773276527869,1.8314524812819593,0.19011454337932956,21.984781388154985,1.5551465509839129,720332159.0,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1303,南亞,0,LOW_ATR__LOW_REALIZED_VOL,0.5636363636363637,12,0.7240906046618527,0.641092362735198,0.6747990186071342,1.8333288452644436,0.19656746590625904,18.59084271627607,1.7058391863291908,523178775.0,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1326,台化,0,LOW_ATR__LOW_REALIZED_VOL,0.5137373737373738,18,0.6502339680445045,0.6284087419910263,0.6760785058803735,1.6199620496078586,0.16285397265544801,17.275871788232557,1.7589020499468218,357781007.7,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1402,遠東新,6,LOW_BETA__LOW_UPSIDE_CAPTURE,0.4971717171717172,5,0.4602146803580901,0.41134319304457806,0.4776334503146336,1.7525467290954957,0.18453390849345563,21.887775985697665,1.6192283364958884,221359537.1,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1476,儒鴻,7,LOW_TREND_EFFICIENCY__LOW_AUTOCORRELATION,0.6165151515151516,9,0.8285597176458077,0.4606006971175032,0.7505141457729437,3.299246842547416,0.21289923046411402,34.27032688299392,2.869342535021758,400695406.0,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1477,聚陽,5,LOW_MARKET_CORRELATION__HIGH_AUTOCORRELATION,0.65,2,0.6923404410857177,0.40591298958526023,0.654354885407559,3.2794127230348065,0.23904368645238208,33.457160641042684,2.541382667964944,350590185.0,True,CORE_STABLE,CORE_STABLE,CORE_SPECIALIST,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1513,中興電,5,LOW_MARKET_CORRELATION__HIGH_AUTOCORRELATION,0.4863636363636364,13,0.5532110949737075,0.3031061850892244,0.440973013107837,3.3042886924445063,0.24589178833031197,37.33080640796639,2.270692024648654,295780699.2,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1590,亞德客-KY,4,HIGH_REALIZED_VOL__HIGH_ATR,0.6728282828282829,3,1.0544064385035787,0.4638691014391174,0.8100534674165961,4.077055309162678,0.2050139054891296,43.22124029207697,3.574231766012586,625138705.0,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1605,華新,5,LOW_MARKET_CORRELATION__HIGH_AUTOCORRELATION,0.44333333333333336,17,0.8260577418440015,0.3957994920876933,0.6360431795420011,3.3778966413616414,0.22088408042971372,41.13725554977124,3.150432654708747,357076297.35,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
1760,寶齡富錦,2,LOW_MARKET_CORRELATION__LOW_DOWNSIDE_CAPTURE,0.30727272727272725,7,0.47537692258486863,0.16273724207776252,0.03887256143801859,4.95764625839802,0.217350192922267,61.966135119286015,3.947383532852744,261710410.5,False,,,NOT_SELECTED,,UNAVAILABLE_NO_RELIABLE_REPOSITORY_SOURCE
