period,start_date,end_date,stock_id,stock_name,sessions,market_sessions,coverage,longest_missing_run_sessions,discontinuity_count,median_close,median_daily_turnover_proxy,p25_daily_turnover_proxy,median_abs_return_pct,p90_abs_return_pct,abs_return_ge_5pct_rate,worst_single_day_return_pct,median_atr14_pct,p75_atr14_pct,median_realized_vol20_annualized_pct,median_efficiency20,lag1_daily_return_autocorrelation,beta_0050,correlation_0050,upside_capture,downside_capture,idiosyncratic_volatility_annualized_pct,median_abs_overnight_gap_pct,p95_abs_overnight_gap_pct,maximum_close_drawdown_pct,market_aligned_return_sessions,forward_evaluable_events,median_mfe10_pct,median_mae10_pct,median_day10_close_return_pct,plus_8pct_within_10d_close_hit_rate,minus_5pct_within_10d_close_hit_rate
2020,20200101,20201231,1101,台泥,245,245,1.0,0,0,42.75,618481129.2,491238990.20000005,0.586166471277838,1.724137931034475,0.02040816326530612,-11.827956989247312,1.2845122888940046,1.6894676206536539,14.409136164336875,0.18806629325541846,-0.05902074739493704,0.7621079253634407,0.7011837016384173,0.5967923845584174,0.7020273360177257,18.041594326097552,0.24630541871921707,1.8407543467075045,-25.250278086763068,245,245,1.536643026004736,-1.104294478527612,0.24691358024691024,0.0163265306122449,0.13877551020408163
2021,20210101,20211231,1101,台泥,244,244,1.0,0,0,48.45,820815512.175,592039047.8000001,0.5758178603006203,1.9288154831536133,0.012295081967213115,-6.849315068493156,1.318127764612792,1.8103432655312623,14.156054322448849,0.28159092176145556,0.03655733320614988,0.35966954928162875,0.30809779295431333,0.35930647132754423,0.331450555760748,20.244973479718638,0.19417475728155664,1.1699279093717865,-17.414721723518856,244,244,1.5655577299412915,-1.065060568939702,0.4818515166283843,0.06147540983606557,0.12704918032786885
2022,20220101,20221231,1101,台泥,246,246,1.0,0,0,39.875,705433764.35,509593726.68750006,0.641653766344974,1.9560019129603146,0.008130081300813009,-8.533653846153854,1.4245767399526865,1.8635291907617078,16.705145326049802,0.23613412159532335,0.036931585475557006,0.33026545688208075,0.34924706187360327,0.35486526974154997,0.5288656770272089,19.82462943021012,0.3277063064223984,1.2658227848101333,-40.4382470119522,246,246,1.2228818938799901,-1.6016516632043287,0.11331952011868207,0.036585365853658534,0.25203252032520324
2023,20230101,20231231,1101,台泥,239,239,1.0,0,0,36.55,645692134.5,493410960.34999996,0.5917159763313529,1.7740365901128998,0.0,-3.4482758620689724,1.375060219956901,1.6175333827856055,16.13789399877662,0.21046910372230304,-0.03617478309995703,0.4494909054630664,0.3578225195718404,0.4144504375633357,0.43948673258955695,16.157088938621072,0.2666666666666706,1.0264153462702483,-21.177944862155385,239,239,1.4473684210526194,-1.5047879616962967,-0.14534883720929148,0.012552301255230125,0.09623430962343096
2024,20240101,20241231,1101,台泥,242,242,1.0,0,0,32.7,465997561.0,304130201.6,0.5793271247587828,1.6390562965924973,0.0,-3.498542274052463,1.3866044555255888,1.5765944458392693,14.347101995912977,0.170749148736348,-0.009055501495942142,0.20903373432350514,0.3457606894196501,0.12329850624401648,0.25580318812754643,14.341363220784705,0.15835560927415226,1.1782727007085925,-10.951008645533156,242,242,1.1223494620273056,-1.6897081413210335,-0.5948037589828703,0.0,0.0743801652892562
2025,20250101,20251231,1101,台泥,242,243,0.9958847736625515,1,0,24.85,511140339.375,380022097.125,0.8620689655172376,2.549019607843128,0.02074688796680498,-8.024691358024683,2.090537712280143,2.4327597693430922,24.489576190904256,0.29789298021978505,-0.061412574717539394,0.45237397787603845,0.427556009527786,0.21637812785581903,0.425690403813644,24.075207671942774,0.31746031746031633,1.3565891472868241,-34.75177304964539,235,222,1.1111111111111072,-3.209000302023557,-1.6725505959663045,0.07657657657657657,0.3063063063063063
2020,20200101,20201231,3661,世芯-KY,245,245,1.0,0,0,474.0,2431908486.0,1473343200.0,2.752293577981657,8.654931340639024,0.22857142857142856,-9.999999999999998,5.9259861294651985,6.994817267583174,65.3614795152492,0.21575204817076388,0.08443926509616463,1.4725791694066626,0.48921779460322384,1.8705566539253493,1.190895801921951,61.12035891787508,1.0683760683760646,4.600322866218816,-43.64326375711575,245,245,10.06006006006006,-3.899082568807344,5.254777070063699,0.5795918367346938,0.43673469387755104
2021,20210101,20211231,3661,世芯-KY,244,244,1.0,0,0,810.5,2154188917.0,1444301222.0,2.6209050913432397,9.769764216366154,0.2581967213114754,-9.999999999999998,5.944480565463636,6.709743218157881,64.68611854718172,0.2625934474943179,0.06530360353796126,1.4169248973407627,0.34870713343150334,1.5821896592655358,1.1212867876511208,69.42128562080069,1.1713644300324233,4.849105158498067,-62.67967145790554,244,244,7.327473876987112,-5.305887060706633,3.4465046010163425,0.4713114754098361,0.5245901639344263
2022,20220101,20221231,3661,世芯-KY,246,246,1.0,0,0,877.0,3848407215.0,2726270085.0,2.777920681548096,6.994986759131444,0.23577235772357724,-9.999999999999998,5.846224476316977,6.547164243423509,63.47817059576861,0.196953781207995,0.05694065710613025,1.2586698761259578,0.425204230741252,1.336605948318545,1.0576201437231967,59.94189543294423,1.189670651399971,4.364868671983357,-53.93442622950819,246,246,5.601068134002274,-7.8371988610853816,-1.1851615646258529,0.36585365853658536,0.6178861788617886
2023,20230101,20231231,3661,世芯-KY,239,239,1.0,0,0,1865.0,5644063525.0,4448629306.0,2.333722287047846,5.91926510544702,0.16736401673640167,-9.903381642512077,5.084177374037376,5.598721504486835,56.23427578523616,0.20595910096704484,-0.022565942729663682,1.1491174063857965,0.2791944106854954,2.2643459342533956,0.7605482591609397,54.43721132114789,1.200000000000001,3.900882200311355,-18.609865470852014,239,239,8.415841584158423,-3.2786885245901676,4.725897920604916,0.5313807531380753,0.33472803347280333
