stock_id,stock_name,period,coverage,sessions,median_daily_turnover_proxy,turnover_retention,atr_retention,median_abs_return_retention,p95_gap_multiple,beta_absolute_change,correlation_0050,median_efficiency20,downside_capture,coverage_normal,sessions_normal,liquidity_normal,atr_retention_core,abs_return_retention_core,gap_multiple_core,beta_change_core,coverage_tradable,sessions_tradable,liquidity_tradable,missing_run_tradable,gap_tradable,severe_tradability_pass,core_behavior_pass,period_stability
1101,台泥,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,547041068.5999999,0.7885062821600781,1.0220603873035978,0.9839416058394105,0.7070634486114974,0.24624441081596937,0.3282972558406825,0.1898355335406766,0.32514859929098416,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
1101,台泥,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.9958847736625515,242,511140339.375,0.7367588866665612,1.5448635794024683,1.4525862068965223,0.8879401447679246,0.05656715325466005,0.427556009527786,0.29789298021978505,0.425690403813644,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
3661,世芯-KY,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,6124415920.0,2.211220853004786,0.8412411181956747,0.8221456575977236,0.8284407697992127,0.5451471171417935,0.29524445982202957,0.21041913156805364,0.8128286395265647,True,True,True,True,True,True,False,True,True,True,True,True,True,False,REGIME_SHIFT_TRADABLE
3661,世芯-KY,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,7005271630.0,2.5292538768690984,0.7918447044072094,0.8107426099495334,0.91459872209797,0.1524228318871257,0.52217773552224,0.24611447713351708,1.6767948693105938,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
9958,世紀鋼,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,1000957904.0,2.925168919317289,1.274978288967423,1.3394495412843903,0.9835051546391761,0.02732198466985708,0.19258849125593686,0.24728987891545437,0.35582532143313716,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
9958,世紀鋼,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,371270673.0,1.0849901169406349,1.0074363039179792,0.9124999999999931,1.0145089181400417,0.4004039303749449,0.45697327263196275,0.2526304832537006,0.7496597744823619,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2379,瑞昱,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,1195884990.0,1.029697723871496,0.8326781563477543,0.850903614457834,0.7997172771462714,0.4480579648151155,0.4343391891474644,0.1696204819060278,0.5694840104790269,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2379,瑞昱,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,1118477160.0,0.9630469447185344,0.6973787912186526,0.6563661710037156,0.7518709006391961,0.4886959445896645,0.535774479685687,0.15644341801866765,0.6583175331763158,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2345,智邦,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,1473785236.0,1.8784349565131038,0.982014436955904,1.025286757038575,1.1100515991018047,0.10626097581598515,0.40041395045922684,0.1881405488033689,0.7691504744883277,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2345,智邦,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,4000777920.0,5.099251176223471,1.0910711002255666,1.2485714285714251,1.5774840227570255,0.3367099402760477,0.6098952428058182,0.17414188316668283,1.452125551744585,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2376,技嘉,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,3192716582.5,4.431466939947898,1.009927355594761,1.0276386077372919,1.1078774329890286,0.08070945953890374,0.38775830635840214,0.2247693281212121,0.9237441395546128,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2376,技嘉,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,953276480.0,1.3231406849279592,0.7470693677282819,0.8557288034689707,0.9678611976870619,0.249326429132948,0.6889250910939152,0.17772982278389132,1.0987584317427928,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2324,仁寶,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,662155380.4,2.2400585298873787,1.607739388901192,1.5472312703583184,1.7751127913586238,0.15367873534297694,0.3345203232466182,0.20284069988994097,0.5001964744980545,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2324,仁寶,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,644537536.5,2.180457713108424,1.624318290999394,1.7241379310345046,1.8588067111942959,0.46474312582768773,0.5188040125400161,0.17233448334761173,0.7861868463338474,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2308,台達電,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,2470203445.0,1.6208055992045642,0.8667811754698033,0.8919463087248316,1.0712054069279384,0.06530674236329503,0.6307009113272739,0.17316084414869862,0.885898478963854,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2308,台達電,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,5264669640.0,3.454373787610954,1.2403538150999351,1.1047381546134611,1.6466534364288732,0.4160584815959726,0.7184200764403703,0.30369462270857495,1.1808805211735383,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2454,聯發科,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,5814215050.0,1.1142990185315604,0.9013885271882127,0.8819875776397544,0.8718455833412538,0.1860316971284668,0.6138776313457377,0.255656878912239,1.1173803065059842,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2454,聯發科,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,9159885940.0,1.7554995515349985,0.8684503242996964,0.9692832764505119,0.7335477609304694,0.36153762867036743,0.6268193874715557,0.1501202886558845,1.003713524451731,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
8046,南電,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,790449082.5,0.3150233948214068,0.5953285933747595,0.5961038961038967,0.6190887048095218,0.5395106018055009,0.437214353192195,0.2153910280700117,0.9900457222762025,True,True,False,False,False,True,False,True,True,True,True,True,True,False,REGIME_SHIFT_TRADABLE
8046,南電,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,1074152152.5,0.42808963300336483,0.968496814797054,0.9521923620933518,1.0674334791031217,0.08020705319244237,0.5565854274663925,0.21529720971666805,1.2376545194218234,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
3017,奇鋐,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,4396952785.5,6.611038556919467,1.2113656270338993,1.271280827366751,1.4194954988747248,0.18027778454744448,0.38176620684340995,0.20059224579114884,0.8090469058389907,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
3017,奇鋐,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,5865069834.0,8.818426010728711,1.080597567796109,1.32504145936982,1.6901402397260978,0.5806838447121098,0.6628841223798742,0.32119229963653984,1.4569016296264354,True,True,True,True,True,True,False,True,True,True,True,True,True,False,REGIME_SHIFT_TRADABLE
3653,健策,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,916285500.0,1.6857643256451476,0.9519915573911251,0.954301160204233,0.8419197396963142,0.2920177680828593,0.3716925755429179,0.1619665097623425,0.8453740582500271,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
3653,健策,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,2270031550.0,4.176360102914385,1.1459904358545099,1.2101572554343045,2.198238410699752,0.2731633263906337,0.5595525361096391,0.20899338575207,1.6058227076324427,True,True,True,True,True,False,True,True,True,True,True,True,True,False,REGIME_SHIFT_TRADABLE
2357,華碩,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,1507148948.0,1.9692764926164885,1.2942811450222222,1.2802557748059635,1.4558325767197178,0.06568854333640206,0.3464656885020385,0.19975366588925733,0.5438381656688773,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
2357,華碩,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,2084424222.0,2.723558030858283,1.177498889203873,1.2827921904073516,1.4436119836391854,0.3204215383051108,0.5325176190614972,0.2522023022289061,0.775990495988723,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
1477,聚陽,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,560761488.0,1.5994785706850294,0.8328361360764663,0.9283667621776445,0.7329203074054778,0.41549126524536517,0.1735514466975774,0.18365022565073388,0.20609594316552937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
1477,聚陽,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,416114671.5,1.1868976637209625,0.8583177857056086,0.9529411764705806,1.0820924316704827,0.11554778710148239,0.3504781704705534,0.24112947212847488,0.2678677489083797,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
1216,統一,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1.0,481,567898905.9,1.0985662137286658,1.0351933440546557,0.9806259314455943,0.9436811112788859,0.14153532637136979,0.26183329572282343,0.1964392343793528,0.14639013380576096,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
1216,統一,STRESS_PREVALENCE_SEEN_NOT_BLIND,1.0,243,700618641.8,1.3553045455690256,1.0815713552061013,1.0544871794871467,0.8016474746323161,0.10319912676600607,0.3096226562251581,0.19834593437146522,0.05845080082039848,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CORE_STABLE
