stock_id,stock_name,discovery_quality_score,liquidity_component,continuity_component,behavior_stability_component,tradable_volatility_component,gap_safety_component,trend_structure_quality_component,future_outcomes_used_for_universe_selection,industry_used_for_score_cluster_or_selection,discovery_quality_rank
2379,瑞昱,0.7895454545454546,0.8545454545454545,0.5666666666666667,1.0,0.7828282828282829,0.6,0.8515151515151516,False,False,1
2454,聯發科,0.7733333333333333,0.9878787878787879,0.5666666666666667,0.9575757575757575,0.6868686868686869,0.23636363636363633,0.9484848484848485,False,False,2
3661,世芯-KY,0.7460606060606061,0.9575757575757575,0.5666666666666667,0.9030303030303031,1.0,0.030303030303030276,0.5969696969696969,False,False,3
6488,環球晶,0.7312121212121212,0.9151515151515152,0.5666666666666667,0.7757575757575758,0.9191919191919192,0.23030303030303034,0.7303030303030302,False,False,4
3034,聯詠,0.7274242424242424,0.9393939393939394,0.5666666666666667,0.5212121212121212,0.8939393939393939,0.4484848484848485,0.9606060606060607,False,False,5
2308,台達電,0.7248989898989899,0.9090909090909091,0.5666666666666667,0.8848484848484849,0.4494949494949495,0.7272727272727273,0.6717171717171717,False,False,6
8046,南電,0.7203030303030303,0.9515151515151515,0.5666666666666667,0.6848484848484848,1.0,0.10909090909090913,0.7121212121212122,False,False,7
2330,台積電,0.7124242424242424,1.0,0.5666666666666667,0.9151515151515152,0.3535353535353536,0.5212121212121212,0.6090909090909091,False,False,8
3105,穩懋,0.7112626262626263,0.8424242424242424,0.5666666666666667,0.5696969696969697,0.9141414141414141,0.4181818181818182,0.9444444444444444,False,False,9
3017,奇鋐,0.7046969696969697,0.6727272727272727,0.5666666666666667,0.8424242424242424,0.9646464646464648,0.5636363636363637,0.5363636363636364,False,False,10
2345,智邦,0.7025252525252526,0.7454545454545455,0.5666666666666667,0.793939393939394,1.0,0.5272727272727273,0.4131313131313131,False,False,11
3406,玉晶光,0.693030303030303,0.9272727272727272,0.5666666666666667,0.4424242424242424,1.0,0.24848484848484853,0.8454545454545455,False,False,12
3653,健策,0.6905050505050505,0.5696969696969697,0.5666666666666667,0.8787878787878788,1.0,0.6242424242424243,0.46565656565656566,False,False,13
3529,力旺,0.6836363636363636,0.8363636363636363,0.5666666666666667,0.6181818181818182,1.0,0.07878787878787874,0.796969696969697,False,False,14
1101,台泥,0.6834848484848486,0.6909090909090909,0.5666666666666667,0.9636363636363636,0.08585858585858587,0.9272727272727272,0.990909090909091,False,False,15
6669,緯穎,0.6811111111111111,0.703030303030303,0.5666666666666667,0.8666666666666667,1.0,0.38181818181818183,0.30505050505050507,False,False,16
2377,微星,0.6764646464646464,0.6121212121212121,0.5666666666666667,0.8242424242424242,0.6767676767676768,0.6727272727272727,0.7646464646464647,False,False,17
2357,華碩,0.6758080808080809,0.7333333333333333,0.5666666666666667,0.806060606060606,0.3282828282828283,0.8424242424242424,0.8444444444444446,False,False,18
3008,大立光,0.6753787878787879,0.9212121212121213,0.5666666666666667,0.696969696969697,0.5227272727272728,0.6181818181818182,0.5212121212121212,False,False,19
1590,亞德客-KY,0.6728282828282829,0.6484848484848484,0.5666666666666667,0.8484848484848485,1.0,0.21212121212121215,0.5646464646464646,False,False,20
2376,技嘉,0.668939393939394,0.7151515151515152,0.5666666666666667,0.6909090909090909,0.9848484848484849,0.36363636363636365,0.5454545454545454,False,False,21
3443,創意,0.6674747474747474,0.8484848484848485,0.5666666666666667,0.406060606060606,1.0,0.2848484848484848,0.8232323232323233,False,False,22
5871,中租-KY,0.6595454545454545,0.6666666666666666,0.5666666666666667,0.7636363636363637,0.5,0.6848484848484848,0.8333333333333334,False,False,23
3533,嘉澤,0.658888888888889,0.46060606060606063,0.5666666666666667,0.9696969696969697,1.0,0.6121212121212121,0.25252525252525254,False,False,24
2383,台光電,0.6551010101010101,0.509090909090909,0.5666666666666667,0.9454545454545454,0.8535353535353536,0.5818181818181818,0.3919191919191919,False,False,25
2049,上銀,0.6550505050505051,0.5575757575757576,0.5666666666666667,0.7878787878787878,0.6060606060606062,0.6363636363636364,0.9020202020202019,False,False,26
3037,欣興,0.654949494949495,0.9757575757575757,0.10303030303030303,0.7151515151515151,1.0,0.1515151515151515,0.8222222222222223,False,False,27
2317,鴻海,0.6524242424242425,0.9636363636363636,0.5666666666666667,0.6666666666666667,0.3232323232323232,0.8,0.36363636363636365,False,False,28
