period,setup,signals,evaluable_signals,outcome_observation_rate,active_signal_dates,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate,concentration_effective_signal_dates,effective_signal_dates,plus8_before_minus5_rate,mfe,mae,average_trade_mfe_abs_mae_ratio,aggregate_mfe_abs_mae_ratio,mfe_abs_mae,top1_removed_average_gross_return,top1_removed_pf,top1_removed_average_net_return,top1_removed_net_pf,top5_removed_average_gross_return,top5_removed_pf,top5_removed_average_net_return,top5_removed_net_pf,tail_dependent,TAIL_DEPENDENT,net_tail_dependent,remove_max_date_pf,remove_max_date_average_gross_return,signal_date_net_ci_low,signal_date_net_ci_high,month_net_ci_low,month_net_ci_high,signal_date_gross_ci_low,signal_date_gross_ci_high,month_gross_ci_low,month_gross_ci_high,signal_date_clusters,month_clusters
HISTORICAL_DISCOVERY,V_REVERSAL,3243,3230,0.9959913660191181,472,0.21671826625386997,-0.0037235451486089116,-0.009488656097273765,-0.020624696159455558,-0.026306697126849354,0.4346749226006192,0.41919504643962846,0.8901957635032001,0.743681181713575,0.027022432653519845,0.050830092949444086,-0.04110650892970606,-0.06163732818962907,4.293807912356489,0.1588235294117647,0.07801857585139318,94.48516292483095,94.48516292483095,0.21671826625386997,0.050830092949444086,-0.06163732818962907,4.293807912356489,0.8246641190069725,0.8246641190069725,-0.0045875743317242874,0.8653445171789073,-0.010347703014708165,0.7217736897766999,-0.007428348252944857,0.7857593723775275,-0.013171912419484254,0.6520060259882552,False,False,False,1.0081305853722091,0.0002550893899867489,-0.020862521761906318,0.0012692027914108141,-0.017515816585205186,-0.001344065622822247,-0.015251161750372149,0.007255590117900618,-0.011592855461004949,0.0045139823543687745,471,36
HISTORICAL_DISCOVERY,N_RETEST,915,912,0.9967213114754099,321,0.25109649122807015,0.0012790099574689934,-0.004514460414313009,-0.016883240252209608,-0.022580203610412054,0.4440789473684211,0.42653508771929827,1.0410544315210641,0.8681072502747401,0.03052809669994083,0.054155457049706375,-0.032322581258712124,-0.054254219418566466,4.780652039831233,0.18311403508771928,0.08114035087719298,138.95850622406724,138.95850622406724,0.25109649122807015,0.054155457049706375,-0.054254219418566466,4.780652039831233,0.9981796370877969,0.9981796370877969,0.0003589740041647463,1.011459391721861,-0.005429181389832964,0.8422527220556303,-0.0022774845732028573,0.9285792466456153,-0.00805023634553053,0.7702229920037178,False,False,False,0.9608350159925256,-0.001253242202037969,-0.013071364798459028,0.004094331672089932,-0.01646688506799432,0.007102240807524047,-0.007386555809124682,0.009703469241486714,-0.010957060481864022,0.01238185980785523,321,36
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,121,120,0.9917355371900827,80,0.2833333333333333,0.0018931800673161866,-0.0039041511531315047,-0.015945691932534034,-0.021643480556373218,0.43333333333333335,0.4166666666666667,1.0599126389693456,0.8875181595331613,0.03479093247459131,0.06262472725236438,-0.026885485671343842,-0.05034808745898441,5.503881145213215,0.20833333333333334,0.08333333333333333,47.38187702265394,47.38187702265394,0.2833333333333333,0.06262472725236438,-0.05034808745898441,5.503881145213215,1.2438352758360687,1.2438352758360687,0.0006185729370295289,1.0194125754569423,-0.0051711863529747,0.8522553735493138,-0.0017740612739836838,0.9452606346901012,-0.0075499210942692975,0.7879184841762302,False,False,False,0.8513950343975106,-0.005076507857107632,-0.022775080948662513,0.015265686670813971,-0.026021464983680822,0.018116083004732116,-0.01744441367918844,0.0214951420743733,-0.020462992769265897,0.02409132570224362,80,30
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,3828,3816,0.9968652037617555,733,0.29350104821802936,-0.007845782429552113,-0.013586653096547614,-0.05338942058528834,-0.05886579367301095,0.3742138364779874,0.3663522012578616,0.8173188188283771,0.7067964450960461,0.044061958015332726,0.08005623515263179,-0.04982272918202028,-0.07525862070516376,4.602912889068128,0.24449685534591195,0.1619496855345912,649.8263414634154,649.8263414634154,0.29350104821802936,0.08005623515263179,-0.07525862070516376,4.602912889068128,1.0637483706519597,1.0637483706519597,-0.008603815392444689,0.8004562464386213,-0.01434034708274009,0.6917479943310895,-0.011356851781495302,0.7405563878425429,-0.01707736285186093,0.6384194800555129,False,False,False,0.8172694320810001,-0.007841599466625274,-0.017143338652819407,-0.01004830465793711,-0.020301909521302144,-0.006532243235293194,-0.011560528592305627,-0.004332756443812243,-0.01469049173103265,-0.001036664217732195,733,36
HISTORICAL_DISCOVERY,TREND_PULLBACK,5868,5849,0.9967620995228357,655,0.22037955206018123,-0.00433394748536567,-0.01009530167203281,-0.024691358024691357,-0.030365244859546992,0.3966489998290306,0.37596170285518893,0.8701764855602327,0.7251243952100949,0.030018450042036692,0.05445085994137107,-0.03562551606605039,-0.05603061077486316,4.584423333225657,0.17096939647803044,0.09796546418191143,320.0489273896703,320.0489273896703,0.22037955206018123,0.05445085994137107,-0.05603061077486316,4.584423333225657,0.9718055753516646,0.9718055753516646,-0.005103796404624201,0.8477429654302481,-0.0108607153724448,0.7054970582405519,-0.007778062398904172,0.7716287335154125,-0.013519423208478107,0.639192646328444,False,False,False,0.8643641657471604,-0.004552838307695374,-0.013505752844382128,-0.006633188038854908,-0.017732984184311584,-0.0025713223871580444,-0.00781473337587002,-0.0008209493810937575,-0.012084094236697904,0.0032751005088631586,655,36
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,661,661,1.0,292,0.11497730711043873,0.00043560945841194566,-0.005354883330246625,-0.002450980392156743,-0.008243682234484951,0.4629349470499244,0.4145234493192133,1.0214763744833386,0.7711249921419212,0.015646527354887765,0.030429526870038446,-0.021397512359622207,-0.03157910217840092,4.522314157735001,0.07715582450832073,0.03177004538577912,174.83833533413366,174.83833533413366,0.11497730711043873,0.030429526870038446,-0.03157910217840092,4.522314157735001,0.9635969603610598,0.9635969603610598,-0.0005306424570236778,0.9739966337837791,-0.006315470483640828,0.7317016641204475,-0.002982456432431557,0.8565184596242381,-0.008752989281730662,0.6349410410516683,True,True,False,0.9954801188695228,-9.285678728489901e-05,-0.010419148605173727,-0.00046316015860120834,-0.01329783250944478,0.0018570518050601273,-0.004824739011496756,0.005576524041124666,-0.007466718599595325,0.007669766704496584,292,34
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,2079,2073,0.9971139971139971,328,0.19922817173178967,-0.004167228667991036,-0.009930011995960584,-0.015963511972634015,-0.021662299367057474,0.43174143753014954,0.4081041968162084,0.87023967009977,0.7184605698670783,0.02631552969466441,0.047893829819135154,-0.033819047797145285,-0.0494382061409429,4.607686781528579,0.14423540762180415,0.06898215147129763,65.29755412203716,65.29755412203716,0.19922817173178967,0.047893829819135154,-0.0494382061409429,4.607686781528579,0.9687614814055975,0.9687614814055975,-0.004955172005943815,0.8463743497102498,-0.01071338070523484,0.6975689460248559,-0.007675688750319834,0.766180561520859,-0.01341790973472332,0.6278286236143429,False,False,False,0.7422376099933126,-0.008868248696759973,-0.023683291783789587,0.0024159521647243876,-0.01628807344429094,-0.004135495659947856,-0.01798359904708997,0.008216983337773173,-0.009976999963937033,0.0015995048163793487,327,24
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,598,597,0.9983277591973244,254,0.24120603015075376,0.00359146443416149,-0.002215734921938845,-0.011299435028248594,-0.01704187890647525,0.4304857621440536,0.4187604690117253,1.1277400095770693,0.9291480377289728,0.029218290586496998,0.05376767797501925,-0.0291581183352526,-0.04765552474570872,4.48564023608957,0.17252931323283083,0.07872696817420435,163.4387568555754,163.4387568555754,0.24120603015075376,0.05376767797501925,-0.04765552474570872,4.48564023608957,1.128256970454636,1.128256970454636,0.0026911021454318223,1.0952352378284327,-0.0031108894777349357,0.9010238000000658,-2.770713370491083e-05,0.9990359812280964,-0.005813920224981145,0.8181381249761119,False,False,False,1.1157309585356716,0.0032364890388945056,-0.00876186128409835,0.004348498041337482,-0.010961237755331085,0.006484105805328579,-0.002813206903238295,0.0099076813424161,-0.005595847045109363,0.012856618626888451,253,24
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,79,79,1.0,65,0.4810126582278481,0.028133743570628655,0.02218325695218491,0.053097345132743445,0.04700370232743198,0.5316455696202531,0.5316455696202531,2.2355634005164613,1.8751220632935464,0.04923840175882789,0.07603230171433982,-0.021205901419855414,-0.042796587247895417,5.279852421987011,0.2911392405063291,0.12658227848101267,56.22522522522518,56.22522522522518,0.4810126582278481,0.07603230171433982,-0.042796587247895417,5.279852421987011,1.776597308423905,1.776597308423905,0.026196416141805078,2.1359177939905107,0.020257170135918406,1.7890229046780692,0.023135705637627672,1.9774774823629218,0.017214432268897212,1.653314848307759,False,False,False,2.1050447899605165,0.02581451760497476,0.004237986987500652,0.038591159732369845,0.002563959648707452,0.040046949830417566,0.010504655126481903,0.044330780665493556,0.008354368454677352,0.046208161368381184,65,22
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,2543,2536,0.9972473456547385,481,0.31742902208201895,-0.0015431124872742796,-0.007320711109426019,-0.05119090586490421,-0.05667660843810449,0.3939274447949527,0.38761829652996843,0.9609531325353207,0.829003998946706,0.04391996163363155,0.07941530818655636,-0.04568765305083485,-0.0684618894624983,5.356827007988792,0.2606466876971609,0.17271293375394323,428.6940006629096,428.6940006629096,0.31742902208201895,0.07941530818655636,-0.0684618894624983,5.356827007988792,1.1599929363629098,1.1599929363629098,-0.002277748484160246,0.942591199087855,-0.008051130543371601,0.8126845282184405,-0.005093604499120804,0.8736527748947293,-0.010850587834029384,0.751550671693527,False,False,False,0.9569880134235836,-0.0017037984134071753,-0.011423241505018465,-0.0030261515802415006,-0.011417495055996587,-0.003057975633368777,-0.005680129453213032,0.0026475208243837097,-0.00559548232758874,0.0026130542376030423,481,24
