period,setup,entry_gap_bucket,sample_size,success_rate,gross_average_return,gross_profit_factor,average_mfe_10d,average_mae_10d
HISTORICAL_DISCOVERY,V_REVERSAL,< -1%,563,0.30550621669627,0.010112539176424143,1.3472379369429248,0.06957254125041151,-0.054575939967404966
HISTORICAL_DISCOVERY,V_REVERSAL,-1% to 0%,661,0.22995461422087746,-0.0009478136597717151,0.9711137258832493,0.0526794138834572,-0.05882518264511619
HISTORICAL_DISCOVERY,V_REVERSAL,0% to 1%,1246,0.17014446227929375,-0.008297670194146647,0.7589385584085743,0.041475972013062114,-0.06260138956274755
HISTORICAL_DISCOVERY,V_REVERSAL,1% to 2%,492,0.18902439024390244,-0.011276126693010822,0.6986376661081237,0.042893118769843516,-0.06819361745362659
HISTORICAL_DISCOVERY,V_REVERSAL,2% to 3%,165,0.24242424242424243,-0.007568653456901343,0.8024500826003259,0.05832132896663318,-0.07106973054337895
HISTORICAL_DISCOVERY,V_REVERSAL,>= 3%,103,0.30097087378640774,0.00040459862167274707,1.0108891813248233,0.07558516585654973,-0.060191974761221706
HISTORICAL_DISCOVERY,N_RETEST,< -1%,132,0.3181818181818182,0.007924256414448121,1.2522396332776613,0.063819382040867,-0.05201598382720417
HISTORICAL_DISCOVERY,N_RETEST,-1% to 0%,184,0.27717391304347827,0.0023011883635056583,1.0735105463398806,0.05527981661645049,-0.054043215473456925
HISTORICAL_DISCOVERY,N_RETEST,0% to 1%,388,0.23711340206185566,0.001983341503304474,1.067212172672026,0.05073336453723076,-0.05021110751275254
HISTORICAL_DISCOVERY,N_RETEST,1% to 2%,142,0.176056338028169,-0.0074978224842995045,0.773468517954211,0.05005971453148511,-0.05899450976518348
HISTORICAL_DISCOVERY,N_RETEST,2% to 3%,45,0.26666666666666666,0.00334388006553385,1.1080380128627154,0.05976541853189489,-0.05327823697067353
HISTORICAL_DISCOVERY,N_RETEST,>= 3%,21,0.3333333333333333,-0.007537320849576209,0.8357199734945149,0.062460162126628124,-0.11491123010196402
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,< -1%,18,0.3888888888888889,0.005462502896571285,1.1485446426225792,0.08170755526287013,-0.06175364617445029
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,-1% to 0%,28,0.2857142857142857,0.0025383486239531072,1.0854728343186613,0.07495702423251441,-0.04002956284474805
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,0% to 1%,51,0.2549019607843137,0.0005498457873152041,1.0178719463840953,0.045005460101224165,-0.053683071484614535
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,1% to 2%,17,0.23529411764705882,0.003969658425166049,1.13663279825577,0.054807131303271625,-0.04964663066228218
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,2% to 3%,6,0.3333333333333333,-0.0062905889853209955,0.8396991353122254,0.11973914995393514,-0.037924622885156654
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,>= 3%,0,,,,,
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,< -1%,706,0.29178470254957506,-0.008519706446157465,0.803362990781117,0.07173225433650292,-0.08122971431346056
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,-1% to 0%,562,0.31316725978647686,-0.0011146837883424358,0.9711956380396151,0.0800791431077721,-0.06556062119222214
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,0% to 1%,1095,0.26301369863013696,-0.012350841812816402,0.713967611602437,0.066731861985073,-0.073058016085496
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,1% to 2%,657,0.2861491628614916,-0.0066649359614086795,0.8381409546302735,0.08304498925707154,-0.07115289618598047
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,2% to 3%,349,0.29512893982808025,-0.006510717708329345,0.8520596092370822,0.09489671584428745,-0.0810398212813629
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,>= 3%,447,0.35570469798657717,-0.00698627632941576,0.8571246034180133,0.10983499487493653,-0.08493237396100668
HISTORICAL_DISCOVERY,TREND_PULLBACK,< -1%,630,0.23015873015873015,-0.0053766040207996945,0.8449047529110589,0.05443992679296732,-0.06134046662896167
HISTORICAL_DISCOVERY,TREND_PULLBACK,-1% to 0%,1019,0.1678115799803729,-0.009482852638112743,0.7153806033813186,0.0426882756661843,-0.05544459387121812
HISTORICAL_DISCOVERY,TREND_PULLBACK,0% to 1%,2575,0.2054368932038835,-0.00251796161487101,0.9168439398801159,0.05014180369729814,-0.04967710563615251
HISTORICAL_DISCOVERY,TREND_PULLBACK,1% to 2%,890,0.24044943820224718,-0.005477869454256268,0.8483613983447036,0.056123743957977874,-0.060541243740769066
HISTORICAL_DISCOVERY,TREND_PULLBACK,2% to 3%,362,0.27624309392265195,-0.0031623559716285237,0.9161425009759877,0.0705559086808782,-0.0637164251422554
HISTORICAL_DISCOVERY,TREND_PULLBACK,>= 3%,373,0.3485254691689008,0.0005492127714405983,1.0130517400954167,0.09672937648270041,-0.07430270093105598
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,< -1%,59,0.1016949152542373,-0.0016842821939177775,0.923458222098322,0.026800884868980815,-0.03632999558604698
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,-1% to 0%,123,0.0975609756097561,0.00022704808378226548,1.0124118907783055,0.027305175528076858,-0.0299154762374164
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,0% to 1%,391,0.11764705882352941,0.002858718713016393,1.1544359769940538,0.03125232536905556,-0.027888449084609027
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,1% to 2%,62,0.14516129032258066,-0.0015952689422321516,0.9369697281530407,0.03848709091738133,-0.04121660948836878
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,2% to 3%,17,0.17647058823529413,-0.01787943720136343,0.523292131108393,0.04157024611085064,-0.052423065767211334
