period,setup,tail_case,removed_fraction_of_winners,removed_winners,remaining_evaluable,average_gross_return,median_gross_return,gross_profit_factor,average_net_return,median_net_return,net_profit_factor,tail_dependent,TAIL_DEPENDENT,net_tail_dependent
HISTORICAL_DISCOVERY,V_REVERSAL,ORIGINAL,0.0,0,3230,-0.0037235451486089116,-0.020624696159455558,0.8901957635032001,-0.009488656097273765,-0.026306697126849354,0.743681181713575,False,False,False
HISTORICAL_DISCOVERY,V_REVERSAL,REMOVE_TOP_1PCT_WINNERS,0.01,15,3215,-0.0045875743317242874,-0.021276595744680882,0.8653445171789073,-0.010347703014708165,-0.02695908004695579,0.7217736897766999,False,False,False
HISTORICAL_DISCOVERY,V_REVERSAL,REMOVE_TOP_5PCT_WINNERS,0.05,71,3159,-0.007428348252944857,-0.024615384615384595,0.7857593723775275,-0.013171912419484254,-0.03026073829650084,0.6520060259882552,False,False,False
HISTORICAL_DISCOVERY,N_RETEST,ORIGINAL,0.0,0,912,0.0012790099574689934,-0.016883240252209608,1.0410544315210641,-0.004514460414313009,-0.022580203610412054,0.8681072502747401,False,False,False
HISTORICAL_DISCOVERY,N_RETEST,REMOVE_TOP_1PCT_WINNERS,0.01,5,907,0.0003589740041647463,-0.017379679144384985,1.011459391721861,-0.005429181389832964,-0.02306863246344051,0.8422527220556303,False,False,False
HISTORICAL_DISCOVERY,N_RETEST,REMOVE_TOP_5PCT_WINNERS,0.05,21,891,-0.0022774845732028573,-0.020408163265306145,0.9285792466456153,-0.00805023634553053,-0.0260921447456998,0.7702229920037178,False,False,False
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,ORIGINAL,0.0,0,120,0.0018931800673161866,-0.015945691932534034,1.0599126389693456,-0.0039041511531315047,-0.021643480556373218,0.8875181595331613,False,False,False
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,REMOVE_TOP_1PCT_WINNERS,0.01,1,119,0.0006185729370295289,-0.016447368421052655,1.0194125754569423,-0.0051711863529747,-0.02214401024324252,0.8522553735493138,False,False,False
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,REMOVE_TOP_5PCT_WINNERS,0.05,3,117,-0.0017740612739836838,-0.01655629139072845,0.9452606346901012,-0.0075499210942692975,-0.02225461823550633,0.7879184841762302,False,False,False
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,ORIGINAL,0.0,0,3816,-0.007845782429552113,-0.05338942058528834,0.8173188188283771,-0.013586653096547614,-0.05886579367301095,0.7067964450960461,False,False,False
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,REMOVE_TOP_1PCT_WINNERS,0.01,15,3801,-0.008603815392444689,-0.053497942386831254,0.8004562464386213,-0.01434034708274009,-0.058975161078576484,0.6917479943310895,False,False,False
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,REMOVE_TOP_5PCT_WINNERS,0.05,72,3744,-0.011356851781495302,-0.05378151260504205,0.7405563878425429,-0.01707736285186093,-0.059249765374545266,0.6384194800555129,False,False,False
HISTORICAL_DISCOVERY,TREND_PULLBACK,ORIGINAL,0.0,0,5849,-0.00433394748536567,-0.024691358024691357,0.8701764855602327,-0.01009530167203281,-0.030365244859546992,0.7251243952100949,False,False,False
HISTORICAL_DISCOVERY,TREND_PULLBACK,REMOVE_TOP_1PCT_WINNERS,0.01,24,5825,-0.005103796404624201,-0.02529761904761907,0.8477429654302481,-0.0108607153724448,-0.03093669630181357,0.7054970582405519,False,False,False
HISTORICAL_DISCOVERY,TREND_PULLBACK,REMOVE_TOP_5PCT_WINNERS,0.05,116,5733,-0.007778062398904172,-0.028070175438596467,0.7716287335154125,-0.013519423208478107,-0.033704158835115544,0.639192646328444,False,False,False
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,ORIGINAL,0.0,0,661,0.00043560945841194566,-0.002450980392156743,1.0214763744833386,-0.005354883330246625,-0.008243682234484951,0.7711249921419212,False,False,False
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,REMOVE_TOP_1PCT_WINNERS,0.01,4,657,-0.0005306424570236778,-0.003436426116838587,0.9739966337837791,-0.006315470483640828,-0.009193834961569869,0.7317016641204475,True,True,False
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,REMOVE_TOP_5PCT_WINNERS,0.05,16,645,-0.002982456432431557,-0.004784688995215336,0.8565184596242381,-0.008752989281730662,-0.010546031999118244,0.6349410410516683,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,ORIGINAL,0.0,0,2073,-0.004167228667991036,-0.015963511972634015,0.87023967009977,-0.009930011995960584,-0.021662299367057474,0.7184605698670783,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,REMOVE_TOP_1PCT_WINNERS,0.01,9,2064,-0.004955172005943815,-0.016321067561628544,0.8463743497102498,-0.01071338070523484,-0.02202549541558603,0.6975689460248559,False,False,False
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,REMOVE_TOP_5PCT_WINNERS,0.05,45,2028,-0.007675688750319834,-0.01804993036834507,0.766180561520859,-0.01341790973472332,-0.023743166630519244,0.6278286236143429,False,False,False
