period,setup,metric,cluster_unit,seed,observations,clusters,bootstrap_reps,point_mean,mean_ci_low,mean_ci_high,point_profit_factor,profit_factor_ci_low,profit_factor_ci_high
HISTORICAL_DISCOVERY,V_REVERSAL,gross_return,signal_date,15778670553778913349,3230,471,5000,-0.0037235451486089116,-0.015251161750372149,0.007255590117900618,0.8901957635032001,0.6251807399287143,1.260117243331918
HISTORICAL_DISCOVERY,V_REVERSAL,gross_return,month,10168292470146429156,3230,36,5000,-0.0037235451486089116,-0.011592855461004949,0.0045139823543687745,0.8901957635032001,0.6947139681820795,1.1556236923437575
HISTORICAL_DISCOVERY,V_REVERSAL,net_return,signal_date,6177287523271870732,3230,471,5000,-0.009488656097273765,-0.020862521761906318,0.0012692027914108141,0.743681181713575,0.5266392607977964,1.041392901873484
HISTORICAL_DISCOVERY,V_REVERSAL,net_return,month,12614663572758732177,3230,36,5000,-0.009488656097273765,-0.017515816585205186,-0.001344065622822247,0.743681181713575,0.5796815864566858,0.9576462707309096
HISTORICAL_DISCOVERY,N_RETEST,gross_return,signal_date,16533796213233491450,912,321,5000,0.0012790099574689934,-0.007386555809124682,0.009703469241486714,1.0410544315210641,0.7873002431311241,1.350752116597512
HISTORICAL_DISCOVERY,N_RETEST,gross_return,month,585086682763059522,912,36,5000,0.0012790099574689934,-0.010957060481864022,0.01238185980785523,1.0410544315210641,0.703849726330533,1.475863444055921
HISTORICAL_DISCOVERY,N_RETEST,net_return,signal_date,10186472740799081009,912,321,5000,-0.004514460414313009,-0.013071364798459028,0.004094331672089932,0.8681072502747401,0.6587937266233788,1.1341896989936997
HISTORICAL_DISCOVERY,N_RETEST,net_return,month,4709002639507643945,912,36,5000,-0.004514460414313009,-0.01646688506799432,0.007102240807524047,0.8681072502747401,0.5892418893771509,1.2495144197496832
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,gross_return,signal_date,10587590482755249892,120,80,5000,0.0018931800673161866,-0.01744441367918844,0.0214951420743733,1.0599126389693456,0.5579905677034643,1.9196912831915414
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,gross_return,month,13414626395828617082,120,30,5000,0.0018931800673161866,-0.020462992769265897,0.02409132570224362,1.0599126389693456,0.5063809861016826,2.0572266939590915
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,net_return,signal_date,5015872902055350024,120,80,5000,-0.0039041511531315047,-0.022775080948662513,0.015265686670813971,0.8875181595331613,0.47285793331969395,1.5809886052715345
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,net_return,month,2721193131917280448,120,30,5000,-0.0039041511531315047,-0.026021464983680822,0.018116083004732116,0.8875181595331613,0.4226176111810405,1.7204120778253489
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,gross_return,signal_date,13631311662953547869,3816,733,5000,-0.007845782429552113,-0.011560528592305627,-0.004332756443812243,0.8173188188283771,0.7406044425178583,0.8954416655996154
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,gross_return,month,2316903850745768637,3816,36,5000,-0.007845782429552113,-0.01469049173103265,-0.001036664217732195,0.8173188188283771,0.6824662959904747,0.9737474325274
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,net_return,signal_date,628382099532173628,3816,733,5000,-0.013586653096547614,-0.017143338652819407,-0.01004830465793711,0.7067964450960461,0.643073851623576,0.7749265582376647
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,net_return,month,4490678493147378059,3816,36,5000,-0.013586653096547614,-0.020301909521302144,-0.006532243235293194,0.7067964450960461,0.5927386840223362,0.8478464448962114
HISTORICAL_DISCOVERY,TREND_PULLBACK,gross_return,signal_date,11551839675340244457,5849,655,5000,-0.00433394748536567,-0.00781473337587002,-0.0008209493810937575,0.8701764855602327,0.7777553276351853,0.9738381086754817
HISTORICAL_DISCOVERY,TREND_PULLBACK,gross_return,month,17433521675165168218,5849,36,5000,-0.00433394748536567,-0.012084094236697904,0.0032751005088631586,0.8701764855602327,0.6754853880336283,1.1109414145519825
HISTORICAL_DISCOVERY,TREND_PULLBACK,net_return,signal_date,1439736508466856180,5849,655,5000,-0.01009530167203281,-0.013505752844382128,-0.006633188038854908,0.7251243952100949,0.6495534034080372,0.810479993756971
HISTORICAL_DISCOVERY,TREND_PULLBACK,net_return,month,4301469297756640074,5849,36,5000,-0.01009530167203281,-0.017732984184311584,-0.0025713223871580444,0.7251243952100949,0.5675600035422986,0.9214804277346192
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,gross_return,signal_date,14717740515215935522,661,292,5000,0.00043560945841194566,-0.004824739011496756,0.005576524041124666,1.0214763744833386,0.7896248437591399,1.3090766584269395
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,gross_return,month,12644717163305676883,661,34,5000,0.00043560945841194566,-0.007466718599595325,0.007669766704496584,1.0214763744833386,0.6967891440032622,1.4534508398354493
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,net_return,signal_date,13734578362602790252,661,292,5000,-0.005354883330246625,-0.010419148605173727,-0.00046316015860120834,0.7711249921419212,0.5942738752826169,0.9775638232533137
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,net_return,month,5574312897008377257,661,34,5000,-0.005354883330246625,-0.01329783250944478,0.0018570518050601273,0.7711249921419212,0.5235992790302768,1.0972434647332925
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,gross_return,signal_date,4503668072424716444,2073,327,5000,-0.004167228667991036,-0.01798359904708997,0.008216983337773173,0.87023967009977,0.5629731581147882,1.3256409591154095
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,gross_return,month,5589900233416001169,2073,24,5000,-0.004167228667991036,-0.009976999963937033,0.0015995048163793487,0.87023967009977,0.7188679878983706,1.0567591009444264
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,net_return,signal_date,12375523732078986386,2073,327,5000,-0.009930011995960584,-0.023683291783789587,0.0024159521647243876,0.7184605698670783,0.47078824239241657,1.0862172835394492
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,net_return,month,15004874413423043794,2073,24,5000,-0.009930011995960584,-0.01628807344429094,-0.004135495659947856,0.7184605698670783,0.5864075506089559,0.8683806180991874
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,gross_return,signal_date,14630079554657128362,597,253,5000,0.00359146443416149,-0.002813206903238295,0.0099076813424161,1.1277400095770693,0.9104217490869686,1.387854850278396
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,gross_return,month,14742447932876202509,597,24,5000,0.00359146443416149,-0.005595847045109363,0.012856618626888451,1.1277400095770693,0.8301950567899024,1.5413247712033418
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,net_return,signal_date,631375472519420488,597,253,5000,-0.002215734921938845,-0.00876186128409835,0.004348498041337482,0.9291480377289728,0.7454674702099884,1.1531590979657314
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,net_return,month,14777336377221398728,597,24,5000,-0.002215734921938845,-0.010961237755331085,0.006484105805328579,0.9291480377289728,0.6967010489220473,1.245048943681666
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,gross_return,signal_date,10522309015818453756,79,65,5000,0.028133743570628655,0.010504655126481903,0.044330780665493556,2.2355634005164613,1.356507710182303,3.6874819779680315
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,gross_return,month,12815978891085924459,79,22,5000,0.028133743570628655,0.008354368454677352,0.046208161368381184,2.2355634005164613,1.268167724069222,4.136860578454518
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,net_return,signal_date,17148390128446930682,79,65,5000,0.02218325695218491,0.004237986987500652,0.038591159732369845,1.8751220632935464,1.129528672059419,3.0808436781100386
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,net_return,month,11359960831389252196,79,22,5000,0.02218325695218491,0.002563959648707452,0.040046949830417566,1.8751220632935464,1.0724356737264609,3.3425899899813505
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,gross_return,signal_date,10376063227586653704,2536,481,5000,-0.0015431124872742796,-0.005680129453213032,0.0026475208243837097,0.9609531325353207,0.8625696483030135,1.0699113195144418
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,gross_return,month,7086045493433887315,2536,24,5000,-0.0015431124872742796,-0.00559548232758874,0.0026130542376030423,0.9609531325353207,0.8647831774531533,1.069132106147762
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,net_return,signal_date,14530084735872642864,2536,481,5000,-0.007320711109426019,-0.011423241505018465,-0.0030261515802415006,0.829003998946706,0.7444543214613939,0.9262948684715363
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,net_return,month,1371988120393634399,2536,24,5000,-0.007320711109426019,-0.011417495055996587,-0.003057975633368777,0.829003998946706,0.7445696286941448,0.925076982430346
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,gross_return,signal_date,9208710610265474445,5004,472,5000,-0.00234286306156023,-0.005543041373688127,0.0008010983515352204,0.926264918709804,0.8334860505030102,1.0263934284788647
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,gross_return,month,12334675594582740513,5004,24,5000,-0.00234286306156023,-0.007344443494540381,0.0024522089709370356,0.926264918709804,0.7872069256418046,1.0856660203120005
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,net_return,signal_date,10057520012711084709,5004,472,5000,-0.008115796014284296,-0.011272036932885773,-0.005076504289902204,0.7685642078848159,0.6926657124414081,0.8480984804693557
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,net_return,month,14471085225093774528,5004,24,5000,-0.008115796014284296,-0.013326970148895504,-0.003206486227001458,0.7685642078848159,0.6523463714856337,0.8999771273827791
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,gross_return,signal_date,4684810308614620003,531,225,5000,0.0030240237849363267,-0.0027475293447944376,0.008841941353734159,1.1537385586130713,0.8757275980554001,1.5067084436917675
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,gross_return,month,1027462928421932083,531,24,5000,0.0030240237849363267,-0.005074936443965381,0.010586979521879756,1.1537385586130713,0.7844334974110954,1.6512080570667316
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,net_return,signal_date,11734260830662441591,531,225,5000,-0.002781254114495102,-0.008436860649409062,0.0030162550837900164,0.8772086197433586,0.6642025236053747,1.1498380670789543
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,net_return,month,312876703752078876,531,24,5000,-0.002781254114495102,-0.011030816695403546,0.005373512915153628,0.8772086197433586,0.5872238307178469,1.2842647350994363
STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,gross_return,signal_date,15227580247143780487,950,161,5000,-0.004617695677734902,-0.025341092208805763,0.01368159186030173,0.8707878977647064,0.48294724199908223,1.5617911092096237
STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,gross_return,month,2682740770546309470,950,12,5000,-0.004617695677734902,-0.02150567186561881,0.015928214382829695,0.8707878977647064,0.5299019020002173,1.6774348197449742
STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,net_return,signal_date,7619938561380204039,950,161,5000,-0.010378863293887725,-0.03015221717809151,0.007370581856813259,0.7326797152891494,0.4189250593219508,1.274172559229433
STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,net_return,month,3589741379767050309,950,12,5000,-0.010378863293887725,-0.027565747805838887,0.010269510913004896,0.7326797152891494,0.44156246024701884,1.3940806532680547
