year,period,setup,signals,evaluable_signals,outcome_observation_rate,active_signal_dates,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate
2020,HISTORICAL_DISCOVERY,V_REVERSAL,736,733,0.9959239130434783,145,0.2578444747612551,0.009224267231103754,0.0033839665288635445,0.003984063745019917,-0.001821249782757265,0.504774897680764,0.49113233287858116,1.350925160072863,1.1166146741082108,0.03287001908279156,0.060203301302536844,-0.02822449235957348,-0.0500134216029056,5.715573254910187,0.1869031377899045,0.08731241473396999
2020,HISTORICAL_DISCOVERY,N_RETEST,208,207,0.9951923076923077,95,0.2318840579710145,-0.005904136954067995,-0.011656420276042766,-0.0331125827814569,-0.038729435657460135,0.36231884057971014,0.34782608695652173,0.8285662661145157,0.69283371131991,0.025709079759452334,0.049376802682327726,-0.03974387703940508,-0.06957341404966681,3.180532652653876,0.16908212560386474,0.07246376811594203
2020,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,22,22,1.0,18,0.22727272727272727,0.002896170120990764,-0.0029089471986032626,-0.0016620284477427139,-0.0074437127232544475,0.4090909090909091,0.3181818181818182,1.1082922406089564,0.9033086977932374,0.0359584286137261,0.05963417719146855,-0.02841461790104288,-0.04919418972782814,3.1227520145609238,0.18181818181818182,0.045454545454545456
2020,HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,1274,1269,0.9960753532182104,245,0.31048069345941687,-0.0019485933011038745,-0.007723397829806157,-0.051094890510948954,-0.05658063333572495,0.4097714736012608,0.4026792750197006,0.9511764098932979,0.8208226491189535,0.047157766522464575,0.08634021099067939,-0.04626946704291185,-0.06850809991033005,5.152408527424875,0.2624113475177305,0.17888100866824272
2020,HISTORICAL_DISCOVERY,TREND_PULLBACK,1968,1959,0.9954268292682927,217,0.23889739663093415,0.002881077778033956,-0.0029220518043495116,-0.011428571428571344,-0.01716479856649336,0.4435936702399183,0.42521694742215416,1.0988488032688901,0.9093597558281445,0.030660136844545494,0.057690061618678526,-0.03024095827995476,-0.04810140515800532,5.122773715774308,0.18580908626850434,0.10107197549770292
2020,HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,198,198,1.0,87,0.11616161616161616,-0.004052416455465664,-0.009817292012943703,-0.00924978687127015,-0.014994872817166674,0.41414141414141414,0.36363636363636365,0.8262464344601805,0.632217540305203,0.01546554964075783,0.028797335995664208,-0.02497258841455047,-0.0346358470975923,3.5038391484312825,0.08585858585858586,0.025252525252525252
2021,HISTORICAL_DISCOVERY,V_REVERSAL,1222,1219,0.997545008183306,167,0.22149302707136997,-0.003494247942831758,-0.009260645847679107,-0.024432809773123898,-0.030103551372180293,0.4380639868744873,0.42329778506972926,0.8991676517592213,0.7546098691575288,0.025198808946322104,0.05102565875230816,-0.05053822094971531,-0.06830297500376163,4.227835691460285,0.16981132075471697,0.09269893355209188
2021,HISTORICAL_DISCOVERY,N_RETEST,299,299,1.0,112,0.2408026755852843,-0.003108279822925358,-0.008875882655716798,-0.02661064425770321,-0.03224476277410001,0.4214046822742475,0.4013377926421405,0.9087819333664031,0.7618601693044639,0.02554680325483732,0.051541721972462665,-0.03664612821144206,-0.05669087441478522,4.7544175112110505,0.18729096989966554,0.0903010033444816
2021,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,47,47,1.0,31,0.2765957446808511,-0.005680025553867719,-0.011431326906747438,-0.05069124423963134,-0.05616836845044327,0.40425531914893614,0.40425531914893614,0.847443711140602,0.7174888576787788,0.0244996288184267,0.06112554425708493,-0.034617092264505364,-0.05720996598151158,4.211173602461922,0.2127659574468085,0.10638297872340426
2021,HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,1287,1283,0.9968919968919969,243,0.3273577552611068,-0.007178997011483512,-0.012924344733078678,-0.05485232067510548,-0.06032953201830572,0.37412314886983633,0.36788776305533905,0.8398830953274715,0.7319737152722654,0.05276420633765724,0.09595205285870444,-0.054835349599632176,-0.08132243027666199,5.105492187692653,0.2821512081060016,0.20265003897116135
